source_id,designation_aw,tmass_designation,ra,dec,glon,glat,ecl_lat,b_band,parallax,parallax_error,pmra,pmdec,r_med_geo,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,M_G,j_m,h_m,ks_m,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,snr3,snr4,w3snr_aw,w4snr_aw,rmse,t_ds,gamma,gvar,verdict,verdict_reason,flag_v1_w3nm0,flag_v1_w4nm0,flag_v1_w3flg32,flag_v1_w4flg32,ph_qual_aw,ph_qual_as,flag_v2_release_inconsistent,flag_v3_subthreshold,p_chance_1as,v5_centroid,n1_flag,n1_cat,n1_name,n1_sep_as,n1_r_as,n2_score,n2_flag,nebular_flag,w3sky,w4sky,w3conf,w4conf
1345188052692608,J025533.55+021927.3,02553351+0219277,43.889918,2.324253,173.305579,-48.030882,-13.788217,outer_b30_50,5.586558,0.051782,60.761675,-34.954575,177.56325,0.966002,16.265322,17.562551,15.175024,10.018557,13.673,13.103,12.854,12.693,0.023,12.562,0.024,11.093,0.123,7.711,0.134,8.826829,8.102239,8.8,8.1,0.11089,130.508475,0.1,1.01191,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.807655,False,False,2834.53,907.45,2.149,1.801
21485423574915456,J024051.94+085957.1,02405194+0859574,40.216493,8.999184,163.020523,-45.185875,-6.32461,outer_b30_50,5.067587,0.06595,14.656736,-23.214447,195.61487,0.962526,16.667915,18.134724,15.500504,10.210906,13.854,13.277,13.018,12.864,0.023,12.732,0.028,11.37,0.189,8.216,0.234,5.744444,4.639744,5.7,4.6,0.182078,130.508475,0.1,0.939715,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd",False,True,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.749076,False,False,3205.838,1045.089,0.248,2.489
72265337311743744,J021859.35+105855.6,02185932+1058560,34.747383,10.982087,154.965189,-46.372747,-2.738779,outer_b30_50,3.641635,0.061087,42.606258,-28.576956,270.93594,0.970038,16.115475,17.225733,15.108921,8.951142,13.798,13.161,12.994,12.806,0.024,12.721,0.025,12.06,0.28,7.792,0.154,3.8775,7.05,3.9,7.0,0.02527,110.169492,0.1,0.838674,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure,True,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.896918,False,False,3307.422,1100.088,4.219,2.504
97338291233869952,J015044.07+211806.4,01504403+2118065,27.68368,21.301734,140.923552,-39.48942,9.272198,outer_b30_50,5.118348,0.131193,42.417517,-22.583532,193.93681,1.072616,17.500208,18.951807,16.218168,11.061907,14.564,14.019,13.752,13.473,0.025,13.212,0.029,11.093,0.109,8.487,0.278,9.96055,3.905396,10.0,3.9,0.102057,181.355932,0.1,1.462611,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AAAB,AABC,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.180586,False,False,2898.159,936.513,6.917,3.317
310640179768135936,J011823.74+315708.4,01182373+3157086,19.599035,31.952321,129.57314,-30.571555,21.859457,outer_b30_50,3.595142,0.142911,27.552528,-18.16013,274.63248,0.968676,17.972185,19.630886,16.733892,10.778426,14.971,14.326,14.105,13.966,0.026,13.753,0.035,11.978,0.22,8.486,0.239,4.935,4.542678,4.9,4.5,0.122623,150.847458,0.116362,0.876646,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.9, W4 S/N 4.5) — the excess is at the instrument floor, candidate I's failure mode",False,True,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.550388,False,False,2164.506,659.274,3.942,2.897
589125481283408000,J093107.09+100606.9,09310708+1006072,142.779472,10.101996,222.846199,39.959556,-4.355905,outer_b30_50,6.639467,0.296064,-13.463254,-6.456466,150.59349,1.044619,18.953062,20.831104,17.62319,13.064031,15.56,15.023,14.533,14.43,0.03,14.034,0.044,11.154,0.173,8.17,0.254,6.275723,4.274409,6.3,4.3,0.099046,171.186441,0.248233,0.89974,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure,True,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.117643,False,False,2851.4,946.528,7.945,2.149
615981808706309248,J095122.30+140332.2,09512229+1403330,147.842938,14.058883,220.936634,46.141838,1.002826,outer_b30_50,6.197447,0.211037,5.929849,-57.439791,161.36292,1.023752,18.39389,20.448816,17.07029,12.354871,15.191,14.562,14.233,14.071,0.028,13.808,0.036,11.679,0.278,7.178,0.138,3.905396,7.867391,3.9,7.8,0.117206,120.338983,0.421884,0.971513,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.568567,False,False,3067.286,1042.537,1.659,1.805
661274918904769536,J083837.37+192440.5,08383742+1924399,129.655603,19.411271,206.030191,32.002755,0.921571,outer_b30_50,8.652619,0.06585,-63.281765,27.811031,114.931625,1.046893,16.311527,17.73456,15.14857,11.009329,13.619,13.019,12.776,12.584,0.024,12.436,0.028,10.958,0.258,7.265,0.21,4.20814,5.17,4.2,5.2,0.153867,130.508475,0.107871,0.936856,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AACB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.974037,False,False,3393.144,1122.099,4.704,3.724
714714207670830336,J091557.17+354033.1,09155717+3540332,138.988237,35.675835,188.313612,43.803702,18.846541,outer_b30_50,3.50552,0.083077,-1.557638,-18.359201,283.1276,1.189894,16.715603,17.834047,15.654159,9.455692,14.312,13.701,13.547,13.356,0.025,13.201,0.029,11.686,0.256,7.941,0.189,4.241016,5.744444,4.2,5.7,0.082295,130.508475,0.107871,0.813622,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.261803,False,False,2521.258,791.244,3.743,1.616
731982617603542272,J110625.74+280951.0,11062580+2809511,166.607154,28.16414,204.250399,66.766889,20.59892,core_b50,3.764214,0.143737,-73.519844,-24.918493,260.39886,1.028161,17.744951,19.113297,16.57491,10.666756,14.98,14.454,14.096,14.145,0.026,13.993,0.04,11.687,0.29,7.431,0.134,3.743793,8.102239,3.7,8.1,0.080586,130.508475,0.288848,0.758966,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure; release-inconsistent: W3 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE; release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE,True,False,False,False,AABB,AAUU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.9581,False,False,2381.057,754.132,4.607,1.721
763681404688064512,J111316.45+365607.1,11131641+3656071,168.318569,36.935318,181.45546,67.091006,29.140435,core_b50,4.705386,0.056566,13.883587,4.897895,210.92738,1.02172,16.455929,17.727932,15.249756,9.835264,13.734,13.097,12.863,12.706,0.024,12.538,0.025,11.027,0.126,7.634,0.123,8.616667,8.826829,8.6,8.8,0.079806,140.677966,0.1,0.873767,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.118837,False,False,1962.817,604.974,7.821,3.634
779253439980170112,J104044.57+395649.2,10404460+3956492,160.185642,39.947003,179.120407,60.124285,29.060006,core_b50,11.115725,0.037903,-41.759044,-3.671138,89.46773,0.979716,15.328735,16.889471,14.12411,10.570403,12.466,11.838,11.626,11.446,0.023,11.265,0.021,11.024,0.132,7.127,0.101,8.225,10.749505,8.2,10.7,0.115276,100.0,0.1,1.25664,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABA,AAAA,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.165071,False,False,1983.971,612.497,7.357,3.796
801210485325007232,J094513.25+395608.8,09451325+3956089,146.305181,39.935773,182.206118,49.639114,24.81897,outer_b30_50,4.101011,0.0583,-9.274431,-0.402043,241.85472,1.027345,16.678862,18.113968,15.514683,9.761089,13.97,13.38,13.125,12.961,0.023,12.786,0.025,11.824,0.262,8.208,0.26,4.143893,4.175769,4.1,4.2,0.132885,120.338983,0.1,0.841591,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.1, W4 S/N 4.2) — the excess is at the instrument floor, candidate I's failure mode",False,False,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.575853,False,False,2171.741,674.782,4.237,3.177
