source_id,designation_aw,tmass_designation,ra,dec,glon,glat,ecl_lat,b_band,parallax,parallax_error,pmra,pmdec,r_med_geo,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,M_G,j_m,h_m,ks_m,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,snr3,snr4,w3snr_aw,w4snr_aw,rmse,t_ds,gamma,gvar,verdict,verdict_reason,flag_v1_w3nm0,flag_v1_w4nm0,flag_v1_w3flg32,flag_v1_w4flg32,ph_qual_aw,ph_qual_as,flag_v2_release_inconsistent,flag_v3_subthreshold,p_chance_1as,v5_centroid,n1_flag,n1_cat,n1_name,n1_sep_as,n1_r_as,n2_score,n2_flag,nebular_flag,w3sky,w4sky,w3conf,w4conf,w3_S,w4_S,w3_A,w4_A,w3_G,w4_G,w3_C,w4_C,morph_ok,n4_score,n4_flag,nebular_flag_v2,catalog_version
1345188052692608,J025533.55+021927.3,02553351+0219277,43.889918,2.324253,173.305579,-48.030882,-13.788217,outer_b30_50,5.586558,0.051782,60.761675,-34.954575,177.56325,0.966002,16.265322,17.562551,15.175024,10.018557,13.673,13.103,12.854,12.693,0.023,12.562,0.024,11.093,0.123,7.711,0.134,8.826829,8.102239,8.8,8.1,0.11089,130.508475,0.1,1.01191,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.807655,False,False,2834.53,907.45,2.149,1.801,1.419039981780526,1.934304982728404,0.6238745391597103,1.3624299930020862,0.0605065189740231,0.3951462902885402,0.3817233605318566,0.4545299672861034,True,0.9397590361445785,False,False,v2
21485423574915456,J024051.94+085957.1,02405194+0859574,40.216493,8.999184,163.020523,-45.185875,-6.32461,outer_b30_50,5.067587,0.06595,14.656736,-23.214447,195.61487,0.962526,16.667915,18.134724,15.500504,10.210906,13.854,13.277,13.018,12.864,0.023,12.732,0.028,11.37,0.189,8.216,0.234,5.744444,4.639744,5.7,4.6,0.182078,130.508475,0.1,0.939715,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd",False,True,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.749076,False,False,3205.838,1045.089,0.248,2.489,1.280402742232688,1.0512386305239758,0.5604267895857097,0.5399844412622962,0.1269774127236765,0.0783593713500236,0.338205842434599,0.4691033068586805,True,0.3637961335676625,False,False,v2
72265337311743744,J021859.35+105855.6,02185932+1058560,34.747383,10.982087,154.965189,-46.372747,-2.738779,outer_b30_50,3.641635,0.061087,42.606258,-28.576956,270.93594,0.970038,16.115475,17.225733,15.108921,8.951142,13.798,13.161,12.994,12.806,0.024,12.721,0.025,12.06,0.28,7.792,0.154,3.8775,7.05,3.9,7.0,0.02527,110.169492,0.1,0.838674,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure,True,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.896918,False,False,3307.422,1100.088,4.219,2.504,1.3640071230242374,3.997041542104857,0.928927286462118,4.374797480797128,0.1067971012146271,1.3461141937490395,0.2032378010538879,0.2212095554120337,True,0.9909615867436604,True,True,v2
97338291233869952,J015044.07+211806.4,01504403+2118065,27.68368,21.301734,140.923552,-39.48942,9.272198,outer_b30_50,5.118348,0.131193,42.417517,-22.583532,193.93681,1.072616,17.500208,18.951807,16.218168,11.061907,14.564,14.019,13.752,13.473,0.025,13.212,0.029,11.093,0.109,8.487,0.278,9.96055,3.905396,10.0,3.9,0.102057,181.355932,0.1,1.462611,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AAAB,AABC,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.180586,False,False,2898.159,936.513,6.917,3.317,1.4295404366398397,1.3687269847463437,1.0207215798373226,1.358962181324869,0.0971807319475716,0.2511571009119429,0.5191808819617023,0.6464490605783507,True,0.6542806929450163,False,False,v2
310640179768135936,J011823.74+315708.4,01182373+3157086,19.599035,31.952321,129.57314,-30.571555,21.859457,outer_b30_50,3.595142,0.142911,27.552528,-18.16013,274.63248,0.968676,17.972185,19.630886,16.733892,10.778426,14.971,14.326,14.105,13.966,0.026,13.753,0.035,11.978,0.22,8.486,0.239,4.935,4.542678,4.9,4.5,0.122623,150.847458,0.116362,0.876646,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.9, W4 S/N 4.5) — the excess is at the instrument floor, candidate I's failure mode",False,True,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.550388,False,False,2164.506,659.274,3.942,2.897,1.2416812205666594,0.9318596836287444,0.6656354394871316,0.6083285568176501,0.1615968964739595,0.2424312353990833,0.2781934660701763,0.3710896086564449,True,0.2907444668008048,False,False,v2
589125481283408000,J093107.09+100606.9,09310708+1006072,142.779472,10.101996,222.846199,39.959556,-4.355905,outer_b30_50,6.639467,0.296064,-13.463254,-6.456466,150.59349,1.044619,18.953062,20.831104,17.62319,13.064031,15.56,15.023,14.533,14.43,0.03,14.034,0.044,11.154,0.173,8.17,0.254,6.275723,4.274409,6.3,4.3,0.099046,171.186441,0.248233,0.89974,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure,True,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.117643,False,False,2851.4,946.528,7.945,2.149,1.3153220876051843,0.847684376060873,0.753269197573834,0.498426273681731,0.0458400344136992,0.1422144928257469,0.4373730562411467,0.7450588005781633,True,0.4175244790359025,False,False,v2
615981808706309248,J095122.30+140332.2,09512229+1403330,147.842938,14.058883,220.936634,46.141838,1.002826,outer_b30_50,6.197447,0.211037,5.929849,-57.439791,161.36292,1.023752,18.39389,20.448816,17.07029,12.354871,15.191,14.562,14.233,14.071,0.028,13.808,0.036,11.679,0.278,7.178,0.138,3.905396,7.867391,3.9,7.8,0.117206,120.338983,0.421884,0.971513,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.568567,False,False,3067.286,1042.537,1.659,1.805,4.383984060977987,5.350920275184406,5.804114236390383,4.934502104011722,0.9506306635848046,3.190373874887728,0.2186178587165111,0.3102272035683096,True,0.9949786593020336,True,True,v2
661274918904769536,J083837.37+192440.5,08383742+1924399,129.655603,19.411271,206.030191,32.002755,0.921571,outer_b30_50,8.652619,0.06585,-63.281765,27.811031,114.931625,1.046893,16.311527,17.73456,15.14857,11.009329,13.619,13.019,12.776,12.584,0.024,12.436,0.028,10.958,0.258,7.265,0.21,4.20814,5.17,4.2,5.2,0.153867,130.508475,0.107871,0.936856,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AACB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.974037,False,False,3393.144,1122.099,4.704,3.724,1.7305834798407016,3.4644526377434883,0.7333893165712849,3.4550734734395143,0.1143533708622312,0.2181660647924106,0.3956241657068414,0.3828084654993723,True,0.988953050464474,False,False,v2
714714207670830336,J091557.17+354033.1,09155717+3540332,138.988237,35.675835,188.313612,43.803702,18.846541,outer_b30_50,3.50552,0.083077,-1.557638,-18.359201,283.1276,1.189894,16.715603,17.834047,15.654159,9.455692,14.312,13.701,13.547,13.356,0.025,13.201,0.029,11.686,0.256,7.941,0.189,4.241016,5.744444,4.2,5.7,0.082295,130.508475,0.107871,0.813622,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.261803,False,False,2521.258,791.244,3.743,1.616,1.207858920906977,1.12696563812771,0.8175248859120593,0.7193579547335823,0.0699169454676912,0.2565877578779721,0.2439239808484456,0.3873027692191882,True,0.3724899598393574,False,False,v2
731982617603542272,J110625.74+280951.0,11062580+2809511,166.607154,28.16414,204.250399,66.766889,20.59892,core_b50,3.764214,0.143737,-73.519844,-24.918493,260.39886,1.028161,17.744951,19.113297,16.57491,10.666756,14.98,14.454,14.096,14.145,0.026,13.993,0.04,11.687,0.29,7.431,0.134,3.743793,8.102239,3.7,8.1,0.080586,130.508475,0.288848,0.758966,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure; release-inconsistent: W3 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE; release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE,True,False,False,False,AABB,AAUU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.9581,False,False,2381.057,754.132,4.607,1.721,1.1353085000072949,2.009852706878109,0.2897580270306814,2.579812748185749,0.0539700861859228,0.4278460816536139,0.1712628211895641,0.2754844205895999,True,0.9471830985915493,False,False,v2
