population,provenance,rho_arcsec2,rho_deg2,radius_arcsec,p_per_star,n_expected
"Ren et al. (2024), as printed","""about $9\times10^{-6}$ per square arcsecond""",9e-06,116.64,3.25,0.0002986030608610468,1493.0153043052342
"Ren et al. (2024), as printed","""about $9\times10^{-6}$ per square arcsecond""",9e-06,116.64,1.0,2.82739341670446e-05,141.36967083522302
"Assef et al. (2015) Hot DOGs, corrected","1 per 31 deg$^2$ = 0.032 deg$^{-2}$, converted correctly",2.4890481879729193e-09,0.03225806451612903,3.25,8.259426287349214e-08,0.4129713143674607
"Assef et al. (2015) Hot DOGs, corrected","1 per 31 deg$^2$ = 0.032 deg$^{-2}$, converted correctly",2.4890481879729193e-09,0.03225806451612903,1.0,7.819575542633572e-09,0.03909787771316786
Blain (2024) full WISE Hot DOG sample,2220 Hot DOGs over 70\% of the sky = 0.1 deg$^{-2}$,7.71604938271605e-09,0.1,3.25,2.5604219255903615e-07,1.2802109627951808
Blain (2024) full WISE Hot DOG sample,2220 Hot DOGs over 70\% of the sky = 0.1 deg$^{-2}$,7.71604938271605e-09,0.1,1.0,2.4240683793586015e-08,0.12120341896793008
Li et al. (2025) $z<0.5$ Hot DOGs,0.0024 deg$^{-2}$ (via Zackrisson et al. 2026),1.8518518518518518e-10,0.0024,3.25,6.1450133870266654e-09,0.030725066935133327
Li et al. (2025) $z<0.5$ Hot DOGs,0.0024 deg$^{-2}$ (via Zackrisson et al. 2026),1.8518518518518518e-10,0.0024,1.0,5.817764048288154e-10,0.002908882024144077
Suazo et al. (2024) faint red galaxies,$\approx15000$ sr$^{-1}$ with W4 and W3$-$W4 like the candidates',3.5256645808646825e-07,4.5692612968006285,3.25,1.1699169869872073e-05,58.49584934936036
Suazo et al. (2024) faint red galaxies,$\approx15000$ sr$^{-1}$ with W4 and W3$-$W4 like the candidates',3.5256645808646825e-07,4.5692612968006285,1.0,1.107619581164343e-06,5.538097905821715
