band,ecl_bin,q,n,value
w3sky,0,0.95,12980,3348.31385
w3sky,0,0.99,12980,3455.69569
w3sky,0,0.999,12980,3577.843830000003
w3sky,1,0.95,10294,2987.9048500000004
w3sky,1,0.99,10294,3077.8160399999997
w3sky,1,0.999,10294,3192.5512599999997
w3sky,2,0.95,11074,2401.0838
w3sky,2,0.99,11074,2470.3971300000007
w3sky,2,0.999,11074,2543.4317149999983
w3sky,3,0.95,11164,1951.72895
w3sky,3,0.99,11164,2004.96333
w3sky,3,0.999,11164,2065.856158
w3sky,4,0.95,10287,1648.1688
w3sky,4,0.99,10287,1679.5072400000001
w3sky,4,0.999,10287,1709.649118
w3sky,5,0.95,8073,1445.9206
w3sky,5,0.99,8073,1466.84728
w3sky,5,0.999,8073,1480.6313679999998
w3sky,6,0.95,4337,1324.2384
w3sky,6,0.99,4337,1338.3232
w3sky,6,0.999,4337,1348.8666719999999
w4sky,0,0.95,12980,1121.5586
w4sky,0,0.99,12980,1156.0455399999998
w4sky,0,0.999,12980,1197.1813080000002
w4sky,1,0.95,10294,978.54735
w4sky,1,0.99,10294,1008.5421199999998
w4sky,1,0.999,10294,1044.8226000000002
w4sky,2,0.95,11074,750.2841999999999
w4sky,2,0.99,11074,774.3928
w4sky,2,0.999,11074,799.4129249999995
w4sky,3,0.95,11164,591.75425
w4sky,3,0.99,11164,609.20548
w4sky,3,0.999,11164,625.579056999999
w4sky,4,0.95,10287,489.0
w4sky,4,0.99,10287,498.95026
w4sky,4,0.999,10287,507.364978
w4sky,5,0.95,8073,422.1298
w4sky,5,0.99,8073,428.35688
w4sky,5,0.999,8073,432.26318399999997
w4sky,6,0.95,4337,380.8142
w4sky,6,0.99,4337,384.92124
w4sky,6,0.999,4337,387.52571999999986
