source_id,ra,dec,label,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
3496509309189181184,191.30392370869112,-26.86757675063225,A,2172.273,671.279,7.691,2.623,29.947,11.293,0.9609,1.194,1,0,0,22.5,16.6,0.511703,J124512.94-265202.7,35.98345392901187,-20.18696301213155
4843191593270342656,59.01587563718896,-40.5301454610433,B,1332.66,380.688,4.866,2.662,27.019,10.218,1.067,0.9992,1,0,0,13.9,3.8,0.218305,J035603.82-403148.3,-49.89725057390219,-58.80612831504665
4649396037451459712,74.012691975186,-74.1705989811048,C,1036.3,284.706,0.0,0.0,26.142,9.977,1.115,1.099,1,0,0,10.5,5.0,0.340663,J045602.99-741013.8,-33.76713857384531,-80.74990912746212
2660349163149053824,351.9637283640838,5.107261950673839,D,2868.825,946.318,6.763,2.258,30.992,12.247,1.063,0.8753,1,0,0,10.4,4.8,0.305891,J232751.31+050626.3,-51.95820308512736,7.877940937964783
3190232820489766656,60.53248762856517,-10.911312899256664,E,1723.483,508.568,6.186,2.296,27.325,11.061,0.8928,0.9722,1,0,0,10.3,3.6,0.272309,J040207.77-105440.7,-42.435655287927325,-30.912409527882566
2956570141274256512,78.44380169002655,-25.18652500386801,F,1290.699,365.005,2.486,2.362,27.552,9.934,0.9491,1.224,1,0,0,5.7,4.5,0.053593,J051346.50-251111.4,-31.800002056434188,-47.997189446307964
2644370304260053376,353.88516033694015,-0.0736118099135933,G,3092.008,1032.331,5.163,3.357,32.963,12.066,1.191,0.9791,1,0,0,5.0,3.5,0.369498,J233532.45-000424.7,-57.37478298555308,2.360856252519389
2437221214075471744,354.0111054924228,-9.333442738317965,H,3153.246,1055.214,5.144,2.032,32.729,11.404,0.7733,0.9468,1,0,0,2.4,3.3,0.16639,J233602.67-092000.4,-64.83202861200276,-6.191056637341601
3854090071297359616,144.9763330266232,7.007740979802217,I,2754.501,911.81,4.099,1.919,30.294,10.608,1.068,1.103,1,0,0,2.4,3.3,0.133267,J093954.31+070027.9,40.39389269637157,-6.583363437604514
651765552072217216,128.06907797291882,14.705154631384232,J,2991.33,1007.828,5.957,0.611,32.51,11.43,1.151,1.174,1,0,0,2.2,2.8,0.142636,J083216.57+144218.7,28.84265967920729,-4.014065411074398
