source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
1345188052692608,43.88991754467799,2.3242530116702502,2834.53,907.45,2.149,1.801,33.412,11.192,1.192,1.081,1,0,0,8.8,8.1,0.328052,J025533.55+021927.3,-48.03088164615933,-13.788216710091396
21485423574915456,40.21649295724785,8.999184344987995,3205.838,1045.089,0.248,2.489,33.244,11.893,1.048,1.154,1,0,0,5.7,4.6,0.139396,J024051.94+085957.1,-45.185874563812895,-6.324610276567666
65225469302220800,56.71438897122719,24.10432284781211,3420.763,1074.976,6.513,3.078,49.794,12.364,0.93,1.237,1,0,0,8.6,8.0,0.386083,J034651.44+240615.9,-23.55217170078967,4.0814160266950505
65236739295987200,55.80826538420033,23.795884149961378,3278.045,1063.698,2.413,4.394,36.573,10.42,1.002,0.92,1,0,0,3.5,4.2,0.597583,J034313.94+234745.5,-24.3354750427204,3.9640390959879666
65294364873918080,56.29278594931714,24.392156067592783,3543.772,1087.061,1.005,2.74,41.165,12.632,0.9795,0.9063,1,0,0,10.8,6.4,0.104122,J034510.26+242331.8,-23.59616511665332,4.446810039414361
66522377627294336,57.01249962488416,24.0012898055372,3329.668,1065.039,13.914,1.719,41.755,14.838,1.485,1.045,2,1,0,14.5,3.8,0.487317,J034802.96+240004.8,-23.444734880044358,3.9215232315918156
66783099321711360,56.728728157066,24.466451174674035,3393.993,1066.889,15.074,3.434,42.568,12.543,0.7023,1.036,1,0,0,4.6,4.3,0.44902,J034654.88+242759.6,-23.275223770567095,4.431903737323549
72265337311743744,34.74738303164307,10.982086713404204,3307.422,1100.088,4.219,2.504,32.672,12.033,1.037,1.465,1,0,0,3.9,7.0,0.268203,J021859.35+105855.6,-46.37274740669816,-2.738778571227003
97338291233869952,27.6836800932037,21.301733752501164,2898.159,936.513,6.917,3.317,30.788,11.846,0.955,1.036,1,0,0,10.0,3.9,0.310823,J015044.07+211806.4,-39.48942021453973,9.272197739865682
111132759821159424,49.55821650132807,24.63153039741925,3107.854,1012.185,4.323,3.074,33.461,12.953,1.14,0.9197,1,0,0,8.0,3.8,0.179593,J031813.96+243753.6,-27.297191333282964,6.1540257452994425
121176287440183936,54.10247468694697,30.77814877730277,3023.735,947.043,10.521,2.369,33.327,11.97,0.9163,0.9859,1,0,0,8.7,4.3,0.061191,J033624.59+304641.2,-19.975173535235257,11.107328119724134
123825182750715264,48.05566303476134,32.413360327216786,2774.419,868.138,9.311,1.981,31.477,11.574,0.9778,0.8448,1,0,0,3.6,3.5,0.023753,J031213.35+322448.1,-21.688280661434874,14.005944815524643
124559312920519040,52.74276039645791,32.284910032929965,2944.69,913.357,6.009,3.451,31.961,11.541,1.132,1.075,1,0,0,7.0,3.6,0.232507,J033058.24+321705.7,-19.49958283576062,12.849994664085674
170010787154922112,63.289306562288,34.203648373164576,2895.112,911.405,2.572,2.088,30.705,12.459,0.8897,0.8873,1,0,0,4.5,3.6,0.167929,J041309.44+341213.0,-12.272539435337809,12.819278435932338
178409814740773120,67.01019660181763,38.02279485878217,2868.267,868.4,6.176,1.78,33.391,12.235,1.728,1.701,1,0,0,11.2,9.6,0.205107,J042802.43+380122.2,-7.4539595036896555,16.062116043070095
180964362507643136,81.14441408051816,33.090032762708525,3050.44,978.227,8.303,4.635,38.008,13.15,1.083,1.285,3,0,0,8.0,7.5,0.218322,J052434.64+330523.9,-1.543420632966672,9.881715869119322
181186253400855680,80.40642885723793,33.58283533090806,3285.237,1033.767,11.224,3.756,61.158,19.09,1.129,1.077,2,0,0,5.5,4.6,0.308995,J052137.56+333458.2,-1.7736264189709845,10.413421179463182
181953648093076352,78.83742887555677,33.93509681970746,3058.83,963.9,4.242,1.246,36.526,12.414,1.165,1.384,1,0,0,11.1,9.1,0.095302,J051520.99+335606.3,-2.638723636498849,10.859842845601444
182041162347363840,79.67078610444726,34.43539310340615,3067.536,957.882,18.751,3.096,36.964,11.288,1.536,1.585,1,0,0,13.7,12.5,0.073061,J051840.99+342607.4,-1.7870050507372879,11.30660626750508
182053836792653952,79.2388065503622,34.10946585933449,3049.089,976.631,5.566,3.811,32.17,11.861,1.125,0.88,1,0,0,3.8,5.4,0.038163,J051657.31+340634.0,-2.266565472660081,11.00806530561889
182099226008267904,79.35377633724482,34.53472285047545,3132.28,985.482,14.562,4.896,38.031,14.796,2.048,1.995,1,0,0,5.6,5.6,0.224022,J051724.88+343204.9,-1.9434329041958658,11.424962827489553
182289956917284224,78.72389266247355,34.89436931455615,3112.67,961.111,14.558,1.422,36.19,13.118,0.9304,0.9001,2,0,0,8.6,5.2,0.270379,J051453.72+345339.9,-2.1566952593242044,11.823515331913718
182292400754039552,79.100955548714,34.75864022928033,3400.623,1038.862,26.58,9.24,117.562,29.451,0.7811,1.064,3,0,0,5.9,5.3,0.40598,J051624.21+344531.4,-1.9836272899015335,11.664017602491745
182594933955444608,82.32639386978524,34.21323376221695,3082.823,963.796,6.588,2.421,39.475,12.196,1.463,1.217,3,0,0,8.4,6.7,0.453607,J052918.35+341247.2,-0.10051803872270543,10.94580883970132
182604421539916672,82.5084875024135,34.43829787973463,3136.368,975.012,8.921,3.675,40.586,13.742,1.161,1.108,1,0,0,9.7,6.0,1.31556,J053002.01+342619.1,0.14909293069720475,11.162508324747138
