source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
1345188052692608,43.88991754467799,2.3242530116702502,2834.53,907.45,2.149,1.801,33.412,11.192,1.192,1.081,1,0,0,8.8,8.1,0.328052,J025533.55+021927.3,-48.03088164615933,-13.788216710091396
2997371776970112,50.27066864324239,4.65386133654165,2597.778,817.531,6.922,3.632,31.611,11.288,0.837,0.9215,1,0,0,2.7,2.4,0.066609,J032104.96+043913.9,-41.88107351654562,-13.324742438175063
3131168597913728,48.49879304679251,4.745378212159964,2649.91,835.565,4.942,2.583,30.654,11.064,1.019,1.067,1,0,0,2.8,2.4,0.020477,J031359.71+044443.3,-43.08577523247058,-12.767147089974932
6141116038863360,40.17951987263842,5.30820872358259,3183.443,1027.759,2.922,1.244,32.975,10.691,0.892,1.007,1,0,0,2.7,2.9,0.379811,J024043.06+051829.6,-48.17115734645117,-9.826180211944083
6269552740578688,41.85470192753886,5.253854213020208,3067.214,1005.521,3.022,0.927,33.113,11.257,0.9932,1.037,1,0,0,3.0,2.2,0.152359,J024725.11+051513.8,-47.17327851178068,-10.386456507970816
7097107039431168,44.50350927500652,6.048999076343115,2827.555,910.503,7.582,4.675,32.489,12.071,0.9471,1.005,1,0,0,4.2,5.6,0.071012,J025800.83+060256.3,-44.86175233670979,-10.403965521485297
7778086989417856,46.86517936465719,7.5889680417936125,2881.711,923.799,3.889,2.091,32.204,11.134,0.9798,1.069,1,0,0,2.3,2.9,0.552965,J030727.61+073520.5,-42.15217889156229,-9.588231507117227
8993970755488000,44.91020316768133,9.350754055004964,2962.156,952.997,8.59,1.319,30.061,11.114,1.053,0.9191,1,0,0,2.9,2.6,0.065941,J025938.44+092102.7,-42.08436437854509,-7.355619397655928
9405566061434880,50.14948710520794,6.2398669144474095,2717.314,862.484,5.406,3.724,30.842,10.133,1.056,1.118,1,0,0,2.3,2.5,0.199329,J032035.86+061423.6,-40.86657734868263,-11.762163700595318
9762872980747904,53.20910827665763,7.256378086042265,2713.816,859.992,2.609,1.235,31.782,10.169,0.9081,1.092,1,0,0,2.1,2.1,0.249501,J033250.19+071523.1,-37.96932669788549,-11.543536298960053
10467286272555264,49.04061262832536,7.310865992365839,2808.702,898.871,0.0,0.0,29.845,11.5,1.129,0.9854,1,0,0,2.5,2.6,0.161394,J031609.74+071838.9,-40.88121200615087,-10.43947992791716
13389543365460352,53.27530355993704,11.084122956707851,2913.737,932.616,5.863,2.094,34.587,11.981,0.9618,1.062,1,0,0,4.0,2.6,0.180085,J033306.06+110503.0,-35.26070902010388,-7.844907318738143
