gamma_true,bband,n,rmse,prev,undet
0.01,0,1400,0.0,0.0,0.2292857142857143
0.01,1,1400,0.0,0.0,0.1457142857142857
0.01,2,1400,0.0,0.0,0.095
0.01,3,1400,0.0,0.0,0.06928571428571428
0.01,4,1400,0.0,0.0,0.056428571428571425
0.01,5,1400,0.0,0.0,0.07642857142857143
0.02,0,1400,0.0014285714285714286,0.0,0.18785714285714286
0.02,1,1400,0.0014285714285714286,0.0,0.10785714285714286
0.02,2,1400,0.002857142857142857,0.0,0.05785714285714286
0.02,3,1400,0.0014285714285714286,0.0,0.04857142857142857
0.02,4,1400,0.0014285714285714286,0.0007142857142857143,0.05071428571428571
0.02,5,1400,0.0,0.0,0.04642857142857143
0.05,0,1400,0.09428571428571429,0.023571428571428573,0.125
0.05,1,1400,0.06928571428571428,0.02214285714285714,0.045
0.05,2,1400,0.06714285714285714,0.019285714285714285,0.04071428571428572
0.05,3,1400,0.07357142857142857,0.03,0.029285714285714286
0.05,4,1400,0.07071428571428572,0.02142857142857143,0.04428571428571428
0.05,5,1400,0.075,0.03142857142857143,0.05
0.1,0,1400,0.7978571428571428,0.37357142857142855,0.08857142857142856
0.1,1,1400,0.8207142857142857,0.4328571428571429,0.05142857142857143
0.1,2,1400,0.84,0.48142857142857143,0.025714285714285714
0.1,3,1400,0.845,0.4657142857142857,0.017142857142857144
0.1,4,1400,0.7814285714285715,0.45071428571428573,0.08142857142857143
0.1,5,1400,0.7914285714285715,0.42642857142857143,0.07571428571428572
0.15,0,1400,0.8071428571428572,0.4,0.08285714285714285
0.15,1,1400,0.8471428571428572,0.44642857142857145,0.027857142857142858
0.15,2,1400,0.845,0.4757142857142857,0.029285714285714286
0.15,3,1400,0.8535714285714285,0.46714285714285714,0.013571428571428571
0.15,4,1400,0.7671428571428571,0.43142857142857144,0.10285714285714286
0.15,5,1400,0.7728571428571429,0.4421428571428571,0.10285714285714286
0.2,0,1400,0.8121428571428572,0.39,0.07071428571428572
0.2,1,1400,0.8457142857142858,0.465,0.027142857142857142
0.2,2,1400,0.8442857142857143,0.46214285714285713,0.020714285714285713
0.2,3,1400,0.8507142857142858,0.5014285714285714,0.015
0.2,4,1400,0.7157142857142857,0.4235714285714286,0.1492857142857143
0.2,5,1400,0.7264285714285714,0.4035714285714286,0.14142857142857143
0.3,0,1400,0.7657142857142857,0.4035714285714286,0.10357142857142858
0.3,1,1400,0.8414285714285714,0.4835714285714286,0.027142857142857142
0.3,2,1400,0.8271428571428572,0.4807142857142857,0.03428571428571429
0.3,3,1400,0.8421428571428572,0.485,0.019285714285714285
0.3,4,1400,0.6435714285714286,0.365,0.21571428571428572
0.3,5,1400,0.645,0.38642857142857145,0.21428571428571427
0.5,0,1400,0.7214285714285714,0.3742857142857143,0.135
0.5,1,1400,0.8292857142857143,0.4835714285714286,0.027857142857142858
0.5,2,1400,0.8071428571428572,0.44142857142857145,0.05071428571428571
0.5,3,1400,0.8214285714285714,0.47928571428571426,0.035
0.5,4,1400,0.49214285714285716,0.29714285714285715,0.365
0.5,5,1400,0.5192857142857142,0.3078571428571429,0.3392857142857143
