gamma_true,t_ds_true,n,rmse,prev,undet
0.01,100.0,1200,0.0,0.0,0.105
0.01,150.0,1200,0.0,0.0,0.06
0.01,200.0,1200,0.0,0.0,0.07083333333333333
0.01,300.0,1200,0.0,0.0,0.08833333333333333
0.01,450.0,1200,0.0,0.0,0.12
0.01,700.0,1200,0.0,0.0,0.1575
0.01,1000.0,1200,0.0,0.0,0.1825
0.02,100.0,1200,0.0,0.0,0.04833333333333333
0.02,150.0,1200,0.01,0.0008333333333333334,0.04
0.02,200.0,1200,0.0,0.0,0.02666666666666667
0.02,300.0,1200,0.0,0.0,0.0575
0.02,450.0,1200,0.0,0.0,0.1
0.02,700.0,1200,0.0,0.0,0.13416666666666666
0.02,1000.0,1200,0.0,0.0,0.17583333333333334
0.05,100.0,1200,0.043333333333333335,0.0075,0.028333333333333332
0.05,150.0,1200,0.215,0.10166666666666667,0.025833333333333333
0.05,200.0,1200,0.043333333333333335,0.008333333333333333,0.03166666666666667
0.05,300.0,1200,0.07166666666666667,0.015,0.025833333333333333
0.05,450.0,1200,0.14916666666666667,0.04,0.04583333333333333
0.05,700.0,1200,0.0025,0.0,0.10166666666666667
0.05,1000.0,1200,0.0,0.0,0.13083333333333333
0.1,100.0,1200,0.935,0.5016666666666667,0.049166666666666664
0.1,150.0,1200,0.9391666666666667,0.53,0.059166666666666666
0.1,200.0,1200,0.9533333333333334,0.5266666666666666,0.04666666666666667
0.1,300.0,1200,0.97,0.5266666666666666,0.03
0.1,450.0,1200,0.965,0.5233333333333333,0.034166666666666665
0.1,700.0,1200,0.9233333333333333,0.4608333333333333,0.06666666666666667
0.1,1000.0,1200,0.0033333333333333335,0.0,0.11083333333333334
0.15,100.0,1200,0.9275,0.48583333333333334,0.06416666666666666
0.15,150.0,1200,0.9275,0.5491666666666667,0.07166666666666667
0.15,200.0,1200,0.9233333333333333,0.5433333333333333,0.07666666666666666
0.15,300.0,1200,0.9558333333333333,0.5216666666666666,0.0425
0.15,450.0,1200,0.9608333333333333,0.5166666666666667,0.0375
0.15,700.0,1200,0.9508333333333333,0.4816666666666667,0.041666666666666664
0.15,1000.0,1200,0.0625,0.008333333333333333,0.085
0.2,100.0,1200,0.9241666666666667,0.5058333333333334,0.07
0.2,150.0,1200,0.8683333333333333,0.5141666666666667,0.13166666666666665
0.2,200.0,1200,0.8866666666666667,0.505,0.11333333333333333
0.2,300.0,1200,0.9433333333333334,0.5233333333333333,0.056666666666666664
0.2,450.0,1200,0.9683333333333334,0.53,0.03
0.2,700.0,1200,0.9666666666666667,0.5033333333333333,0.03
0.2,1000.0,1200,0.03666666666666667,0.005,0.06333333333333334
0.3,100.0,1200,0.9016666666666666,0.5033333333333333,0.09666666666666666
0.3,150.0,1200,0.8175,0.5025,0.18166666666666667
0.3,200.0,1200,0.8091666666666667,0.4841666666666667,0.19083333333333333
0.3,300.0,1200,0.8991666666666667,0.5266666666666666,0.1
0.3,450.0,1200,0.9441666666666667,0.5358333333333334,0.05583333333333333
0.3,700.0,1200,0.9541666666666667,0.48583333333333334,0.03833333333333333
0.3,1000.0,1200,0.0,0.0,0.05333333333333334
0.5,100.0,1200,0.815,0.4525,0.18
0.5,150.0,1200,0.7091666666666666,0.395,0.2891666666666667
0.5,200.0,1200,0.7058333333333333,0.4216666666666667,0.29083333333333333
0.5,300.0,1200,0.81,0.49583333333333335,0.18666666666666668
0.5,450.0,1200,0.9008333333333334,0.49,0.09666666666666666
0.5,700.0,1200,0.9483333333333334,0.5258333333333334,0.035
0.5,1000.0,1200,0.0,0.0,0.03333333333333333
