w3bin,n,rmse,prev,undet
-2,1,0.0,0.0,1.0
-1,4,0.0,0.0,1.0
0,26,0.0,0.0,1.0
1,161,0.0,0.0,1.0
2,603,0.33499170812603646,0.1890547263681592,0.6417910447761194
3,2378,0.6282590412111018,0.33263246425567705,0.315811606391926
4,5838,0.7870846180198698,0.4405618362452895,0.1211031175059952
5,9517,0.7443522118314595,0.4295471261952296,0.06031312388357676
6,10673,0.5733158437177925,0.33598800712077204,0.016958680783284923
7,10170,0.3572271386430678,0.20865290068829892,0.023402163225172076
8,10082,0.3648085697282285,0.21384645903590557,0.0026780400714144018
9,7833,0.4150389378271416,0.22277543725264906,0.0
10,4460,0.3887892376681614,0.15605381165919283,0.045291479820627804
11,2753,0.3102070468579731,0.1325826371231384,0.3690519433345441
12,1592,0.29773869346733667,0.04459798994974874,0.47675879396984927
13,781,0.20486555697823303,0.0,0.6952624839948783
14,303,0.039603960396039604,0.0,0.9042904290429042
15,25,0.0,0.0,0.96
