stat,ecl_bin,q,n,value
w3_S,0,0.95,3983,2.559252597058443
w3_S,0,0.99,3983,6.462040128891822
w3_S,0,0.999,3983,17.887077439485072
w3_S,1,0.95,3984,2.327671935819236
w3_S,1,0.99,3984,5.8658245912282
w3_S,1,0.999,3984,19.483328049082083
w3_S,2,0.95,3976,2.370214305799488
w3_S,2,0.99,3976,7.848736022891511
w3_S,2,0.999,3976,21.102798322599813
w3_S,3,0.95,3981,2.57737492484557
w3_S,3,0.99,3981,7.981025908813143
w3_S,3,0.999,3981,17.159064273351163
w3_S,4,0.95,3981,2.5760202294910006
w3_S,4,0.99,3981,9.989353362181408
w3_S,4,0.999,3981,25.04845641921902
w3_S,5,0.95,3988,2.445420180166595
w3_S,5,0.99,3988,7.604841192572593
w3_S,5,0.999,3988,15.137360683257237
w3_S,6,0.95,3983,2.611318244546556
w3_S,6,0.99,3983,7.282582672121142
w3_S,6,0.999,3983,17.669342083980094
w4_S,0,0.95,3983,2.095286870690044
w4_S,0,0.99,3983,3.665796878064446
w4_S,0,0.999,3983,11.257764075297615
w4_S,1,0.95,3984,1.9985748548632576
w4_S,1,0.99,3984,3.0576055556318447
w4_S,1,0.999,3984,7.973533259921531
w4_S,2,0.95,3976,2.0429999848845455
w4_S,2,0.99,3976,3.390072856404742
w4_S,2,0.999,3976,7.743169779979625
w4_S,3,0.95,3981,2.1058468658365097
w4_S,3,0.99,3981,3.295794137645174
w4_S,3,0.999,3981,6.127037953549816
w4_S,4,0.95,3981,2.0939255302144417
w4_S,4,0.99,3981,3.978446246037388
w4_S,4,0.999,3981,8.850354997449775
w4_S,5,0.95,3988,2.105065476611864
w4_S,5,0.99,3988,3.278957763562279
w4_S,5,0.999,3988,6.755298449554753
w4_S,6,0.95,3983,2.127171965303513
w4_S,6,0.99,3983,3.230603772654204
w4_S,6,0.999,3983,7.4785425240782635
