file,band,cal_ver,crds_ctx,crds_ver,s_region_ok,expstart,nz,lam_min,lam_max,scale_as,nx,ny,dx_pix,dy_pix,psf_k,psf_beta,psf_fwhm_as,sep_pix,date_obs,targname,bunit,donor,rho_ap,is_donor_subband,rmax_fwhm
jw07199-o002_t003_miri_ch1-long_s3d.fits,1-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.26027704861,1400,6.530400209798245,7.649600181524875,0.12999999523162822,55,51,-0.22164803166210945,0.6820239760084412,,empirical,0.3399700064568315,9.484615102807261,2025-07-28,2MASS J23275133+0506264,MJy/sr,star,1.426268662708243,False,7.96008493839502
jw07199-o002_t003_miri_ch1-medium_s3d.fits,1-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28046221065,1213,5.6603998474020045,6.629999822907848,0.12999999523162822,55,51,-0.16932529860715562,0.41312125401563904,,empirical,0.30879159456011257,9.484615102690476,2025-07-28,2MASS J23275133+0506264,MJy/sr,star,4.541625663230303,True,8.85011182039882
jw07199-o002_t003_miri_ch1-short_s3d.fits,1-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30037034722,1050,4.900400095357327,5.739600074157352,0.12999999523162822,55,51,-0.14749485730956025,0.7460300331840664,,empirical,0.2815600027969922,9.484615102685526,2025-07-28,2MASS J23275133+0506264,MJy/sr,star,8.923865686237795,True,9.658776118267912
jw07199-o002_t003_miri_ch2-long_s3d.fits,2-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.26027704861,1300,10.010650228883605,11.699350233480798,0.17000000178813898,49,45,-0.0534351048309496,-0.1512525804040017,,empirical,0.4642150076290127,7.252940618586139,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,12.519631667712636,True,5.354942336152072
jw07199-o002_t003_miri_ch2-medium_s3d.fits,2-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28046221065,1124,8.670650076295715,10.13055008027004,0.17000000178813898,49,45,-0.038375071506052905,-0.21334509630176512,,empirical,0.41621980258333496,7.252940618290237,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,3.9124052881957336,True,5.898585079949822
jw07199-o002_t003_miri_ch2-short_s3d.fits,2-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30037034722,970,7.5106502288836055,8.770350232312921,0.17000000178813898,49,45,-0.03114281561604315,-0.12451367377557787,,empirical,0.37463650760974265,7.252940618605437,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,1.861707296839922,False,6.911385897342427
jw07199-o002_t003_miri_ch3-long_s3d.fits,3-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.2603422338,1028,15.41124984738417,17.978749789996073,0.2000000029802321,51,51,-0.0791017569628778,-0.18703809538673255,,empirical,0.656934994016774,6.164999498478761,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,92.26516522883732,True,4.300166316843759
jw07199-o002_t003_miri_ch3-medium_s3d.fits,3-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28025109954,892,13.341250152559951,15.568750102771446,0.2000000029802321,51,51,-0.0655824926975761,-0.17073368979776404,,empirical,0.583015004212968,6.164999498443517,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,38.74703097964701,True,4.634356676221909
jw07199-o002_t003_miri_ch3-short_s3d.fits,3-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30015923611,769,11.551250190706924,13.47125014779158,0.2000000029802321,51,51,-0.021610365578265345,-0.25159218571737085,,empirical,0.5188712555852253,6.16499949875757,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,22.609777126767735,True,5.198699135621735
jw07199-o002_t003_miri_ch4-long_s3d.fits,4-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.2603422338,717,24.40299961855635,28.69899965589866,0.34999999403953536,37,35,-0.4825089679955923,0.1911202079024772,,empirical,0.9821829880285077,3.522856969127398,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,4.907289978329366,True,4.038840605174263
jw07199-o002_t003_miri_ch4-medium_s3d.fits,4-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28025109954,632,20.693000534083694,24.47900056699291,0.34999999403953536,37,35,0.08173488467723189,-0.0322779285751551,,empirical,0.8513380181677639,3.5228569689479436,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,21.700518773789792,True,4.145009785518007
jw07199-o002_t003_miri_ch4-short_s3d.fits,4-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30015923611,542,17.70300076296553,20.94900079118088,0.34999999403953536,37,37,-0.00658194224618569,-0.10956312418665348,,empirical,0.7437580256434158,3.522856968717192,2025-07-28,2MASS J23275133+0506264,MJy/sr,con,11.663049029307057,True,4.221736523368574
