band,lam_um,f_star_jy,f_con_jy,e_con_jy,bkg_mjysr,resid_rms,sr_pix,scale_as
1-short,4.900400095357327,0.0004478457041685,3.48404030514595e-05,1.1455204839674268e-05,2.4743219094350053,1.1552325554115983,3.972248469705105e-13,0.1299999952316282
1-short,4.901200095337117,0.0004637565475592,1.1484367386736236e-05,1.1589166204176238e-05,2.7614119112836693,1.04941472536447,3.972248469705105e-13,0.1299999952316282
1-short,4.902000095316907,0.0004593675501187,2.0060046968097256e-05,1.1386261035296134e-05,2.5775030005325945,1.0466133428790314,3.972248469705105e-13,0.1299999952316282
1-short,4.902800095296698,0.0004277494216393,4.248591511752643e-05,1.1090953457083782e-05,2.848861877351908,1.065195815119394,3.972248469705105e-13,0.1299999952316282
1-short,4.903600095276488,0.0004089734063207,3.207878605645234e-05,1.1180226415357708e-05,3.5118460547561483,1.1307580131680757,3.972248469705105e-13,0.1299999952316282
1-short,4.904400095256278,0.0004140980721627,-1.6133795931359478e-06,1.1872981745482553e-05,3.0540903124896595,1.2526770183414349,3.972248469705105e-13,0.1299999952316282
1-short,4.905200095236069,0.0003472740652819,3.172821704890517e-05,1.1958337445525712e-05,2.9639270040265444,1.1984910433973868,3.972248469705105e-13,0.1299999952316282
1-short,4.906000095215859,0.0004074855950122,1.6281994886789866e-05,1.2393212998627394e-05,2.453111326261194,0.9804087460032536,3.972248469705105e-13,0.1299999952316282
1-short,4.906800095195649,0.0004158101386882,5.807261588325557e-05,1.2085465327132656e-05,3.726378810964235,1.0437909892347943,3.972248469705105e-13,0.1299999952316282
1-short,4.90760009517544,0.0004130830129972,4.109363378213393e-05,1.1285005317508687e-05,3.741892217205273,1.0286613531229332,3.972248469705105e-13,0.1299999952316282
1-short,4.90840009515523,0.0004137529741588,2.820137956934525e-05,1.0731490934878251e-05,3.539866582742789,1.028353126503991,3.972248469705105e-13,0.1299999952316282
1-short,4.90920009513502,0.0004034933362634,5.901265753123276e-05,1.0678920385622215e-05,3.273046838800582,1.0153219390444947,3.972248469705105e-13,0.1299999952316282
1-short,4.91000009511481,0.0004025601575229,6.439379398466734e-05,1.1445449174644497e-05,3.026793219115575,1.0565714325275537,3.972248469705105e-13,0.1299999952316282
1-short,4.910800095094601,0.0004067345153754,5.425995062552035e-05,1.1934615835668008e-05,2.409396006294685,0.9772748984080116,3.972248469705105e-13,0.1299999952316282
1-short,4.911600095074391,0.0004436914695834,5.310126791347926e-05,1.2047273705904682e-05,1.5743226385448996,1.0098900638301695,3.972248469705105e-13,0.1299999952316282
1-short,4.912400095054181,0.0004309595342397,4.523854929271977e-05,1.1226755281679605e-05,3.6007918396193457,1.0058715896693475,3.972248469705105e-13,0.1299999952316282
1-short,4.913200095033972,0.0004114947782201,3.8010175791389926e-05,1.1157952284527916e-05,1.8644746621495287,0.9863777600164426,3.972248469705105e-13,0.1299999952316282
1-short,4.914000095013762,0.0003963551880265,5.528306256942279e-05,1.1652862058986896e-05,1.4821467125260028,0.9589451861061784,3.972248469705105e-13,0.1299999952316282
1-short,4.914800094993552,0.0003811258381378,5.086379257956127e-05,1.2166608976554424e-05,2.9726702500664146,1.0119085427619012,3.972248469705105e-13,0.1299999952316282
1-short,4.915600094973343,0.0003998205884884,9.289009111517973e-06,1.2059190675830593e-05,3.461744504787275,0.9681538977383052,3.972248469705105e-13,0.1299999952316282
1-short,4.916400094953133,0.0003912718053906,9.733923173238088e-06,1.106913195033022e-05,3.301979044890912,1.003290810218244,3.972248469705105e-13,0.1299999952316282
1-short,4.917200094932923,0.0004019070637723,2.403469258344352e-05,1.057146499739064e-05,2.2170596407659104,1.004427817827435,3.972248469705105e-13,0.1299999952316282
1-short,4.918000094912713,0.0003996838298332,3.4142356304644195e-05,1.0877463992355086e-05,2.558167908952626,1.0601644011642732,3.972248469705105e-13,0.1299999952316282
1-short,4.918800094892504,0.0003948395084693,3.328547932217378e-05,1.2183674298264525e-05,3.469817315023832,1.0787631121965766,3.972248469705105e-13,0.1299999952316282
1-short,4.919600094872294,0.0003917174233974,1.8751424467579528e-05,1.3542126203697446e-05,5.182869631135176,1.0786693095119415,3.972248469705105e-13,0.1299999952316282
1-short,4.920400094852084,0.0003813663656717,4.1293279456571313e-05,1.3273551875488625e-05,5.456425608537526,1.0166203071119024,3.972248469705105e-13,0.1299999952316282
1-short,4.921200094831875,0.0003965108311041,2.9551761520074076e-05,1.2189534475288891e-05,4.3850261030969335,1.0927950436488627,3.972248469705105e-13,0.1299999952316282
1-short,4.922000094811665,0.0003939848210694,2.839726336680257e-05,1.1169447296800349e-05,5.605126084341492,1.3339276976205166,3.972248469705105e-13,0.1299999952316282
1-short,4.922800094791455,0.000400962565336,4.455032453428738e-05,1.0995208558569676e-05,4.128875035785383,1.1702362243437672,3.972248469705105e-13,0.1299999952316282
1-short,4.9236000947712455,0.0004075726338665,2.683911200314792e-05,1.1775456465942518e-05,3.360040032590426,1.0678852084909836,3.972248469705105e-13,0.1299999952316282
1-short,4.924400094751036,0.0003975996014433,4.168056727655348e-05,1.2466101735923224e-05,4.7461404933840585,1.1248018796926802,3.972248469705105e-13,0.1299999952316282
1-short,4.925200094730826,0.0003462389122721,4.155246019289122e-05,1.2507839718259984e-05,4.603748460502388,1.0759051904754444,3.972248469705105e-13,0.1299999952316282
1-short,4.926000094710616,0.0003051905446595,2.408658844475056e-05,1.1769063053676384e-05,6.1492413865798445,1.177600168513548,3.972248469705105e-13,0.1299999952316282
1-short,4.926800094690407,0.000328499534576,1.526263172028907e-05,1.1540606124238448e-05,5.526279946123232,1.1851384684179278,3.972248469705105e-13,0.1299999952316282
1-short,4.927600094670197,0.0003803631456513,1.519960190575326e-05,1.229656432644187e-05,4.578903092469428,1.1250695567282385,3.972248469705105e-13,0.1299999952316282
1-short,4.928400094649987,0.000372742667669,-6.564333967552245e-06,1.3329999912466696e-05,4.832071342356361,1.0684443843169384,3.972248469705105e-13,0.1299999952316282
1-short,4.929200094629778,0.0003639218673519,-9.135714111063902e-06,1.3351409139825184e-05,4.419529405459898,1.0609890930940868,3.972248469705105e-13,0.1299999952316282
1-short,4.930000094609568,0.0003700922312121,2.1172897696376845e-05,1.2055225018609356e-05,4.99366067195732,1.04221371932658,3.972248469705105e-13,0.1299999952316282
1-short,4.930800094589358,0.000349674644497,1.905091492725853e-05,1.1076459951774296e-05,4.745636419614478,1.1002971189392277,3.972248469705105e-13,0.1299999952316282
1-short,4.9316000945691485,0.0003484560531818,-1.5538043136323804e-05,1.116016928602435e-05,4.921020521929933,1.1214817039649398,3.972248469705105e-13,0.1299999952316282
1-short,4.932400094548939,0.0003019440333636,4.739552236335288e-06,1.1516170278725774e-05,5.047197660182277,0.9417074081993522,3.972248469705105e-13,0.1299999952316282
1-short,4.933200094528729,0.0003398926813934,1.6835473342497485e-05,1.2530283885140884e-05,4.445193993914188,1.002332794597967,3.972248469705105e-13,0.1299999952316282
1-short,4.934000094508519,0.000321828653166,2.540786383316308e-05,1.2973543474684936e-05,5.5655669373153165,1.0333418574801316,3.972248469705105e-13,0.1299999952316282
1-short,4.93480009448831,0.0003394246240131,2.421638618845275e-05,1.2100540183588054e-05,6.9484040176078485,1.0723698375700532,3.972248469705105e-13,0.1299999952316282
1-short,4.9356000944681,0.0003428237222572,1.860114444179011e-05,1.1142080169094676e-05,5.292561164224769,1.1044043804207797,3.972248469705105e-13,0.1299999952316282
1-short,4.93640009444789,0.0003491527769297,7.478185024090608e-06,1.098047179082863e-05,5.119893382486762,1.1607925144547058,3.972248469705105e-13,0.1299999952316282
1-short,4.937200094427681,0.0003421282300842,1.7229067170992265e-06,1.1384738075549029e-05,5.804374842257438,1.0543650023101814,3.972248469705105e-13,0.1299999952316282
1-short,4.938000094407471,0.0003370385600978,-1.1160875911487904e-05,1.1599950530557817e-05,5.709700304760638,1.2610994611787063,3.972248469705105e-13,0.1299999952316282
1-short,4.938800094387261,0.0003754325425511,2.8501634935158328e-05,1.2589771342230067e-05,3.525312241752865,1.1910493253387469,3.972248469705105e-13,0.1299999952316282
1-short,4.939600094367052,0.0003769092516118,2.917876077583017e-05,1.1895003178930638e-05,4.748169481006323,1.1928568661529546,3.972248469705105e-13,0.1299999952316282
1-short,4.940400094346842,0.0004022991130319,1.861630012048348e-06,1.1521462440980278e-05,6.011330564069296,1.1976036634514873,3.972248469705105e-13,0.1299999952316282
1-short,4.941200094326632,0.0003730789666975,2.718437272308996e-05,1.1912624889105466e-05,5.331866165303495,1.1466694167334386,3.972248469705105e-13,0.1299999952316282
1-short,4.942000094306422,0.0003884866350632,5.051525903970172e-05,1.163334212358872e-05,3.662026465775426,1.0621531638425017,3.972248469705105e-13,0.1299999952316282
1-short,4.942800094286213,0.0003439055054086,7.643878541249125e-05,1.2034756273362989e-05,3.804069330543058,1.0600958462075654,3.972248469705105e-13,0.1299999952316282
1-short,4.943600094266003,0.0003299330741458,6.073427246650391e-05,1.2018887839253724e-05,4.759636103750466,1.0325009938072385,3.972248469705105e-13,0.1299999952316282
1-short,4.944400094245793,0.00037949311231,5.248418788618833e-05,1.1404106091422835e-05,5.573196218483801,1.022005325446731,3.972248469705105e-13,0.1299999952316282
1-short,4.945200094225584,0.000386521437034,5.526741382350048e-05,1.0874715896707956e-05,6.059379018265474,1.1125831022076833,3.972248469705105e-13,0.1299999952316282
1-short,4.946000094205374,0.0003738659684785,6.691798822176799e-05,1.1080714380845898e-05,5.936257233300854,1.213553896256569,3.972248469705105e-13,0.1299999952316282
1-short,4.946800094185164,0.0003591241026713,7.5076228976896e-05,1.136792110650336e-05,3.661044992195343,1.174050174939387,3.972248469705105e-13,0.1299999952316282
1-short,4.9476000941649545,0.0003491519334498,5.638847277008399e-05,1.1721245846086964e-05,3.276379799219825,1.031002015145189,3.972248469705105e-13,0.1299999952316282
1-short,4.948400094144745,0.0003144527509957,3.7852637190983736e-05,1.2583998176152614e-05,3.8718390984703888,0.9975193463767053,3.972248469705105e-13,0.1299999952316282
1-short,4.949200094124535,0.000312964510585,4.570206276673036e-05,1.2002163830488804e-05,4.856006048473688,1.1798466763672275,3.972248469705105e-13,0.1299999952316282
1-short,4.950000094104325,0.000348403465994,1.2282733017098382e-05,1.126911063902837e-05,5.085633240778442,1.1243695584952398,3.972248469705105e-13,0.1299999952316282
1-short,4.950800094084116,0.0003883165053375,1.5695777974782294e-05,1.1048874990981185e-05,5.084928893469723,1.2325653478209535,3.972248469705105e-13,0.1299999952316282
1-short,4.951600094063906,0.0003767482680482,1.7077995266846134e-05,1.0851237553000667e-05,4.126014971155023,1.0996832763105144,3.972248469705105e-13,0.1299999952316282
1-short,4.952400094043696,0.0003683342510573,1.3779832672335294e-05,1.1142728791648255e-05,4.891240500758528,1.022913367255192,3.972248469705105e-13,0.1299999952316282
1-short,4.953200094023487,0.0003586234488849,4.251054915413834e-06,1.171429883530406e-05,5.975525234478695,1.0018235304229248,3.972248469705105e-13,0.1299999952316282
1-short,4.954000094003277,0.0003247963751117,1.5943909321428782e-06,1.2060354946065591e-05,5.696935472896856,0.9925021342658612,3.972248469705105e-13,0.1299999952316282
1-short,4.954800093983067,0.0003312052354992,2.441595647499608e-05,1.1961119964733849e-05,5.984298388304496,1.1513784075291196,3.972248469705105e-13,0.1299999952316282
1-short,4.9556000939628575,0.0003596726288352,5.196849697919838e-05,1.1490317282796854e-05,6.011743719757925,1.138792956296184,3.972248469705105e-13,0.1299999952316282
1-short,4.956400093942648,0.0004104116028457,6.352180634630774e-05,1.1198281841186838e-05,4.33280281137499,1.0878007524985325,3.972248469705105e-13,0.1299999952316282
1-short,4.957200093922438,0.0003974892081523,4.5641309201341904e-05,1.132776100417332e-05,4.967132728102101,1.2180776799675137,3.972248469705105e-13,0.1299999952316282
1-short,4.958000093902228,0.0003311776843201,6.906445656443087e-06,1.2281731177549047e-05,5.379537026021531,1.1252235436769822,3.972248469705105e-13,0.1299999952316282
1-short,4.958800093882019,0.0003882114046161,-5.719576000991322e-06,1.2991867228730254e-05,5.466719391318619,1.06000581126007,3.972248469705105e-13,0.1299999952316282
1-short,4.959600093861809,0.0004162727481941,-0.0001249800566035,1.428505943809525e-05,4.594532434485036,1.1511649612526087,3.972248469705105e-13,0.1299999952316282
1-short,4.960400093841599,0.00038483517156,-3.6405918310181086e-05,1.2219989290792816e-05,4.898314866647526,1.038110056702482,3.972248469705105e-13,0.1299999952316282
1-short,4.96120009382139,0.0003840486342638,5.995584781324967e-05,1.135119768272662e-05,6.108332601506563,0.9775260209398636,3.972248469705105e-13,0.1299999952316282
1-short,4.96200009380118,0.0003749516209188,6.63439027799172e-05,1.1378098573274472e-05,5.778916429573672,1.0023655710573245,3.972248469705105e-13,0.1299999952316282
1-short,4.96280009378097,0.0003668331854577,3.039023353309724e-05,1.2172066495706444e-05,5.1836073492758095,0.996761407075107,3.972248469705105e-13,0.1299999952316282
1-short,4.9636000937607605,0.0004020092627229,2.644212382222968e-05,1.2440174602035808e-05,5.942649218699226,1.1251713680330362,3.972248469705105e-13,0.1299999952316282
1-short,4.964400093740551,0.0004034910192868,4.154736995687553e-05,1.1946338255324006e-05,4.944213512926719,1.1334289355424532,3.972248469705105e-13,0.1299999952316282
1-short,4.965200093720341,0.0004504765067062,2.4100509546856443e-05,1.105910757872666e-05,5.164566558254736,1.0086891099780058,3.972248469705105e-13,0.1299999952316282
1-short,4.966000093700131,0.0003905984661819,3.744060302723847e-05,1.0439550802972408e-05,5.906185390991976,1.11011717324758,3.972248469705105e-13,0.1299999952316282
1-short,4.966800093679922,0.0003620491311345,6.90888111160646e-05,1.0600627662785558e-05,5.503737042098341,1.0747081560854557,3.972248469705105e-13,0.1299999952316282
1-short,4.967600093659712,0.0003470186999091,9.041091269111155e-05,1.1538200019201406e-05,7.095726475082732,1.0888961388905063,3.972248469705105e-13,0.1299999952316282
1-short,4.968400093639502,0.0003755441629016,3.113763999041106e-05,1.2452238247767476e-05,8.938057989199804,1.0689350370989985,3.972248469705105e-13,0.1299999952316282
1-short,4.969200093619293,0.0003570803368922,-6.272379565283058e-06,1.2241272601593508e-05,7.827533747533338,1.0988652287516432,3.972248469705105e-13,0.1299999952316282
1-short,4.970000093599083,0.0003848887666236,5.603982683954165e-06,1.1605597366868956e-05,7.262302549978086,1.2468078779469398,3.972248469705105e-13,0.1299999952316282
1-short,4.970800093578873,0.0004581387774129,4.122471739815072e-05,1.0982942713598024e-05,6.428235658320619,1.1571424407020894,3.972248469705105e-13,0.1299999952316282
1-short,4.971600093558664,0.0004598856322237,2.009141337714704e-05,1.1043134617160156e-05,5.7503837206685136,0.9900490041793608,3.972248469705105e-13,0.1299999952316282
1-short,4.972400093538454,0.0004170634663987,2.292457658887915e-05,1.1689104679976433e-05,5.680070932876634,1.0131295715585615,3.972248469705105e-13,0.1299999952316282
1-short,4.973200093518244,0.0003995639056308,1.823518334739007e-05,1.217569624150461e-05,6.059328546610994,0.9782536125943394,3.972248469705105e-13,0.1299999952316282
1-short,4.974000093498034,0.0004458204793325,1.3308668140179464e-05,1.2099769191091355e-05,5.11839436693375,0.9120153146647676,3.972248469705105e-13,0.1299999952316282
1-short,4.974800093477825,0.0004572912859953,5.079243552114006e-05,1.121578009067434e-05,4.152953806592896,0.9447858529264508,3.972248469705105e-13,0.1299999952316282
1-short,4.975600093457615,0.0004325710506744,4.8756336400800965e-05,1.070779564253333e-05,4.410308512087127,0.97853819586157,3.972248469705105e-13,0.1299999952316282
1-short,4.976400093437405,0.0004491828588973,3.893485709327112e-05,1.0901977879335628e-05,4.509446490610625,1.1029843388474396,3.972248469705105e-13,0.1299999952316282
1-short,4.977200093417196,0.0004357991396276,1.880477277730937e-05,1.194261093146065e-05,4.469243127320994,0.9705801104874298,3.972248469705105e-13,0.1299999952316282
1-short,4.978000093396986,0.0004477397190783,-1.1827685831698928e-05,1.263633747090124e-05,5.8217389272455,0.9659605482496252,3.972248469705105e-13,0.1299999952316282
1-short,4.978800093376776,0.0004122561283771,1.1155230324076827e-06,1.2168649135274577e-05,5.39769892334147,1.0196831456040492,3.972248469705105e-13,0.1299999952316282
1-short,4.979600093356567,0.0003802163131308,-6.185626813362095e-06,1.1248982102280276e-05,5.110952658050073,1.0630909538705002,3.972248469705105e-13,0.1299999952316282
1-short,4.980400093336357,0.0003904843528604,3.368350205160769e-06,1.0310392404763684e-05,5.443274436405045,0.9696956773927502,3.972248469705105e-13,0.1299999952316282
1-short,4.981200093316147,0.0003936641817787,3.16253139556259e-05,1.0174640763919656e-05,5.315984074759299,0.950769264784081,3.972248469705105e-13,0.1299999952316282
1-short,4.982000093295937,0.0004101190506248,6.146950399584471e-05,1.1057474003157e-05,5.786965680050935,0.9390747832745812,3.972248469705105e-13,0.1299999952316282
1-short,4.982800093275728,0.0003928487306423,1.7144582149889825e-05,1.223538926210166e-05,5.74587562879709,0.980380781474343,3.972248469705105e-13,0.1299999952316282
1-short,4.983600093255518,0.0003734302164659,2.8227073301637268e-05,1.2592543253507487e-05,5.8637222540202645,0.9492534942492596,3.972248469705105e-13,0.1299999952316282
1-short,4.984400093235308,0.0004210895017682,2.9275219228007472e-05,1.211296292636374e-05,8.02509770421394,1.0429497436163595,3.972248469705105e-13,0.1299999952316282
1-short,4.985200093215099,0.0004372120091612,4.1171280932952014e-05,1.1206090181444691e-05,7.984253063430373,1.046438151987357,3.972248469705105e-13,0.1299999952316282
1-short,4.986000093194889,0.0004374596081243,6.249264433034798e-05,1.0950248081643492e-05,6.21729119358457,1.140087065934593,3.972248469705105e-13,0.1299999952316282
1-short,4.986800093174679,0.0004284351172865,7.662354339328355e-05,1.123702321822358e-05,5.420484253579487,1.0817671169608285,3.972248469705105e-13,0.1299999952316282
1-short,4.9876000931544695,0.0004638548329669,4.4987546379185854e-05,1.166881070770416e-05,5.761345335528645,1.0742980060457794,3.972248469705105e-13,0.1299999952316282
1-short,4.98840009313426,0.0004125622998964,2.713598974130791e-05,1.1779031219047658e-05,5.957202302619538,1.1033991064464626,3.972248469705105e-13,0.1299999952316282
1-short,4.98920009311405,0.0003641320737678,4.68753219234907e-05,1.1635469265232944e-05,6.395467636023199,1.0588871069190569,3.972248469705105e-13,0.1299999952316282
1-short,4.99000009309384,0.0003302767029155,3.2921483846841294e-05,1.1213265862129904e-05,5.335789245898356,0.9395860673721108,3.972248469705105e-13,0.1299999952316282
1-short,4.990800093073631,0.0003527472721168,3.870027175429618e-05,1.0973811809197798e-05,4.612795970088143,0.9897339189442282,3.972248469705105e-13,0.1299999952316282
1-short,4.991600093053421,0.0004270848329255,3.612709045264125e-05,1.1346142427598228e-05,6.290060447851365,1.1652605470110051,3.972248469705105e-13,0.1299999952316282
1-short,4.992400093033211,0.0004319455842947,3.103792123338921e-05,1.202751444734882e-05,7.561374565527523,1.1266819055995545,3.972248469705105e-13,0.1299999952316282
1-short,4.993200093013002,0.0003624093679931,1.812852208930496e-05,1.247632999003604e-05,7.578592960684476,1.148032423221262,3.972248469705105e-13,0.1299999952316282
