z,score
0.0,88.03357217150477
0.0005,88.15119640985301
0.001,88.57267011939862
0.0015,89.32698930891132
0.002,90.51244114623813
0.0025,92.90810348732269
0.003,97.41473115441738
0.0035,102.53033876795709
0.004,106.10652131070029
0.0045000000000000005,108.20543473399835
0.005,110.6398269431244
0.0055,115.3968746755226
0.006,120.34809901030836
0.006500000000000001,123.51843485224937
0.007,124.30477821107866
0.0075,123.09317308414481
0.008,120.7510458436653
0.0085,119.1073678961815
0.009000000000000001,117.36929268699807
0.0095,115.1455644214602
0.01,111.70358855216122
0.0105,107.4640326306174
0.011,103.39425436802496
0.0115,99.59230739911699
0.012,94.98894976082943
0.0125,89.06652295334919
0.013000000000000001,82.63208291974026
0.0135,76.30166109595673
0.014,69.24392801660734
0.0145,60.314717294676946
0.015,49.88458671895802
0.0155,39.48517263755076
0.016,30.122271980373316
0.0165,21.360039426730975
0.017,12.577250392036957
0.0175,3.1543933029258584
0.018000000000000002,-7.306014907134799
0.0185,-19.169813304805626
0.019,-32.61070007003307
0.0195,-47.74958233963237
0.02,-63.68207268962203
0.0205,-78.52180489664612
0.021,-91.41343629828926
0.021500000000000002,-102.84821763581549
0.022,-115.50264569486282
0.0225,-131.81144838356872
0.023,-151.05007732180775
0.0235,-171.83048946463273
0.024,-192.5602616313969
0.0245,-210.54651902353604
0.025,-224.42456771308727
0.025500000000000002,-236.83487345935086
0.026000000000000002,-251.28001918896658
0.0265,-267.04442545196713
0.027,-282.27987441157956
0.0275,-296.6850476102901
0.028,-309.3679964758023
0.0285,-318.58473203329334
0.029,-325.2969047986088
0.029500000000000002,-333.11809276347327
0.03,-342.8141836971342
0.0305,-354.02340614697687
0.031,-365.9048187277595
0.0315,-377.67641424093597
0.032,-388.8767097302275
0.0325,-401.1593503360302
0.033,-412.3832376835775
0.0335,-418.56643633169944
0.034,-419.8217091332969
0.0345,-422.61034838722696
0.035,-428.82035453356906
0.035500000000000004,-434.5843250357994
0.036000000000000004,-438.50914433915364
0.0365,-442.526578636176
0.037,-448.7666706667146
0.0375,-455.9481590763546
0.038,-460.7994111555369
0.0385,-462.2662870482799
0.039,-461.83178397561215
0.0395,-460.32414289471075
0.04,-457.41559339366967
0.0405,-453.45374964226255
0.041,-447.626626508223
0.0415,-440.556829159292
0.042,-433.1607959366061
0.0425,-427.1256948017234
0.043000000000000003,-422.869971370679
0.043500000000000004,-417.3079987793246
0.044,-407.8325639295095
0.0445,-396.03971279957744
0.045,-382.93456068300986
0.0455,-367.99994581961437
0.046,-349.52408986246274
0.0465,-325.86599153466943
0.047,-298.0546858622438
0.0475,-272.5220657934305
0.048,-258.0400668990476
0.0485,-255.13707516360574
0.049,-254.77653049154668
0.0495,-249.97853075575932
0.05,-241.1373892783696
0.0505,-230.5033681473412
0.051000000000000004,-218.15615414461112
0.051500000000000004,-204.83256540734442
0.052000000000000005,-191.10356794721926
0.0525,-177.08173067397587
0.053,-163.91021034684917
0.0535,-152.61074118446228
0.054,-142.53439056775625
0.0545,-133.02811913814477
0.055,-124.16567035790489
0.0555,-116.40168734705954
0.056,-109.52965213562716
0.0565,-102.1562102534324
0.057,-93.14630104273036
0.0575,-83.77708839170025
0.058,-75.92509545975712
0.0585,-70.36622416679106
0.059000000000000004,-67.26692964410911
0.059500000000000004,-65.26912857530542
0.06,-62.540521786863984
0.0605,-58.44980484502482
0.061,-53.416718966534646
0.0615,-48.376521359872854
0.062,-43.921791410859115
0.0625,-40.680222149480784
0.063,-39.13378348884513
0.0635,-39.187623973468995
0.064,-40.441168065597765
0.0645,-41.63715455485118
0.065,-41.394264770957335
0.0655,-39.25003120587791
0.066,-35.65360115660954
0.0665,-31.356888402866026
0.067,-27.524441722324543
0.0675,-26.754960973574057
0.068,-31.341126246985457
0.0685,-39.317181174789624
0.069,-45.40805319891318
0.0695,-46.73044786412802
0.07,-45.267170582575524
0.07050000000000001,-44.752597812207846
0.07100000000000001,-46.60511156385217
0.07150000000000001,-49.67149995317736
0.07200000000000001,-52.3873576178055
0.0725,-53.647904258504056
0.073,-54.078902164917366
0.0735,-55.098563675068526
0.074,-57.31583917375385
0.0745,-60.696477248412606
0.075,-65.68828707455863
0.0755,-72.7869272128828
0.076,-80.50667584980488
0.0765,-86.33325430225321
0.077,-89.77839102132916
0.0775,-92.18903240946133
0.078,-94.9726727039813
0.0785,-98.12008066075919
0.079,-99.8090992751769
0.0795,-98.44919085773327
0.08,-94.28546505943879
0.0805,-89.43544942324385
0.081,-87.04075501235207
0.0815,-89.20499088810274
0.082,-95.13215847607054
0.0825,-101.67571944127364
0.083,-106.0167917997812
0.0835,-107.1842061733711
0.084,-105.85969372594427
0.0845,-104.13771348184473
0.085,-104.175626403749
0.0855,-106.34309002187796
0.08600000000000001,-109.35991698998184
0.08650000000000001,-112.31406324961598
0.08700000000000001,-116.32052327441015
0.08750000000000001,-122.56792341364192
0.088,-129.6450679345003
0.0885,-134.78952599359948
0.089,-136.40133987298015
0.0895,-134.98156647114493
0.09,-132.19819281887655
0.0905,-129.5398342454041
0.091,-127.04591349273261
0.0915,-122.73340465916615
0.092,-113.97252741824543
0.0925,-100.51080668720127
0.093,-87.0361504180104
0.0935,-81.13424278835247
0.094,-86.37690709575688
0.0945,-98.34018644018549
0.095,-109.03340932231482
0.0955,-114.00495317153243
0.096,-113.58615473277669
0.0965,-110.21490935552671
0.097,-106.60795722537189
0.0975,-104.0936394757689
0.098,-102.3478265182088
0.0985,-100.54754961811567
0.099,-98.26167719815275
0.0995,-95.65221701249916
0.1,-93.34912714790765
0.1005,-91.6073244369929
0.101,-90.02927121909056
0.1015,-88.17658434358003
0.10200000000000001,-85.51399367501594
0.10250000000000001,-81.59699228404408
0.10300000000000001,-76.5145113141642
0.10350000000000001,-71.12164235251038
0.10400000000000001,-66.52145879055631
0.1045,-62.96121272153305
0.105,-60.12493654191394
0.1055,-57.52861034166039
0.106,-54.693640881805706
0.1065,-51.57569116287008
0.107,-48.112101594145585
0.1075,-43.85377618730817
0.108,-38.84675722906849
0.1085,-33.84119133392238
0.109,-29.379574125335655
0.1095,-25.5740439848053
0.11,-22.350692308525097
0.1105,-19.56060877951065
0.111,-16.883778094467075
0.1115,-14.04758673830254
0.112,-10.954923889558676
0.1125,-7.4228812223520855
0.113,-3.343215185288743
0.1135,0.8883156366047477
0.114,4.585165096733691
0.1145,7.695707343570852
0.115,10.921060145456362
0.1155,14.74848737796929
0.116,18.93596158355293
0.1165,22.879675153761553
0.117,26.207162522491213
0.11750000000000001,28.605910551973178
0.11800000000000001,30.215142022252042
