file,band,cal_ver,crds_ctx,crds_ver,s_region_ok,expstart,nz,lam_min,lam_max,scale_as,nx,ny,dx_pix,dy_pix,psf_k,psf_beta,psf_fwhm_as,sep_pix,date_obs,targname,bunit
jw07199-o002_t003_miri_ch1-long_s3d.fits,1-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.26027704861,1400,6.530400209798245,7.649600181524875,0.1299999952316282,55,51,-0.25,0.5,1.0,,0.3399700064568315,9.48461510280726,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch1-medium_s3d.fits,1-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28046221065,1213,5.6603998474020045,6.629999822907848,0.1299999952316282,55,51,-0.25,0.5,1.0,,0.3087915945601125,9.484615102690476,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch1-short_s3d.fits,1-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30037034722,1050,4.900400095357327,5.739600074157352,0.1299999952316282,55,51,-0.25,0.75,1.1,,0.3097160030766914,9.484615102685526,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch2-long_s3d.fits,2-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.26027704861,1300,10.010650228883604,11.699350233480798,0.1700000017881389,49,45,0.0,-0.25,1.0,,0.4642150076290127,7.252940618586139,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch2-medium_s3d.fits,2-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28046221065,1124,8.670650076295715,10.13055008027004,0.1700000017881389,49,45,0.0,-0.25,1.1,,0.4578417828416685,7.252940618290237,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch2-short_s3d.fits,2-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30037034722,970,7.510650228883605,8.770350232312921,0.1700000017881389,49,45,0.0,0.0,1.25,,0.4682956345121783,7.252940618605437,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch3-long_s3d.fits,3-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.2603422338,1028,15.41124984738417,17.978749789996073,0.2000000029802321,51,51,0.0,-0.25,1.0,,0.656934994016774,6.164999498478761,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch3-medium_s3d.fits,3-medium,2.0.1,jwst_1535.pmap,13.1.13,True,60884.28025109954,892,13.341250152559953,15.568750102771446,0.2000000029802321,51,51,0.0,-0.25,1.0,,0.583015004212968,6.164999498443517,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch3-short_s3d.fits,3-short,2.0.1,jwst_1535.pmap,13.1.13,True,60884.30015923611,769,11.551250190706924,13.47125014779158,0.2000000029802321,51,51,0.0,-0.25,1.1,,0.5707583811437479,6.16499949875757,2025-07-28,2MASS J23275133+0506264,MJy/sr
jw07199-o002_t003_miri_ch4-long_s3d.fits,4-long,2.0.1,jwst_1535.pmap,13.1.13,True,60884.2603422338,717,24.40299961855635,28.69899965589866,0.3499999940395353,37,35,-1.5,1.5,1.6,,1.5714927808456125,3.522856969127398,2025-07-28,2MASS J23275133+0506264,MJy/sr
