z,score
0.0,138.99607971355846
0.0005,137.5782918806044
0.001,137.08621536412116
0.0015,136.57731848472653
0.002,135.76686639119097
0.0025,135.07981012193667
0.003,134.72777626244778
0.0035,133.52406436211922
0.004,131.39668652678495
0.0045000000000000005,129.2754998999441
0.005,128.74550657438616
0.0055,131.2508177020021
0.006,133.89524495380468
0.006500000000000001,135.83171175664077
0.007,136.78554301750336
0.0075,136.02319344286215
0.008,132.8706425959188
0.0085,128.84615866131026
0.009000000000000001,125.10068663877287
0.0095,122.43036289175225
0.01,120.33592307278428
0.0105,118.00784103587655
0.011,115.76432469543506
0.0115,113.33631353207426
0.012,110.1751765016259
0.0125,105.51484591906166
0.013000000000000001,99.79935936049304
0.0135,94.15817155294683
0.014,88.21784553603989
0.0145,80.72203511960029
0.015,72.20022134121228
0.0155,64.52141914972277
0.016,57.70821324796101
0.0165,50.54354404198924
0.017,43.25913900813188
0.0175,35.69483607639707
0.018000000000000002,27.156583611788434
0.0185,17.060431192647016
0.019,4.735505213192917
0.0195,-8.765770606296039
0.02,-21.52786397341096
0.0205,-32.87200197315244
0.021,-43.15909978098102
0.021500000000000002,-52.79291480478983
0.022,-62.72087557101407
0.0225,-74.29818720134928
0.023,-87.68336244036261
0.0235,-101.60093031638831
0.024,-114.48681142296172
0.0245,-125.28800323370656
0.025,-133.85385141033626
0.025500000000000002,-141.42929580105488
0.026000000000000002,-149.69372960604767
0.0265,-159.37840420503454
0.027,-170.9720409330465
0.0275,-182.7777939939108
0.028,-192.47768516469674
0.0285,-199.70476289835142
0.029,-205.56439566212674
0.029500000000000002,-211.4765487708404
0.03,-217.84666158013567
0.0305,-225.51291051049256
0.031,-234.8560842532264
0.0315,-243.57361123979322
0.032,-248.91891003033368
0.0325,-252.03174289698467
0.033,-254.89293533539782
0.0335,-257.4210511429412
0.034,-258.80791034997833
0.0345,-260.3316712123242
0.035,-261.59449189347566
0.035500000000000004,-261.25956102789314
0.036000000000000004,-260.6996122854076
0.0365,-262.4531821703274
0.037,-268.17465976200697
0.0375,-274.8249557187483
0.038,-278.6992614991484
0.0385,-280.3029907441306
0.039,-280.9960625751698
0.0395,-280.1960958984694
0.04,-277.4355564591937
0.0405,-274.28927065651953
0.041,-271.63182429890634
0.0415,-268.9069768838902
0.042,-266.2631528873636
0.0425,-264.09618262308084
0.043000000000000003,-261.1253466872327
0.043500000000000004,-255.69981174402017
0.044,-247.84896677185486
0.0445,-239.1294667886527
0.045,-229.93061663060175
0.0455,-219.59340087526445
0.046,-206.23112415313255
0.0465,-187.5579700190132
0.047,-164.3794718940639
0.0475,-143.76588247344606
0.048,-134.20115360515226
0.0485,-135.6019966100475
0.049,-139.46090581023455
0.0495,-139.43257817338565
0.05,-135.4024065514941
0.0505,-129.23102495699192
0.051000000000000004,-121.65043195804022
0.051500000000000004,-113.29743434031836
0.052000000000000005,-104.66940179979443
0.0525,-95.79837652435727
0.053,-87.00669567315252
0.0535,-78.62789508421885
0.054,-70.68125565359553
0.0545,-63.51971128602149
0.055,-57.37315612902206
0.0555,-52.048885354522994
0.056,-46.89311612910175
0.0565,-40.56551119297909
0.057,-31.957557346227784
0.0575,-22.083191287621634
0.058,-13.723253457858725
0.0585,-8.496980225224418
0.059000000000000004,-5.5547474123945735
0.059500000000000004,-3.374066012246991
0.06,-2.1229197586775075
0.0605,-2.313376122595495
0.061,-2.5630677420786294
0.0615,-1.4802712543546572
0.062,0.6508116760711588
0.0625,2.877783575753651
0.063,4.277231236350387
0.0635,4.493604041215052
0.064,4.2219025450215355
0.0645,4.747788890511112
0.065,7.252613128758464
0.0655,11.962292626155886
0.066,17.027779447197343
0.0665,21.653191974955405
0.067,28.182389134182074
0.0675,35.55231973189367
0.068,40.439848091703375
0.0685,43.64336235565773
0.069,47.30752579949129
0.0695,51.39595718712246
0.07,54.38481677737957
0.07050000000000001,54.8188146469519
0.07100000000000001,52.268077144325545
0.07150000000000001,47.44447913894545
0.07200000000000001,42.62386313481064
0.0725,40.749037185164575
0.073,41.97030372972927
0.0735,43.65275108127987
0.074,43.86706496331704
0.0745,42.50866579571425
0.075,39.625656053811596
0.0755,35.11913106081998
0.076,30.27918116483326
0.0765,27.390734997186197
0.077,27.212322151028822
0.0775,27.93430605021457
0.078,27.11656735878068
0.0785,24.84808394250895
0.079,23.870728522874387
0.0795,25.910643754287985
0.08,30.055977636079277
0.0805,34.310008143659424
0.081,36.802571043518206
0.0815,35.79611475187943
0.082,30.8782922628672
0.0825,23.997060490994382
0.083,17.85180517325949
0.0835,13.6005702459818
0.084,11.036742058603416
0.0845,9.430348297084473
0.085,7.571630085275795
0.0855,4.449642507089141
0.08600000000000001,0.31676549451073505
0.08650000000000001,-4.220433699354135
0.08700000000000001,-10.094637803714397
0.08750000000000001,-18.29022353366928
0.088,-27.519620116460484
0.0885,-35.10495477624717
0.089,-39.32809739943813
0.0895,-40.47672662947956
0.09,-40.31464484595889
0.0905,-40.5166655345004
0.091,-40.74932486799356
0.0915,-38.792970133689316
0.092,-32.35582008771668
0.0925,-21.482442081881548
0.093,-10.95761616088792
0.0935,-8.351112790714224
0.094,-16.996384291971914
