z,score
0.0,131.10530527495303
0.0005,129.41805211732546
0.001,128.40093027572257
0.0015,127.49542558836019
0.002,126.26563673559642
0.0025,125.65540324483823
0.003,126.10994302671169
0.0035,127.19800625407977
0.004,127.54898316549715
0.0045000000000000005,126.73430025510119
0.005,126.0213774209752
0.0055,126.00145349771924
0.006,126.7289496240095
0.006500000000000001,127.73104852239568
0.007,129.01508407057202
0.0075,129.07550878944053
0.008,127.38188855292165
0.0085,124.77156422420417
0.009000000000000001,121.98589678658735
0.0095,119.30087805925706
0.01,116.513077279315
0.0105,113.86385403611517
0.011,111.42498189951272
0.0115,109.21369451304234
0.012,106.90377975864692
0.0125,103.57756426069714
0.013000000000000001,99.18544727725788
0.0135,94.07741431110489
0.014,88.70937758442798
0.0145,82.63800675065414
0.015,75.62695235775374
0.0155,68.07592344819814
0.016,60.559119609608025
0.0165,53.42572615010948
0.017,46.9065082241116
0.0175,40.61661034705461
0.018000000000000002,33.94350966495075
0.0185,26.510269291876888
0.019,18.240624787008098
0.0195,9.198705648640052
0.02,-0.015117290163815975
0.0205,-9.241118756624589
0.021,-18.121531992007643
0.021500000000000002,-26.457097343171394
0.022,-35.20498670285715
0.0225,-44.54252964236907
0.023,-53.690969002948414
0.0235,-62.14180160633821
0.024,-69.8967456464409
0.0245,-78.03715478688316
0.025,-87.04391390007045
0.025500000000000002,-95.35346357542045
0.026000000000000002,-102.36455237178905
0.0265,-108.64004385085786
0.027,-115.30714925272346
0.0275,-122.68788949489196
0.028,-130.5901507852213
0.0285,-137.73719283293497
0.029,-143.561758561431
0.029500000000000002,-148.78206508893896
0.03,-153.29694335026295
0.0305,-156.80515799226038
0.031,-160.3293362754705
0.0315,-164.37487162575619
0.032,-168.00952553369453
0.0325,-171.21129129480164
0.033,-174.4648947509852
0.0335,-177.31848582977491
0.034,-179.83821265586988
0.0345,-182.15799087248465
0.035,-183.02810820621775
0.035500000000000004,-181.7683164953055
0.036000000000000004,-179.64721959697656
0.0365,-178.6177478644483
0.037,-179.53280104388242
0.0375,-180.92726840441006
0.038,-181.25873512675392
0.0385,-180.49373373770953
0.039,-179.06647166810836
0.0395,-177.1680232887053
0.04,-175.24121686808988
0.0405,-173.94386730556275
0.041,-172.53449290315004
0.0415,-169.91959364709166
0.042,-166.67754269492661
0.0425,-164.29888417794183
0.043000000000000003,-162.99918533088632
0.043500000000000004,-161.5153991428823
0.044,-157.97585244177282
0.0445,-152.4199931082147
0.045,-146.281019811929
0.0455,-140.00808832639765
0.046,-132.81107500775659
0.0465,-123.88000211827082
0.047,-113.10901678040224
0.0475,-103.12934603946898
0.048,-98.41354279308024
0.0485,-98.97532938443032
0.049,-100.22478827413154
0.0495,-99.50915464064347
0.05,-97.16580004858041
0.0505,-93.73112145780337
0.051000000000000004,-89.5247415953119
0.051500000000000004,-85.40174426860254
0.052000000000000005,-81.57012134455755
0.0525,-77.69427122215897
0.053,-73.8850179162689
0.0535,-70.42492577317181
0.054,-66.97626898359735
0.0545,-63.22209813425864
0.055,-59.57665348688539
0.0555,-56.52061100988436
0.056,-54.112076814527356
0.0565,-51.73484089847932
0.057,-49.06710049896652
0.0575,-46.61976849613478
0.058,-44.50455981064687
0.0585,-42.2071996999039
0.059000000000000004,-39.75565864036942
0.059500000000000004,-37.917869801831564
0.06,-36.917035303184846
0.0605,-35.95135278241607
0.061,-34.656751296645574
0.0615,-33.29257703028262
0.062,-32.00011683239696
0.0625,-30.749598084403633
0.063,-29.774196956943804
0.0635,-29.583725381877176
0.064,-30.011877877555012
0.0645,-30.34899305909603
0.065,-30.503410133251585
0.0655,-30.473655211266447
0.066,-30.119053706244774
0.0665,-29.752852294428468
0.067,-29.383364832385197
0.0675,-28.779179557708776
0.068,-28.20429975071898
0.0685,-27.909930940874954
0.069,-27.852081261261766
0.0695,-28.03132672230693
0.07,-28.280009704831397
0.07050000000000001,-28.457236391087907
0.07100000000000001,-28.76995388041885
0.07150000000000001,-29.204683231273634
0.07200000000000001,-29.631668920820477
0.0725,-30.28092491138178
0.073,-31.412755607380277
0.0735,-32.788750754420676
0.074,-34.01893198427234
0.0745,-34.88597096993178
0.075,-35.393298344276204
0.0755,-35.688117437038116
0.076,-35.81934942804224
0.0765,-35.700263938705284
0.077,-35.380585171248754
0.0775,-35.27098108051624
0.078,-35.63926076693005
0.0785,-36.419876887973956
0.079,-37.55830139542336
0.0795,-38.55520844610655
0.08,-38.63011217656738
0.0805,-38.007016914546526
0.081,-38.241968770690825
0.0815,-40.683091529064264
0.082,-45.134200775663366
0.0825,-50.09077601976136
0.083,-54.02496919253974
0.0835,-56.67640413627528
0.084,-58.92572065455842
0.0845,-61.4494151381111
0.085,-64.20813614543806
0.0855,-67.23181078433102
0.08600000000000001,-70.95946210123635
0.08650000000000001,-75.41309078721915
0.08700000000000001,-80.1937999983646
0.08750000000000001,-84.80240868644381
0.088,-88.66780266849857
0.0885,-91.55257386281713
0.089,-93.5105888534855
0.0895,-94.64484755482049
0.09,-95.26952517433418
0.0905,-96.10717536523025
0.091,-97.56511427138025
0.0915,-99.09049281294855
0.092,-99.39639127338442
0.0925,-97.67262664411582
0.093,-95.15902347633946
0.0935,-94.97094728895397
0.094,-98.93005663921764
0.0945,-105.48328554914839
0.095,-111.64808159296528
0.0955,-115.75049386833146
0.096,-117.68859614605401
0.0965,-118.38526496317043
0.097,-118.89313978216487
0.0975,-119.54837113987678
0.098,-120.18337553664176
0.0985,-120.50101450549602
0.099,-120.2642740353192
0.0995,-119.41991707012518
0.1,-118.17676787336102
0.1005,-116.66809441734871
0.101,-114.91510940433018
0.1015,-113.0577961723172
0.10200000000000001,-111.00515772018308
0.10250000000000001,-108.62905529299775
0.10300000000000001,-105.86558429565467
0.10350000000000001,-102.82366143805024
0.10400000000000001,-99.90780982364456
0.1045,-97.15668747690765
0.105,-94.43060540626198
0.1055,-91.63343896163163
0.106,-88.60503728442637
0.1065,-85.24261391936203
0.107,-81.55212927799033
0.1075,-77.51159682909903
0.108,-73.2085650307703
0.1085,-68.87545310646733
0.109,-64.60028129876596
0.1095,-60.35380384337661
0.11,-56.0666200702434
0.1105,-51.72262489452072
0.111,-47.4066158845025
0.1115,-43.34350202587273
0.112,-39.718153946439564
0.1125,-36.346114783288414
0.113,-32.757902665137614
0.1135,-28.643222457136417
0.114,-24.096541180080422
0.1145,-19.328756926365486
0.115,-14.50725440049438
0.1155,-9.931816227566316
0.116,-5.919503722802117
0.1165,-2.3748989772153393
0.117,1.214387791721864
0.11750000000000001,4.991991723536318
0.11800000000000001,8.75234435871499
0.11850000000000001,12.588459703748374
0.11900000000000001,16.47661452892074
0.11950000000000001,20.0756519036387
0.12,23.286351660393546
0.1205,26.338049541008107
0.121,29.479155998893226
0.1215,32.732926186537064
0.122,36.031638392960055
0.1225,39.39583501202268
0.123,42.68795630028364
0.1235,45.74949872217943
0.124,48.70884957316036
0.1245,51.67212220516458
0.125,54.44037587300041
0.1255,57.01563939447071
0.126,59.576432171668976
0.1265,62.17949178799098
0.127,64.84142518796178
0.1275,67.43598045206119
0.128,69.57006944857217
0.1285,70.8439978622826
0.129,71.61671266250978
0.1295,72.66609093230527
0.13,74.31264024957628
0.1305,76.55659048996856
0.131,79.26852774232295
0.1315,82.12554430073328
0.132,84.76859893004354
0.1325,87.00639054100382
0.133,88.85597862488278
0.1335,90.35568977581072
0.134,91.57295973640669
0.1345,92.83313290006625
0.135,94.36820764229823
0.1355,95.92717537349334
0.136,97.12394158602396
0.1365,97.86942523706658
0.137,98.27642890194095
0.1375,98.24213203648465
0.138,97.512558218372
0.1385,95.97753959079836
0.139,93.62707552892245
0.1395,90.84248817276979
0.14,88.55615512053558
0.1405,87.32536696554403
0.14100000000000001,86.80529520685306
0.14150000000000001,86.38985118731925
0.14200000000000002,85.56317662030592
0.14250000000000002,84.17178868449436
0.14300000000000002,82.65511337663933
0.14350000000000002,81.38152568979187
0.14400000000000002,80.28223415917945
0.1445,79.11177261720387
0.145,77.59541957095246
0.1455,75.6958244576488
0.146,73.46530665567343
0.1465,70.71733522556443
0.147,67.49716888965418
0.1475,64.47292870967385
0.148,62.252966899708206
0.1485,60.514381575181446
0.149,58.250841174375246
0.1495,54.9015072998023
0.15,50.868866736994924
0.1505,47.0092521149034
0.151,43.676961799043745
0.1515,40.56587829902887
0.152,37.30087185214058
0.1525,33.6673852302666
0.153,29.64706280825916
0.1535,25.477403662264322
0.154,21.453825569775418
0.1545,17.66982116131712
0.155,14.09886979563794
0.1555,10.793341328144878
0.156,7.6981090659738935
0.1565,4.566102845062704
0.157,1.4091818327572718
0.1575,-1.467440943367488
0.158,-3.911375293969641
0.1585,-5.994750716302929
0.159,-7.827062151456517
0.1595,-9.524918327535323
0.16,-11.193885608685287
0.1605,-12.823752566832946
0.161,-14.236623271261296
0.1615,-15.161555110536131
0.162,-15.444921152494485
0.1625,-15.236438138988044
0.163,-14.889095624964233
0.1635,-14.675011878953347
0.164,-14.629768630224506
0.1645,-14.640255870668696
0.165,-14.56619759747403
0.1655,-14.155473431657338
0.166,-13.089016339933767
0.1665,-11.28599750052701
0.167,-9.036001260740854
0.1675,-6.7960540871891055
0.168,-4.83915443709457
0.1685,-3.0944611282104666
0.169,-1.3562467397749791
0.1695,0.4806050633915288
0.17,2.4015089333837176
0.1705,4.351806358783384
0.171,6.294300336445559
0.1715,8.235357894069756
0.17200000000000001,10.256850371125292
0.17250000000000001,12.501827635768754
0.17300000000000001,15.006244104080594
0.17350000000000002,17.623242814008908
0.17400000000000002,20.216174314027167
0.17450000000000002,22.599764206608267
0.17500000000000002,24.454233956333862
0.17550000000000002,25.744777484818115
0.176,26.874462784159185
0.1765,28.19876380523455
0.177,29.672081791461917
0.1775,31.04545711931723
0.178,32.31051438555018
0.1785,33.74179844881066
0.179,35.4752358303658
0.1795,37.30059819542822
0.18,38.995174585936276
0.1805,40.61701494564019
0.181,42.36297713555439
0.1815,44.33629945626627
0.182,46.40458802985487
0.1825,48.298885446512585
0.183,49.910292009795235
0.1835,51.42937397383396
0.184,53.115175278361285
0.1845,54.97456373185827
0.185,56.7890172805618
0.1855,58.375055095711254
0.186,59.75239014662533
0.1865,61.062438802965985
0.187,62.31194947529889
0.1875,63.3748876071024
0.188,64.25072115408082
0.1885,65.09187687894014
0.189,65.99159518864842
0.1895,66.8923170229677
0.19,67.71394478361387
0.1905,68.42082416023175
0.191,69.03305877390596
0.1915,69.57478545685993
0.192,70.01057075858117
0.1925,70.35712965238953
0.193,70.74085521575861
0.1935,71.30795903725186
0.194,72.11503853744969
0.1945,73.07214318940764
0.195,74.02121025388504
0.1955,74.85129669984644
0.196,75.49426738368707
0.1965,75.9340012382624
0.197,76.26810960352326
0.1975,76.6661990153945
0.198,77.27156042020289
0.1985,78.1038330482357
0.199,78.98909261547868
0.1995,79.7582580693044
0.2,80.4983254490869
0.2005,81.45497611028624
0.201,82.75890889568883
0.2015,84.60278767717323
0.202,87.50011828358433
0.2025,91.52191895233769
0.203,95.75485955440196
0.20350000000000001,99.08934513459488
0.20400000000000001,101.05995917924187
0.20450000000000002,102.12949212276736
0.20500000000000002,103.12573645027092
0.20550000000000002,104.46939021601891
0.20600000000000002,106.04124107535355
0.20650000000000002,107.50972427956106
0.20700000000000002,108.8351630935978
0.20750000000000002,110.4055997131148
0.20800000000000002,112.52555009482501
0.2085,114.91993542261508
0.209,117.06836199453494
0.2095,118.76676909377149
0.21,120.20902992683253
0.2105,121.69440572727096
0.211,123.32632870717812
0.2115,125.05779155862929
0.212,126.97749076993013
0.2125,129.1120569258165
0.213,131.10437434933365
0.2135,132.50415057214937
0.214,133.2194235991175
0.2145,133.45313859364194
0.215,133.3499997572874
0.2155,132.97092232395514
0.216,132.39668680471598
0.2165,131.7889502152274
0.217,131.32800451273343
0.2175,131.0552731056487
0.218,130.82309268184642
0.2185,130.34794950348928
0.219,129.44062360107728
0.2195,128.17854216161857
0.22,126.76973594803815
0.2205,125.42637413833498
0.221,124.37108298070757
0.2215,123.7586367346806
0.222,123.57326124253822
0.2225,123.55491315930416
0.223,123.40316827078104
0.2235,123.01911964990022
0.224,122.4247423452254
0.2245,121.65452062993865
0.225,120.74939015844436
0.2255,119.71661993449179
0.226,118.55207555782822
0.2265,117.34666698958814
0.227,116.26099451473532
0.2275,115.4010580672035
0.228,114.78690460938863
0.2285,114.33280873966171
0.229,113.89408248416262
0.2295,113.373458112076
0.23,112.737068429623
0.2305,111.96163073742622
0.231,110.98315260542698
0.2315,109.76916834961679
0.232,108.38141669051898
0.2325,106.94560607961874
0.233,105.60935622930525
0.2335,104.43750950562398
0.234,103.44512003223063
0.23450000000000001,102.66935056445288
0.23500000000000001,102.07478966285227
0.23550000000000001,101.55792939417411
0.23600000000000002,101.06216008072663
0.23650000000000002,100.55054747222324
0.23700000000000002,99.97406465444992
0.23750000000000002,99.36035966469815
0.23800000000000002,98.85631525574072
0.23850000000000002,98.63139525847085
0.23900000000000002,98.75412146629229
0.23950000000000002,99.15720990846573
0.24,99.72180612756723
0.2405,100.40244618829098
0.241,101.19132571121817
0.2415,102.07347115939767
0.242,103.07006294766447
0.2425,104.1979008120816
0.243,105.37059300045922
0.2435,106.44898207388971
0.244,107.43950357195706
0.2445,108.5624089530544
0.245,110.07809240244549
0.2455,111.98936991517746
0.246,114.06043767722383
0.2465,116.07940633592742
0.247,117.92228913058648
0.2475,119.5566958660758
0.248,121.04947797353148
0.2485,122.46054151394574
0.249,123.77997523311906
0.2495,125.0031805875923
0.25,126.21153304082543
0.2505,127.55993313102377
0.251,129.16135001898115
0.2515,130.96384625706483
0.252,132.78507444814224
0.2525,134.44672475988258
0.253,135.9105819215906
0.2535,137.38222833601668
0.254,139.30379342241358
0.2545,142.0446976455049
0.255,145.36597811657722
0.2555,148.48147488882816
0.256,150.62312692888483
0.2565,151.52191695446874
0.257,151.6699007287883
0.2575,151.8064769808587
0.258,152.2389887458522
0.2585,152.8771446724846
0.259,153.56545691153326
0.2595,154.26423146073213
0.26,155.0492204734575
0.2605,156.01299347708812
0.261,157.13359877121903
0.2615,158.2786852636483
0.262,159.28746127864463
0.2625,160.06135884173494
0.263,160.6026115915353
0.2635,160.94585176058038
0.264,161.11304539224622
0.2645,161.15160762198178
0.265,161.14028690582109
0.2655,160.9972812271209
0.266,160.49407348899405
0.2665,159.5359449523813
0.267,158.27306007767638
0.2675,156.96232543359028
0.268,155.66814476106657
0.2685,154.16406174832966
0.269,152.22864791778642
0.2695,150.0420179670352
0.27,148.1077546098932
0.2705,146.80205849952563
0.271,146.13551767809713
0.2715,145.85401378304329
0.272,145.69714944117464
0.2725,145.5082159569655
0.273,145.92581091141398
0.2735,146.88627226571674
0.274,148.40258704505806
0.2745,150.4431533014781
0.275,153.16058660612995
0.2755,156.75381087354606
0.276,160.99134146023118
0.2765,165.12584250694766
0.277,168.20743199854235
0.2775,169.44521998736906
0.278,168.59613873551254
0.2785,166.21347590867407
0.279,163.37745248912609
0.2795,161.0690869424544
0.28,159.74295398047474
0.2805,159.32966217476434
0.281,159.56832739252744
0.28150000000000003,160.2545765933484
0.28200000000000003,161.16689361129684
0.28250000000000003,162.05554555624673
0.28300000000000003,162.7890074096981
0.28350000000000003,163.32258643574067
0.28400000000000003,163.6329825033373
0.28450000000000003,163.76528773243263
0.28500000000000003,163.80189617229718
0.28550000000000003,163.7116322343382
0.28600000000000003,163.347345294393
0.28650000000000003,162.69277198377574
0.28700000000000003,161.97066260787653
0.28750000000000003,161.47753087586628
0.28800000000000003,161.37876031287598
0.2885,161.54686819742537
0.289,161.64848311833825
0.2895,161.48239129484242
0.29,161.0869583743448
0.2905,160.55273259005565
0.291,159.89501456308508
0.2915,159.09636104873442
0.292,158.229207198674
0.2925,157.43863877340155
0.293,156.82614135919584
0.2935,156.36747414723052
0.294,155.92113014402238
0.2945,155.35103421476109
0.295,154.64112830764807
0.2955,153.85052754828442
0.296,153.03644368532716
0.2965,152.2292263186042
0.297,151.36517784997193
0.2975,150.32335665159778
0.298,149.09105085918864
0.2985,147.77240198335483
0.299,146.51261262919306
0.2995,145.38338597032597
0.3,144.2640607204135
0.3005,142.96807554677255
0.301,141.44079382495588
0.3015,139.75157320962225
0.302,138.03371204774592
0.3025,136.43786171209481
0.303,135.03359829314795
0.3035,133.8018531512648
0.304,132.68415677951086
0.3045,131.58550838240316
0.305,130.3773607426625
0.3055,128.94525743806
0.306,127.25664674731324
0.3065,125.42008011539052
0.307,123.63255587371495
0.3075,122.06476961552245
0.308,120.79750872328424
0.3085,119.73236299263579
0.309,118.65101638337356
0.3095,117.39714806978365
0.31,115.9399460784609
0.3105,114.35967216919896
0.311,112.76418491036307
0.3115,111.21269332076128
0.312,109.68839868905133
0.3125,108.11848215617282
0.313,106.44930078537953
