band,donor,rho_ap,is_donor,dx_pix,dy_pix,offset_hit_bound,sep_pix,rfit_pix,rmax_pix,rmax_fwhm,tail_frac_med,tail_slope_med,u_cut_med_fwhm,d_peak_star_pix,d_peak_con_pix
1-long,star,1.426268662708243,False,-0.22164803166210945,0.6820239760084412,False,9.484615102807261,18.969230205614522,20.816847901273476,7.96008493839502,0.028904628602669107,-5.29654638658798,1.8113207547169812,0.8441496303831911,8.786414796341395
1-medium,star,4.541625663230303,True,-0.16932529860715562,0.41312125401563904,False,9.484615102690476,18.969230205380953,21.021848009971066,8.85011182039882,0.014080738907207818,-7.357448141187942,1.6855345911949686,0.6375336263842847,8.953964757786112
1-short,star,8.923865686237795,True,-0.14749485730956025,0.7460300331840664,False,9.484615102685526,18.96923020537105,20.91942408174328,9.658776118267912,0.009402555449734794,-6.267449360576181,1.9119496855345912,0.9854196562749312,8.504822286336893
2-long,con,12.519631667712636,True,-0.0534351048309496,-0.1512525804040017,False,7.252940618586139,14.505881237172279,14.622615125191112,5.354942336152072,0.004852300180335365,-8.880074078749088,2.4402515723270444,6.555584634851371,0.6973614086926195
2-medium,con,3.9124052881957336,True,-0.038375071506052905,-0.21334509630176512,False,7.252940618290237,14.505881236580475,14.441811127492672,5.898585079949822,0.02096844567272421,-4.812753308325321,3.018867924528302,6.71052393172214,0.5472969361621974
2-short,con,1.861707296839922,False,-0.03114281561604315,-0.12451367377557787,False,7.252940618605437,14.505881237210874,15.23092616522695,6.911385897342427,0.02272232482022691,-5.008189764812348,3.0440251572327046,7.421937377341089,0.34775863431805715
3-long,con,92.26516522883732,True,-0.0791017569628778,-0.18703809538673255,False,6.164999498478761,13.138699684553607,14.124648457660786,4.300166316843759,0.0007890948047630421,-4.780372360773997,3.2452830188679247,6.120718431324569,0.3952860268699013
3-medium,con,38.74703097964701,True,-0.0655824926975761,-0.17073368979776404,False,6.164999498443517,12.329998996887033,13.509497184252378,4.634356676221909,0.013187874145508342,-3.39580551677375,3.6729559748427674,6.196007084044045,0.37440940209538914
3-short,con,22.609777126767735,True,-0.021610365578265345,-0.25159218571737085,False,6.16499949875757,12.32999899751514,13.487277538573286,5.198699135621735,0.010101004648859024,-5.8719837661189835,3.949685534591195,5.982772222459989,0.3522162698370235
4-long,con,4.907289978329366,True,-0.4825089679955923,0.1911202079024772,False,3.522856969127398,11.224948625771258,11.333944575190001,4.038840605174263,0.40103889575177143,-2.651160116195961,3.6226415094339623,4.0055943084787415,0.48643943151914587
4-medium,con,21.700518773789792,True,0.08173488467723189,-0.0322779285751551,False,3.5228569689479436,9.729577516182452,10.082298503383063,4.145009785518007,0.08223054650297879,-1.8180974469215394,3.6226415094339623,3.5544846931921295,0.11685589071942488
4-short,con,11.663049029307057,True,-0.00658194224618569,-0.10956312418665348,False,3.522856968717192,8.500091866394744,8.97128707108671,4.221736523368574,0.04039989228677929,-4.690570000560638,3.547169811320755,3.637992445237554,0.27639687173769684
