band,donor,f_true,inject_psf,recover_psf,f_rec,ratio,lam_um
1-medium,star,0.01,gauss,gauss,0.010834137871926441,1.0834137871926441,6.205599833629094
1-medium,star,0.01,gauss,epsf,0.010834137871926441,1.0834137871926441,6.205599833629094
1-medium,star,0.01,epsf,gauss,-0.0014491137600595766,-0.14491137600595766,6.205599833629094
1-medium,star,0.01,epsf,epsf,-0.0014491137600595766,-0.14491137600595766,6.205599833629094
1-medium,star,0.02,gauss,gauss,0.023473551023186472,1.1736775511593236,6.205599833629094
1-medium,star,0.02,gauss,epsf,0.023473551023186472,1.1736775511593236,6.205599833629094
1-medium,star,0.02,epsf,gauss,0.02631182760502265,1.3155913802511325,6.205599833629094
1-medium,star,0.02,epsf,epsf,0.02631182760502265,1.3155913802511325,6.205599833629094
1-medium,star,0.05,gauss,gauss,0.04179492383488745,0.835898476697749,6.205599833629094
1-medium,star,0.05,gauss,epsf,0.04179492383488745,0.835898476697749,6.205599833629094
1-medium,star,0.05,epsf,gauss,0.05968244548945245,1.193648909789049,6.205599833629094
1-medium,star,0.05,epsf,epsf,0.05968244548945245,1.193648909789049,6.205599833629094
1-medium,star,0.1,gauss,gauss,0.10659944610967922,1.0659944610967922,6.205599833629094
1-medium,star,0.1,gauss,epsf,0.10659944610967922,1.0659944610967922,6.205599833629094
1-medium,star,0.1,epsf,gauss,0.10192998268920019,1.0192998268920017,6.205599833629094
1-medium,star,0.1,epsf,epsf,0.10192998268920019,1.0192998268920017,6.205599833629094
1-medium,star,0.3,gauss,gauss,0.3054992054423839,1.0183306848079463,6.205599833629094
1-medium,star,0.3,gauss,epsf,0.3054992054423839,1.0183306848079463,6.205599833629094
1-medium,star,0.3,epsf,gauss,0.2935974850755192,0.978658283585064,6.205599833629094
1-medium,star,0.3,epsf,epsf,0.2935974850755192,0.978658283585064,6.205599833629094
1-short,star,0.01,gauss,gauss,0.004622572734645554,0.46225727346455536,5.372400083433604
1-short,star,0.01,gauss,epsf,0.007163144730329634,0.7163144730329634,5.372400083433604
1-short,star,0.01,epsf,gauss,0.012068197356027403,1.2068197356027404,5.372400083433604
1-short,star,0.01,epsf,epsf,0.013685957449043275,1.3685957449043276,5.372400083433604
1-short,star,0.02,gauss,gauss,0.029530865529035957,1.4765432764517978,5.372400083433604
1-short,star,0.02,gauss,epsf,0.03076805597999198,1.538402798999599,5.372400083433604
1-short,star,0.02,epsf,gauss,0.017911108762813974,0.8955554381406987,5.372400083433604
1-short,star,0.02,epsf,epsf,0.02055993158881903,1.0279965794409514,5.372400083433604
1-short,star,0.05,gauss,gauss,0.04567394588276882,0.9134789176553763,5.372400083433604
1-short,star,0.05,gauss,epsf,0.04885732728195599,0.9771465456391198,5.372400083433604
1-short,star,0.05,epsf,gauss,0.040100648190382795,0.8020129638076559,5.372400083433604
1-short,star,0.05,epsf,epsf,0.04352442262480701,0.8704884524961402,5.372400083433604
1-short,star,0.1,gauss,gauss,0.09350163822596487,0.9350163822596487,5.372400083433604
1-short,star,0.1,gauss,epsf,0.09808487285428187,0.9808487285428187,5.372400083433604
1-short,star,0.1,epsf,gauss,0.09187145156080972,0.9187145156080972,5.372400083433604
1-short,star,0.1,epsf,epsf,0.09560733024492783,0.9560733024492782,5.372400083433604
1-short,star,0.3,gauss,gauss,0.30112516901044256,1.0037505633681418,5.372400083433604
1-short,star,0.3,gauss,epsf,0.3068303831808676,1.0227679439362254,5.372400083433604
1-short,star,0.3,epsf,gauss,0.2990874566773727,0.9969581889245757,5.372400083433604
1-short,star,0.3,epsf,epsf,0.30717809878061825,1.0239269959353943,5.372400083433604
2-long,con,0.01,gauss,gauss,0.009364261627490931,0.9364261627490931,10.960300231468864
2-long,con,0.01,gauss,epsf,0.01522537683012823,1.522537683012823,10.960300231468864
2-long,con,0.01,epsf,gauss,0.005379952546101739,0.5379952546101738,10.960300231468864
2-long,con,0.01,epsf,epsf,0.01066565756666921,1.0665657566669209,10.960300231468864
2-long,con,0.02,gauss,gauss,0.01802071405192881,0.9010357025964404,10.960300231468864
2-long,con,0.02,gauss,epsf,0.02395222470252578,1.197611235126289,10.960300231468864
2-long,con,0.02,epsf,gauss,0.013608618047863374,0.6804309023931687,10.960300231468864
2-long,con,0.02,epsf,epsf,0.018816959372672644,0.9408479686336322,10.960300231468864
2-long,con,0.05,gauss,gauss,0.047375248903447346,0.9475049780689468,10.960300231468864
2-long,con,0.05,gauss,epsf,0.053109744768193023,1.0621948953638605,10.960300231468864
2-long,con,0.05,epsf,gauss,0.0453723624878744,0.9074472497574879,10.960300231468864
2-long,con,0.05,epsf,epsf,0.050778044724294875,1.0155608944858974,10.960300231468864
2-long,con,0.1,gauss,gauss,0.10109782100752779,1.0109782100752778,10.960300231468864
2-long,con,0.1,gauss,epsf,0.10682781540634165,1.0682781540634163,10.960300231468864
2-long,con,0.1,epsf,gauss,0.09380945652541801,0.9380945652541801,10.960300231468864
2-long,con,0.1,epsf,epsf,0.09931246235243905,0.9931246235243905,10.960300231468864
2-long,con,0.3,gauss,gauss,0.2990803620643953,0.9969345402146511,10.960300231468864
2-long,con,0.3,gauss,epsf,0.3040335417288425,1.0134451390961416,10.960300231468864
2-long,con,0.3,epsf,gauss,0.2947280373771641,0.9824267912572137,10.960300231468864
2-long,con,0.3,epsf,epsf,0.2998035377632626,0.999345125877542,10.960300231468864
2-medium,con,0.01,gauss,gauss,0.009361530833578206,0.9361530833578207,9.49160007853061
2-medium,con,0.01,gauss,epsf,0.014611522440799399,1.4611522440799398,9.49160007853061
