band,donor,is_donor,lam_um,tail_frac,tail_slope,p000,p002,p004,p006,p008,p010,p012,p014,p016,p018,p020,p022,p024,p026,p028,p030,p032,p034,p036,p038,p040,p042,p044,p046,p048,p050,p052,p054,p056,p058,p060,p062,p064,p066,p068,p070,p072,p074,p076,p078,p080,p082,p084,p086,p088,p090,p092,p094,p096,p098,p100,p102,p104,p106,p108,p110,p112,p114,p116,p118,p120,p122,p124,p126,p128,p130,p132,p134,p136,p138,p140,p142,p144,p146,p148,p150,p152,p154,p156,p158
1-long,star,False,6.600000208040001,0.004159284222819944,-9.454712639894987,0.9729924831143806,0.9729924831143806,0.8362975742932464,0.6559166636839147,0.4972278810923093,0.3961781815192334,0.2951284819461573,0.2073904769005174,0.12321104365924147,0.06006149960504975,0.04490324113163976,0.029744982658229776,0.026379745007507213,0.025597740489373324,0.02297396815066869,0.016709491980603303,0.010445015810537917,0.005165506266407477,5.7688152485881846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,6.740000204503303,0.025355615426496864,-4.509498172979889,0.977869807204023,0.977869807204023,0.8537037241886162,0.6898556971167389,0.5423326550219472,0.4381874301519815,0.33404220528201584,0.231509439427084,0.12940772697221062,0.052776725416997954,0.03427119232511344,0.015765659233228937,0.012057911302411985,0.011591582978305072,0.009593647285172945,0.004568115630014247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,6.880000200966606,0.01898054055778311,-6.02295847329865,0.9065535007318569,0.9065535007318569,0.7846712549088392,0.6238369511423825,0.4805090948027383,0.3836983701971952,0.2868876455916519,0.20504492636409305,0.12720355510886652,0.0683168795459405,0.05268579158852067,0.03705470363110083,0.029491321157787416,0.023695150361944944,0.018621178170893125,0.014974807873032113,0.011328437575171105,0.006392198315212511,0.0012311195114020456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,7.020000197429908,0.03845756203440555,-5.301436299908443,0.6558283612570824,0.6558283612570824,0.6028427887130322,0.5329236826755227,0.455536326966483,0.35830476498737684,0.2610732030082706,0.18890100698653528,0.12342784938904758,0.07244479045056275,0.05452887973390492,0.03661296901724709,0.03139665942048624,0.028962167211893326,0.026123298821234105,0.022485082163699627,0.01884686550616515,0.015843134571376895,0.012950002065324217,0.009318816209179726,0.004415666068834451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,7.160000193893211,0.028904628602669107,-5.29654638658798,0.83364288514156,0.83364288514156,0.7318000470480529,0.5974094978112601,0.47131356086403314,0.36725759371479566,0.263201626565558,0.1892424060089159,0.1233288503829675,0.07133586271441529,0.051110324999920964,0.03088478728542663,0.028774574292769906,0.03063248004870618,0.028396864582593787,0.018069404840338716,0.007741945098083642,0.007532487289435648,0.009086717891232915,0.007837663249904111,0.001757414891698469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,7.3000001903565135,0.22487928749080216,-2.906268927198604,0.5862298335765139,0.5862298335765139,0.5403115287806446,0.47971830183351805,0.4054265510760695,0.29473586562262233,0.18404518016917504,0.13063314970841175,0.09253323493876194,0.061415293704989715,0.046230574130015085,0.03104585455504046,0.02583425558389722,0.02280724493549801,0.020854855956066082,0.02102671911296482,0.021198582269863556,0.013419381168965223,0.004254214738726131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,7.440000186819816,,,1.0102322123262422,1.0102322123262422,0.8937411922692587,0.7400210833280845,0.5869131185013995,0.4354317080360717,0.2839502975707436,0.20040126341724368,0.13501236946591552,0.08130952656009464,0.0542748514247903,0.02724017628948596,0.01609510684870943,0.008430617702924744,0.002503634732055331,1.1256990669588317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-long,star,False,7.5800001832831185,0.06823516918767238,-4.704111023874837,0.6848391842119297,0.6848391842119297,0.6089330684748248,0.5087682971928719,0.4105298378423377,0.31740986448100184,0.22428989111966588,0.15922519514438824,0.10166042480696774,0.05921179535693332,0.0512589745986261,0.04330615384031888,0.03861111683025054,0.034629689593605975,0.030761114691230614,0.027115619984503687,0.023470125277776765,0.020352067396034693,0.01732594804341842,0.012958499308680047,0.0062793978090078416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-medium,star,True,5.720399845886277,,,0.8835616949980445,0.8591004558775867,0.7897054931986941,0.6862786813606547,0.5638323590157684,0.43793900306493627,0.32158174946248064,0.22324580215662054,0.14651744904704211,0.09090955582300568,0.05332659604650693,0.029572792022579834,0.01550439895830342,0.007684784278629761,0.0036009953968901,0.0015952457316578835,0.0006681081290765822,0.0002645331237522836,9.902104479753179e-05,3.504201636150525e-05,1.1723703097509158e-05,3.7081276360315126e-06,1.10881393955711e-06,3.1345616753432974e-07,8.377397086465715e-08,2.1166815437338686e-08,5.056104999573678e-09,1.1418019628793625e-09,2.437696455706637e-10,4.920198294992634e-11,9.38857599737241e-12,1.693678543553256e-12,2.888526691021715e-13,4.657318336997681e-14,7.099203122778707e-15,1.0230513213547439e-15,1.3937965285737462e-16,1.795210898220151e-17,2.185977629708325e-18,2.516460339548517e-19,2.7387261379181235e-20,2.8178720074498495e-21,2.7409938345622146e-22,2.5206293808703283e-23,2.1914121707122538e-24,1.801164107938704e-25,1.3995764899338057e-26,1.0281444434285683e-27,7.140453026971475e-29,4.688258395073437e-30,2.910123721682069e-31,1.707754765231797e-32,9.474443238523254e-34,4.96930931583426e-35,2.4640669410849658e-36,1.1551093878736588e-37,5.1192679829605474e-39,2.144898548239088e-40,8.49610332938264e-42,3.1816100929535456e-43,1.1263886492339048e-44,3.770020525896895e-46,1.1929254493822716e-47,3.568593108124689e-49,1.0092410360302595e-50,2.698403607130133e-52,6.820764522604575e-54,1.6299464773470539e-55,3.6823729414652646e-57,7.864956723262169e-59,1.588104380056648e-60,3.031627860064287e-62,5.471253974312945e-64,9.334950090999329e-66,1.505744429823881e-67,2.2961733380646075e-69,3.310337044687261e-71,4.5118421586136175e-73,5.813661233794933e-75,7.082061351897306e-77
1-medium,star,True,5.8415998428245075,0.014080738907207818,-6.039370076657879,0.6981017364557911,0.6981017364557911,0.6252922579347284,0.5292137708141508,0.433418267844552,0.33837469419041133,0.24333112053627054,0.18297645695952286,0.1318950663737614,0.09118469586459052,0.07414152501738286,0.05709835417017518,0.04466679684835548,0.03324540248923984,0.024833524799555057,0.02237069168897771,0.019907858578400363,0.012761661853675832,0.004799098994375189,0.0007628463876727063,0.003493213578001082,0.0062235807683294585,0.00219898890735768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
