family,par,axis,value,n,rmse_gate,previsual
modbb,1.0,gamma,0.01,2100,0.0,0.0
modbb,1.0,gamma,0.02,2100,0.0009523809523809524,0.0004761904761904762
modbb,1.0,gamma,0.05,2100,0.22857142857142856,0.11333333333333333
modbb,1.0,gamma,0.1,2100,0.6766666666666666,0.37238095238095237
modbb,1.0,gamma,0.15,2100,0.6628571428571428,0.3595238095238095
modbb,1.0,gamma,0.2,2100,0.6442857142857142,0.3780952380952381
modbb,1.0,gamma,0.3,2100,0.6266666666666667,0.3423809523809524
modbb,1.0,gamma,0.5,2100,0.5647619047619048,0.32047619047619047
modbb,1.0,t_ds,100.0,1500,0.848,0.4646666666666667
modbb,1.0,t_ds,150.0,1500,0.8366666666666667,0.4826666666666667
modbb,1.0,t_ds,200.0,1500,0.8773333333333333,0.5006666666666667
modbb,1.0,t_ds,300.0,1500,0.9346666666666666,0.532
modbb,1.0,t_ds,450.0,1500,0.948,0.502
modbb,1.0,t_ds,700.0,1500,0.0006666666666666666,0.0
modbb,1.0,t_ds,1000.0,1500,0.0,0.0
modbb,2.0,gamma,0.01,2100,0.0,0.0
modbb,2.0,gamma,0.02,2100,0.0033333333333333335,0.0004761904761904762
modbb,2.0,gamma,0.05,2100,0.1895238095238095,0.09238095238095238
modbb,2.0,gamma,0.1,2100,0.5233333333333333,0.27714285714285714
modbb,2.0,gamma,0.15,2100,0.5271428571428571,0.29333333333333333
modbb,2.0,gamma,0.2,2100,0.5066666666666667,0.28095238095238095
modbb,2.0,gamma,0.3,2100,0.4280952380952381,0.23714285714285716
modbb,2.0,gamma,0.5,2100,0.3376190476190476,0.20666666666666667
modbb,2.0,t_ds,100.0,1500,0.808,0.4653333333333333
modbb,2.0,t_ds,150.0,1500,0.8346666666666667,0.5006666666666667
modbb,2.0,t_ds,200.0,1500,0.9006666666666666,0.498
modbb,2.0,t_ds,300.0,1500,0.6806666666666666,0.34933333333333333
modbb,2.0,t_ds,450.0,1500,0.028,0.0
modbb,2.0,t_ds,700.0,1500,0.0,0.0
modbb,2.0,t_ds,1000.0,1500,0.0,0.0
single_bb,0.0,gamma,0.01,2100,0.0,0.0
single_bb,0.0,gamma,0.02,2100,0.002380952380952381,0.0
single_bb,0.0,gamma,0.05,2100,0.06571428571428571,0.017619047619047618
single_bb,0.0,gamma,0.1,2100,0.8157142857142857,0.43333333333333335
single_bb,0.0,gamma,0.15,2100,0.8114285714285714,0.4238095238095238
single_bb,0.0,gamma,0.2,2100,0.7914285714285715,0.44333333333333336
single_bb,0.0,gamma,0.3,2100,0.758095238095238,0.42142857142857143
single_bb,0.0,gamma,0.5,2100,0.7028571428571428,0.39285714285714285
single_bb,0.0,t_ds,100.0,1500,0.8946666666666667,0.4766666666666667
single_bb,0.0,t_ds,150.0,1500,0.8566666666666667,0.4786666666666667
single_bb,0.0,t_ds,200.0,1500,0.8473333333333334,0.4886666666666667
single_bb,0.0,t_ds,300.0,1500,0.91,0.5226666666666666
single_bb,0.0,t_ds,450.0,1500,0.9473333333333334,0.5126666666666667
single_bb,0.0,t_ds,700.0,1500,0.9486666666666667,0.47533333333333333
single_bb,0.0,t_ds,1000.0,1500,0.02666666666666667,0.006
two_temp,0.3,gamma,0.01,2100,0.0,0.0
two_temp,0.3,gamma,0.02,2100,0.0004761904761904762,0.0
two_temp,0.3,gamma,0.05,2100,0.014761904761904763,0.0004761904761904762
two_temp,0.3,gamma,0.1,2100,0.5185714285714286,0.28285714285714286
two_temp,0.3,gamma,0.15,2100,0.5223809523809524,0.2742857142857143
two_temp,0.3,gamma,0.2,2100,0.7104761904761905,0.3904761904761905
two_temp,0.3,gamma,0.3,2100,0.5828571428571429,0.3180952380952381
two_temp,0.3,gamma,0.5,2100,0.27095238095238094,0.13
two_temp,0.3,t_ds,100.0,1500,0.32133333333333336,0.152
two_temp,0.3,t_ds,150.0,1500,0.518,0.274
two_temp,0.3,t_ds,200.0,1500,0.564,0.30733333333333335
two_temp,0.3,t_ds,300.0,1500,0.808,0.432
two_temp,0.3,t_ds,450.0,1500,0.38866666666666666,0.21666666666666667
two_temp,0.3,t_ds,700.0,1500,0.386,0.20266666666666666
two_temp,0.3,t_ds,1000.0,1500,0.6613333333333333,0.36933333333333335
two_temp,0.5,gamma,0.01,2100,0.0,0.0
two_temp,0.5,gamma,0.02,2100,0.0,0.0
two_temp,0.5,gamma,0.05,2100,0.01,0.0014285714285714286
two_temp,0.5,gamma,0.1,2100,0.508095238095238,0.26666666666666666
two_temp,0.5,gamma,0.15,2100,0.7638095238095238,0.4166666666666667
two_temp,0.5,gamma,0.2,2100,0.6766666666666666,0.36428571428571427
two_temp,0.5,gamma,0.3,2100,0.5823809523809523,0.3252380952380952
two_temp,0.5,gamma,0.5,2100,0.39476190476190476,0.2257142857142857
two_temp,0.5,t_ds,100.0,1500,0.658,0.344
two_temp,0.5,t_ds,150.0,1500,0.8493333333333334,0.4653333333333333
two_temp,0.5,t_ds,200.0,1500,0.732,0.4073333333333333
two_temp,0.5,t_ds,300.0,1500,0.9146666666666666,0.5186666666666667
two_temp,0.5,t_ds,450.0,1500,0.178,0.088
two_temp,0.5,t_ds,700.0,1500,0.20866666666666667,0.11133333333333334
two_temp,0.5,t_ds,1000.0,1500,0.5553333333333333,0.30333333333333334
two_temp,0.7,gamma,0.01,2100,0.0,0.0
two_temp,0.7,gamma,0.02,2100,0.0,0.0
two_temp,0.7,gamma,0.05,2100,0.013333333333333334,0.0004761904761904762
two_temp,0.7,gamma,0.1,2100,0.9519047619047619,0.5009523809523809
two_temp,0.7,gamma,0.15,2100,0.95,0.5119047619047619
two_temp,0.7,gamma,0.2,2100,0.9038095238095238,0.5085714285714286
two_temp,0.7,gamma,0.3,2100,0.7357142857142858,0.4076190476190476
two_temp,0.7,gamma,0.5,2100,0.5376190476190477,0.30333333333333334
two_temp,0.7,t_ds,100.0,1500,0.9186666666666666,0.474
two_temp,0.7,t_ds,150.0,1500,0.892,0.5033333333333333
