label,gaia_id,r_med_geo,ruwe,gvar,gvar_paper,ew_halpha,ew_halpha_unc,starprob,w3snr,w4snr,w3snr_paper,w4snr_paper,ph_qual,cc_flags,ext_flg,rmse_sel,tds_sel,gam_sel,rmse_stated_gfloor,C1_dist300,C2_w34det,C2_ccflags0,C3_rmse,C5a_halpha,C5b_gvar,C5c_ruwe,C5d_extflg,C5e_starprob,C6_snr,PASS_ALL
A,3496509309189181184,142.94646,1.0318,1.3638125315529328,1.03,0.24837883,0.07605575,0.99648726,22.5,16.6,22.5,16.6,AAAA,0,0,0.18388574692941162,160.67415730337078,0.09486832980505142,0.183019582501374,True,True,True,True,True,True,True,True,True,True,True
B,4843191593270342656,211.61754,1.0639758,1.0937555118088067,0.94,,,0.9993886,13.9,3.8,13.9,3.8,AAAB,0,0,0.14227611753934497,228.08988764044943,0.07732003638851843,0.18467292076681321,True,True,True,True,True,True,True,True,True,True,True
C,4649396037451459712,219.42052,0.9092931,1.053709565443083,0.9,,,0.9999226,10.5,5.0,10.5,5.0,AAAB,0,0,0.06125081537093657,180.8988764044944,0.17523016489664908,0.0607633741858063,True,True,True,True,True,True,True,True,True,True,True
D,2660349163149053824,211.54053,0.97507733,1.023131829149751,0.97,,,0.9996401,10.4,4.8,10.4,4.8,AAAB,0,0,0.1344128157805781,180.8988764044944,0.17523016489664908,0.13442466077382317,True,True,True,True,True,True,True,True,True,True,True
E,3190232820489766656,274.7539,1.0560565,1.0887233497948132,0.9,0.049752504,0.10076348,0.99861324,10.3,3.6,10.3,3.6,AAAB,0,0,0.09733068869912175,194.3820224719101,0.07732003638851843,0.14462914736605226,True,True,True,True,True,True,True,True,True,True,True
F,2956570141274256512,265.03207,1.013595,1.2132222216342972,0.93,0.020281203,0.06811679,0.99885,5.7,4.5,5.7,4.5,AABB,0,0,0.08098693854170877,147.19101123595505,0.0418605022541117,0.2546435475759296,True,True,True,True,True,True,True,True,True,True,True
G,2644370304260053376,249.95474,1.0121305,1.2714348319346414,0.99,0.024050327,0.09734344,0.99861324,5.0,3.5,5.0,3.5,AABB,0,0,0.03750467847711971,147.19101123595505,0.0568916123653529,0.17571716566558127,True,True,True,True,True,True,True,True,True,True,True
H,2437221214075471744,270.3053,1.0140727,1.0340283671743213,,0.4164376,0.21613282,0.9992449,2.4,3.3,2.4,3.3,AACB,0,0,0.09456826057726142,133.7078651685393,0.1050838212974021,0.09291932476766132,True,True,True,True,True,True,True,True,True,False,False
I,3854090071297359616,169.27722,0.9585538,1.0864797962738566,,0.2922627,0.16707656,0.9982583,2.4,3.3,2.4,3.3,AACB,0,0,0.05514761690148888,120.2247191011236,0.09486832980505142,0.06068065997378803,True,True,True,True,True,True,True,True,True,False,False
J,651765552072217216,288.24915,1.0561604,1.1846750283838308,,0.0037258286,0.08085268,0.9976672,2.2,2.8,2.2,2.8,AACC,0,0,0.10306370922142156,126.96629213483146,0.05136101997797132,0.19274722753876222,True,True,True,True,True,True,True,True,True,False,False
