label,sel_rmse,sel_t_ds,sel_gamma,sel_template_mg,sel_template_ksig,sel_rmse_stated_gfloor,ref_rmse,ref_t_ds,ref_gamma,ref_template_mg,ref_template_ksig,paper_tds,paper_gam
A,0.18388574692941162,160.67415730337078,0.09486832980505142,9.920293976328928,1.0,0.183019582501374,0.18305960602014631,160.7563025210084,0.09807116824256432,9.920293976328928,0.0,138,0.08
B,0.14227611753934497,228.08988764044943,0.07732003638851843,11.085591692411272,-1.0,0.18467292076681321,0.143497436600356,229.5798319327731,0.0740350919676722,11.085591692411272,0.0,275,0.06
C,0.06125081537093657,180.8988764044944,0.17523016489664908,11.536351800259425,-1.0,0.0607633741858063,0.060939438019171815,183.69747899159663,0.17208729408956633,11.536351800259425,0.0,187,0.14
D,0.1344128157805781,180.8988764044944,0.17523016489664908,10.884542059434654,1.0,0.13442466077382317,0.13536160885837104,183.69747899159663,0.17208729408956633,10.884542059434654,0.0,178,0.16
E,0.09733068869912175,194.3820224719101,0.07732003638851843,9.713342671292914,1.0,0.14462914736605226,0.09746169100825587,200.08403361344537,0.0740350919676722,9.713342671292914,0.0,180,0.08
F,0.08098693854170877,147.19101123595505,0.0418605022541117,9.11337985708318,-1.0,0.2546435475759296,0.0812427407782657,144.36974789915965,0.04219200492766374,9.11337985708318,0.0,137,0.03
G,0.03750467847711971,147.19101123595505,0.0568916123653529,9.442726115594663,1.0,0.17571716566558127,0.03199773506379957,150.92436974789916,0.055889971954904964,9.442726115594663,0.0,100,0.13
H,0.09456826057726142,133.7078651685393,0.1050838212974021,10.102319194033425,1.0,0.09291932476766132,0.09262740142956698,137.81512605042016,0.09807116824256432,10.102319194033425,0.0,130,0.103
I,0.05514761690148888,120.2247191011236,0.09486832980505142,11.158811409512756,1.0,0.06068065997378803,0.05598164726617229,124.70588235294117,0.08520978793668778,11.158811409512756,0.0,99,0.147
J,0.10306370922142156,126.96629213483146,0.05136101997797132,8.683683823476885,-1.0,0.19274722753876222,0.10205342535327076,127.98319327731092,0.0485603745056434,8.683683823476885,0.0,114,0.058
