density,rho_per_arcsec2,radius_arcsec,p_per_star,expected_in_5e6,expected_in_2e5_snrcut
S24 red-gal 15000/sr,3.5256645808646825e-07,3.72,1.5327573832824015e-05,76.63786916412008,3.065514766564803
S24 red-gal 15000/sr,3.5256645808646825e-07,1.41,2.2020572844061448e-06,11.010286422030724,0.44041145688122896
S24 red-gal 15000/sr,3.5256645808646825e-07,1.0,1.107619581164343e-06,5.538097905821715,0.2215239162328686
S24 red-gal 15000/sr,3.5256645808646825e-07,2.64,7.719639911862863e-06,38.59819955931432,1.5439279823725727
S24 red-gal 15000/sr,3.5256645808646825e-07,3.25,1.1699169869872073e-05,58.49584934936036,2.3398339739744145
S24 red-gal 15000/sr,3.5256645808646825e-07,1.0,1.107619581164343e-06,5.538097905821715,0.2215239162328686
R24 as stated 9e-6/as2,9e-06,3.72,0.00039119500526973994,1955.9750263486997,78.23900105394799
R24 as stated 9e-6/as2,9e-06,1.41,5.621062331517823e-05,281.0531165758912,11.242124663035646
R24 as stated 9e-6/as2,9e-06,1.0,2.82739341670446e-05,141.36967083522302,5.65478683340892
R24 as stated 9e-6/as2,9e-06,2.64,0.0001970413822225403,985.2069111127015,39.40827644450806
R24 as stated 9e-6/as2,9e-06,3.25,0.0002986030608610468,1493.0153043052342,59.720612172209364
R24 as stated 9e-6/as2,9e-06,1.0,2.82739341670446e-05,141.36967083522302,5.65478683340892
R24 corrected (1/31 deg2),2.4890481879729193e-09,3.72,1.0821040774544599e-07,0.54105203872723,0.021642081549089198
R24 corrected (1/31 deg2),2.4890481879729193e-09,1.41,1.5546097964502792e-08,0.07773048982251396,0.0031092195929005584
R24 corrected (1/31 deg2),2.4890481879729193e-09,1.0,7.819575542633572e-09,0.03909787771316786,0.0015639151085267144
R24 corrected (1/31 deg2),2.4890481879729193e-09,2.64,5.449931195222746e-08,0.2724965597611373,0.010899862390445492
R24 corrected (1/31 deg2),2.4890481879729193e-09,3.25,8.259426287349214e-08,0.4129713143674607,0.01651885257469843
R24 corrected (1/31 deg2),2.4890481879729193e-09,1.0,7.819575542633572e-09,0.03909787771316786,0.0015639151085267144
Assef15 HotDOG 0.032/deg2,2.4691358024691357e-09,3.72,1.0734472455364852e-07,0.5367236227682426,0.021468944910729704
Assef15 HotDOG 0.032/deg2,2.4691358024691357e-09,1.41,1.5421729115949745e-08,0.07710864557974872,0.003084345823189949
Assef15 HotDOG 0.032/deg2,2.4691358024691357e-09,1.0,7.757018916088043e-09,0.038785094580440216,0.0015514037832176086
Assef15 HotDOG 0.032/deg2,2.4691358024691357e-09,2.64,5.406331748947224e-08,0.2703165874473612,0.010812663497894448
Assef15 HotDOG 0.032/deg2,2.4691358024691357e-09,3.25,8.193350875540517e-08,0.40966754377702586,0.016386701751081034
Assef15 HotDOG 0.032/deg2,2.4691358024691357e-09,1.0,7.757018916088043e-09,0.038785094580440216,0.0015514037832176086
z<0.5 HotDOG 0.0024/deg2,1.8518518518518518e-10,3.72,8.05085476063283e-09,0.04025427380316415,0.0016101709521265661
z<0.5 HotDOG 0.0024/deg2,1.8518518518518518e-10,1.41,1.1566296809206733e-09,0.0057831484046033665,0.00023132593618413466
z<0.5 HotDOG 0.0024/deg2,1.8518518518518518e-10,1.0,5.817764048288154e-10,0.002908882024144077,0.00011635528096576309
z<0.5 HotDOG 0.0024/deg2,1.8518518518518518e-10,2.64,4.054748869997127e-09,0.020273744349985634,0.0008109497739994254
z<0.5 HotDOG 0.0024/deg2,1.8518518518518518e-10,3.25,6.1450133870266654e-09,0.030725066935133327,0.001229002677405333
z<0.5 HotDOG 0.0024/deg2,1.8518518518518518e-10,1.0,5.817764048288154e-10,0.002908882024144077,0.00011635528096576309
