source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro,prov
1345188052692608,43.88991754467799,2.3242530116702502,0.11089031588467115,130.50847457627117,0.1,10.018556572678362,8.826829268292684,8.10223880597015,1.0119098603598862,0.9660015,True,True,177.56325,12.693,12.562,11.093,7.711,AIP-exact
2997371776970112,50.27066864324239,4.65386133654165,0.10542295982165077,150.84745762711864,0.1,10.82966134507543,2.748607594936709,2.35,0.8173348522135201,0.9888271,True,False,253.03333,13.797,13.653,12.135,8.769,AIP-exact
3131168597913728,48.49879304679251,4.745378212159964,0.0832754801684955,150.84745762711864,0.15755401855293244,12.01155373510936,2.8200000000000003,2.3914096916299563,1.2687989544459495,1.2081199,True,False,230.96132,14.402,14.215,12.19,8.822,AIP-exact
6141116038863360,40.17951987263842,5.30820872358259,0.1893788985104605,110.16949152542372,0.1,9.768772182110482,2.7416666666666667,2.864643799472296,0.8486552133173716,0.94833654,True,False,270.07138,13.221,13.087,12.252,8.843,AIP-exact
6269552740578688,41.85470192753886,5.253854213020208,0.04433452834151552,161.01694915254237,0.10787105198966634,11.620865652670552,2.950271739130435,2.229363449691992,1.02166632740699,1.0177637,True,False,241.8119,14.473,14.27,12.277,9.187,AIP-exact
7097107039431168,44.50350927500652,6.048999076343115,0.09222102247493334,130.50847457627117,0.11636163857357301,11.194928682675993,4.224513618677043,5.567692307692308,2.866560807499129,1.109051,False,True,147.63457,12.88,12.66,11.593,7.59,AIP-exact
7778086989417856,46.86517936465719,7.5889680417936125,0.1296915739231392,100.0,0.1,11.20347707101918,2.2905063291139243,2.8875,0.8513267081533614,1.0841134,True,False,135.4591,12.995,12.784,12.268,8.565,AIP-exact
8993970755488000,44.91020316768133,9.350754055004964,0.08996098249822074,130.50847457627117,0.1,10.943749455166994,2.849606299212599,2.548591549295775,0.9921056330592999,0.9915138,True,False,195.736,13.436,13.256,12.069,8.56,AIP-exact
9405566061434880,50.14948710520794,6.2398669144474095,0.08954083223847244,130.50847457627117,0.1,10.668429962525133,2.319871794871795,2.5016129032258068,1.0344960347367511,1.1494187,True,False,246.39813,13.766,13.577,12.303,8.825,AIP-exact
9762872980747904,53.20910827665763,7.256378086042265,0.08394892255265882,161.01694915254237,0.16995517726504228,12.488973101064577,2.068,2.0878846153846156,0.7628356316951133,1.0523589,True,False,235.25008,14.979,14.689,12.355,9.034,AIP-exact
10467286272555264,49.04061262832536,7.310865992365839,0.1666720223054811,100.0,0.1,9.408619477406123,2.5426229508196725,2.5727488151658773,7.346671189294022,11.282092,False,False,274.8958,13.023,12.993,12.268,8.627,AIP-exact
13389543365460352,53.27530355993704,11.084122956707851,0.1887557352382499,171.18644067796612,0.10787105198966634,12.03550883395483,4.021111111111111,2.6161445783132535,0.8145119075231028,0.89842224,True,False,160.81888,13.488,13.287,11.448,8.515,AIP-exact
13602779901971968,47.39960854384983,7.816323404317184,0.17240195663239175,130.50847457627117,0.1,10.624513791425748,3.424921135646688,3.146956521739131,0.8232330531170171,1.0964637,True,False,200.03226,13.099,12.907,11.92,8.444,AIP-exact
14258466789150848,50.438936876410224,9.452577211626624,0.07078801265461118,150.84745762711864,0.13540030931526834,11.284940084925257,2.667567567567568,2.154166666666667,0.9162100134556906,0.9933151,True,False,267.0714,14.476,14.344,12.17,8.816,AIP-exact
14675426509705984,46.82332455022129,8.84967462560009,0.14254394934543474,100.0,0.1,9.798446150992632,2.229363449691992,2.2618750000000003,0.8516741646724006,0.9871663,True,False,238.21712,12.995,12.835,12.368,8.703,AIP-exact
17459454375122816,50.57879079970047,12.2517139890204,0.09180429277109962,161.01694915254237,0.14605773805564215,13.422349230873817,3.3928125000000002,2.56061320754717,0.8766247600750915,0.99472237,True,False,136.1311,14.178,13.912,11.897,8.708,AIP-exact
19021070124267392,40.67806268806952,7.496833049215979,0.1960137007967835,100.0,0.1,10.874451764633633,2.2202453987730064,2.1040697674418607,0.9732465724676792,1.0422803,True,False,203.06667,13.59,13.482,12.541,9.237,AIP-exact
19772178300515328,39.77666448297933,8.009050711645129,0.19577255412851474,110.16949152542372,0.1,11.074926149949409,3.137861271676301,2.4452702702702704,0.9739238771815233,1.0503371,True,False,158.49106,13.314,13.097,12.055,8.708,AIP-exact
20028536308466176,39.00181036781375,8.353171802579054,0.06146954830047192,140.67796610169492,0.21332862845930578,11.52140872374597,3.548039215686275,3.4909967845659167,0.8893068813549083,0.95304805,True,False,248.1797,14.501,14.265,12.122,8.219,AIP-exact
20668138542935168,41.56032117785674,8.701060229381927,0.15981959242835736,140.67796610169492,0.1,10.467378744051526,2.9745205479452057,2.2713389121338916,0.8628314839844939,1.0259707,True,False,284.25064,13.918,13.704,12.191,9.163,AIP-exact
21485423574915456,40.21649295724785,8.999184344987995,0.18207798640140557,130.50847457627117,0.1,10.210905673266543,5.744444444444445,4.63974358974359,0.9397148656446656,0.96252644,True,True,195.61487,12.864,12.732,11.37,8.216,AIP-exact
21843516472896768,40.90020811293269,10.0282221852548,0.06025840608490235,120.33898305084746,0.1,11.178399562428549,2.0838771593090213,2.849606299212599,0.9289461259275771,1.0608671,True,False,229.11266,13.995,13.722,12.785,8.96,AIP-exact
22276586615330688,41.742653879971925,10.639515869782562,0.06046835845858267,140.67796610169492,0.1,12.1248556104837,2.319871794871795,2.1414201183431953,0.831397471308698,1.0158882,True,False,184.46207,14.025,13.839,12.498,9.079,AIP-exact
22726527389079168,37.5578398238978,8.576515163111175,0.19319602676673905,120.33898305084746,0.1,10.094829515973629,2.9185483870967746,2.7007462686567165,1.0914930593089993,0.9697071,True,False,281.2935,13.42,13.325,12.282,8.651,AIP-exact
23341154389359616,38.83627516853846,9.893110330482756,0.0362130661182991,150.84745762711864,0.11636163857357301,11.675224654575558,3.457643312101911,3.502258064516129,1.0681499444745144,1.0137143,True,False,185.37624,13.817,13.698,11.927,8.529,AIP-exact
