cand_set,name,RA,DEC,POS_ERR,l_deg,b_deg,match_type,direction,DET_LIKE_0,DET_LIKE_0_D1,ML_RATE_1,ML_RATE_1_D1,ML_FLUX_1,ML_FLUX_1_D1,R,epoch_ratio,amp_cons,epoch_amp_cons,rank_amp,z_var,approx_erass1_rate_lim,implied_min_rise,gaia_source_id,gaia_sep_arcsec,gaia_G,gaia_bp_rp,gaia_plx,gaia_plx_err,gaia_pmra,gaia_pmdec,simbad_main_id,simbad_otype,simbad_sep_arcsec,first_guess_class,caveats
pair,3eRASS J161242.8-522522,243.1785060564443,-52.42291376756108,0.4198485390955943,330.9261523512538,-0.8500955761869633,strong,rise,65650.01,14.219789,27.68111,0.06556227,2.5773847e-11,6.1044946e-14,431.1017388730561,672.2624990853507,304.80491744902605,475.29918947632433,475.29918947632433,101.0864409343956,,,5.933363664376255e+18,2.467919,17.438223,1.892612,0.7632,0.1162,-3.747,-4.951,V* QX Nor,LXB,3.3696847030955075,SIMBAD:LXB,
pair,3eRASS J054334.0-682222,85.89198886584605,-68.37291519418177,0.4233410189552503,278.56414437609135,-31.306006576986018,strong,rise,44766.14,39.12287,2.087527,0.026989883,1.9436937e-12,2.5130246e-14,78.97349592661668,118.69133379237128,65.76709781305672,98.83435270758774,98.83435270758774,98.26983761931812,,,4.659274599672438e+18,0.575497,17.410278,0.008718,0.0621,0.0623,1.631,0.59,2E  1550,XB*,0.5484927058842862,SIMBAD:XB*,
pair,3eRASS J162636.4-515631,246.6519045727625,-51.9421202647553,0.5906051920775467,332.7806945024598,-2.0027936058062417,strong,rise,6247.8247,6.3000855,3.753051,0.047430634,3.494461e-12,4.4162604e-14,80.79338234338272,122.06359240954832,51.27237407312594,77.44439659883027,77.44439659883027,36.31454336049792,,,5.933976985766949e+18,1.1156,15.729032,1.928157,0.0501,0.0384,-2.856,-3.332,SWIFT J1626.5-5156,HXB,1.1843730168597113,SIMBAD:HXB,
pair,3eRASS J094452.8-711152,146.22033015318507,-71.19802286286726,0.4804430269388935,288.98288057537684,-13.574456189929789,strong,rise,9401.145,25.298714,1.7079958,0.03674479,1.5903127e-12,3.4213026e-14,47.46148201631703,76.01168040256147,35.86794583815016,57.41398863909724,57.41398863909724,42.65737640412971,,,,,,,,,,,,,,no-Gaia (AGN/TDE? obscured?),
pair,3eRASS J090506.7-533020,136.27832006628677,-53.505647307592405,0.4830869482566243,273.0762708498673,-4.304073030388872,strong,rise,8786.441,15.460682,3.1682096,0.056907505,2.949916e-12,5.2986505e-14,56.84530601388538,78.78911543049058,39.63333060514377,54.906566956768586,54.906566956768586,39.55877911590221,,,5.311384333263075e+18,0.862338,13.145346,0.525817,0.053,0.0116,-1.996,2.273,2MASS J09050682-5330195,XB*,0.8343651375906519,SIMBAD:XB*,
pair,3eRASS J150616.3-750200,226.56807462222548,-75.03360801480872,0.5034504804400383,311.4427100719305,-14.437110500556825,strong,rise,6832.872,21.605114,2.4647717,0.06835865,2.294946e-12,6.364865e-14,36.81573443629986,57.95642140352118,27.03405769972417,42.52902960719343,42.52902960719343,33.866502746744125,,,5.792598619480184e+18,1.684173,17.472294,1.459455,2.4702,0.082,-17.335,-8.695,Gaia DR3 5792598619480183680,Em*,1.3943704990592478,SIMBAD:Em*,
pair,3eRASS J123915.4-324332,189.8142427788829,-32.725704888668616,0.4826803572297472,299.97155063731003,30.076016281822593,strong,rise,8882.681,29.765837,3.9234192,0.114704944,3.653091e-12,1.06801625e-13,34.92471192338436,51.87680156807767,26.53118630179804,39.38998283546303,39.38998283546303,38.22038878824456,,,6.160221740968693e+18,4.393088,8.670022,1.039376,23.425,0.0205,-42.776,-64.811,HD 109988,PM*,4.574087101393463,SIMBAD:PM*,
pair,3eRASS J071521.8-191603,108.84116983684136,-19.267748310491587,0.9218472666050108,232.76066056506582,-3.607186330972803,strong,fade,985.52374,1421.0067,0.7970508,2.7668285,7.4213297e-13,2.5761906e-12,0.2941399368756137,-0.056250828621359,2.9930621121065446,32.12830160115502,32.12830160115502,10.823414252514082,,,2.930981516403833e+18,3.771567,17.166534,1.332582,0.3077,0.0641,-2.083,2.573,NAME SRGt J071522.1-191609,ev,6.697088662759674,SIMBAD:ev,stacked ratio below switch-off floor (mild containment tension)
pair,3eRASS J014554.9-674648,26.47891788138732,-67.78012775307835,0.5124782090967612,295.20535961467675,-48.52269474074316,strong,rise,5164.3037,35.299625,2.1040187,0.09397089,1.959049e-12,8.749617e-14,22.861594555060947,37.52280084367117,17.56933129974862,28.806072712957903,28.806072712957903,29.265831322640214,,,4.697600761807512e+18,0.341447,17.297075,0.92173,-0.0321,0.0607,0.079,0.119,2MASS J01455485-6746483,BLL,0.34257000212727257,SIMBAD:BLL,
pair,3eRASS J142111.9-624156,215.29989673640551,-62.69892351486364,0.4621631313393212,313.019392905849,-1.5984363890389306,strong,rise,12097.489,68.66336,4.6969695,0.20539789,4.3733424e-12,1.9124571e-13,23.349200711796783,32.212515771678405,18.905790885509457,26.068347422816835,26.068347422816835,42.18670895119941,,,5.854175187710795e+18,1.174497,16.17779,2.29422,0.0633,0.0495,-4.343,-1.811,4U 1416-62,HXB,1.2444687625143895,SIMBAD:HXB,
pair,3eRASS J092023.3+021339,140.09739656658027,2.2275482690723445,0.6535312729398902,229.7941388529446,33.77075357620891,strong,rise,2161.1067,17.583473,2.07973,0.11936643,1.9364339e-12,1.1114193e-13,17.78996168068785,28.63277820125805,12.209567032005271,19.59965258425185,19.59965258425185,17.891836307206994,,,3.8451064814777636e+18,1.210243,13.137729,1.525454,1.5397,0.023,-21.719,-16.029,RX J0920.3+0213,RS*,1.5752944464972263,SIMBAD:RS*,
pair,3eRASS J231021.8-594252,347.5912369413067,-59.71467418042196,1.2605802083735878,323.9392832957021,-53.09535639285122,strong,fade,291.8756,491.23337,0.3236893,1.028008,3.013867e-13,9.571769e-13,0.3215008495141596,-0.1130750956741551,2.559624998919511,19.2066099529701,19.2066099529701,6.986148455529398,,,6.490756033157643e+18,1.738887,14.480061,3.17151,38.6598,0.0195,102.536,-266.985,LEHPM 5556,PM*,6.2379274054061575,SIMBAD:PM*,stacked ratio below switch-off floor (mild containment tension)
pair,3eRASS J022404.3-185028,36.01795292703209,-18.84128406642364,0.8071357287701311,196.55858682806692,-67.17391025789556,strong,rise,1072.8168,6.093628,0.6201948,0.028337868,5.7746256e-13,2.6385352e-14,22.34658670522999,33.27698080761626,12.920005772399286,19.184166543128665,19.184166543128665,14.57137254152058,,,5.131381905967267e+18,0.652683,18.344761,0.773268,-0.4143,0.1628,0.026,-0.328,NVSS J022404-185029,Rad,1.8266356133487436,SIMBAD:Rad,
