name,RA,DEC,cand_set,tid,2rxs_sep,2rxs_id,2rxs_cts,2rxs_hr1,2rxs_n,xmmsl3_sep,xmmsl3_id,xmmsl3_flux_02_2,xmmsl3_flux_02_12,xmmsl3_rate_02_2,xmmsl3_n,csc21_sep,csc21_id,csc21_flux_b,csc21_flux_s,csc21_flag_e,csc21_flag_var,csc21_n,2sxps_sep,2sxps_id,2sxps_rate0,2sxps_flux_po0,2sxps_det,2sxps_pconst,2sxps_n,catwise_sep,catwise_id,catwise_w1,catwise_w2,catwise_n,gvar_sep,gvar_id,gvar_gmin,gvar_gmax,gvar_ng,gvar_n,gclass_sep,gclass_id,gclass_class,gclass_score,gclass_n,xmmssc_id,xmmssc_sep,xmmssc_flux_02_12,xmmssc_flux_err,xmmssc_flux_05_2,xmmssc_nobs,xmmssc_n,artxc_sep,artxc_name,artxc_flux,artxc_signi,artxc_cname,artxc_newxray,artxc_type,artxc_z,mkm_sep,mkm_iauname,mkm_ferass1,mkm_f2rxs,mkm_dist,mkm_lum
3eRASS J161242.8-522522,243.1785060564443,-52.42291376756108,pair,0,,,,,,11.638342,XMMSL3 J161243.5-522531,49.443577,257.964203,34.431461,1.0,2.078041,2CXO J161243.0-522523,0.000114,1.7e-05,True,True,2.0,5.798405,44624.0,4.81,2.761e-10,0.0,0.0,1.0,3.735852,J161243.16-522520.1,11.332,11.647,3.0,,,,,,,,,,,,,,,,,,,3.954069,SRGA J161243.3-522523,310.504,103.49,4U 1608-52,0.0,LMXB,,,,,,,
3eRASS J054334.0-682222,85.89198886584605,-68.37291519418177,pair,1,5.085504,2RXS J054334.6-682218,2706.93,-0.939,1.0,1.88441,XMMSL3 J054333.6-682221,6.350407,15.212281,4.422289,4.0,,,,,,,,7.203757,42709.0,0.0641,3.079e-12,0.0,0.0,1.0,0.780666,J054334.02-682221.7,16.588,16.507,2.0,,,,,,,,,,,,5XMM J054334.5-682221,2.881057245808034,4.67915e-12,4.37346e-14,3.753381e-13,336.0,1.0,,,,,,,,,,,,,,
3eRASS J162636.4-515631,246.6519045727625,-51.9421202647553,pair,2,,,,,,8.463071,XMMSL3 J162638.0-515635,3.660568,4.426893,2.549142,2.0,1.117923,2CXO J162636.5-515630,0.000135,6.19e-06,True,True,1.0,2.053677,25063.0,0.547,4.124e-11,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.262428,SRGA J162636.5-515629,72.3474,42.53,SWIFT J1626.6-5156,0.0,HMXB,,,,,,,
3eRASS J094452.8-711152,146.22033015318507,-71.19802286286726,pair,3,,,,,,,,,,,,,,,,,,,,,,,,,,5.237307,J094453.74-711156.0,16.692,16.43,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J090506.7-533020,136.27832006628677,-53.505647307592405,pair,4,,,,,,8.683638,XMMSL3 J090505.8-533022,1.37856,6.53913,0.96,2.0,,,,,,,,,,,,,,,0.802969,J090506.82-533019.5,12.285,12.337,1.0,0.862338,5.311384333263075e+18,13.11701,13.167003,52.0,1.0,,,,,,,,,,,,,6.942241,SRGA J090507.5-533024,67.4916,45.88,MAXI J0903-531,0.0,HMXB,,,,,,,
3eRASS J150616.3-750200,226.56807462222548,-75.03360801480872,pair,5,8.749701,2RXS J150618.4-750157,60.95,-0.983,1.0,,,,,,,,,,,,,,,,,,,,,1.616261,J150615.92-750201.0,13.712,13.259,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J123915.4-324332,189.8142427788829,-32.725704888668616,pair,6,,,,,,,,,,,,,,,,,,,,,,,,,,4.364848,J123915.72-324334.7,7.146,6.877,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eRASS J071521.8-191603,108.84116983684136,-19.267748310491587,pair,7,,,,,,,,,,,,,,,,,,,,,,,,,,1.811569,J071521.77-191604.9,15.451,15.476,3.0,,,,,,,,,,,,5XMM J071521.9-191606,2.8987929821939127,1.34707e-11,6.26175e-14,1.673847e-12,1.0,1.0,,,,,,,,,,,,,,
3eRASS J014554.9-674648,26.47891788138732,-67.78012775307835,pair,8,,,,,,5.024259,XMMSL3 J014555.0-674653,1.52216,1.359428,1.06,3.0,,,,,,,,1.583846,191201.0,0.0101,4.341e-13,0.0,,1.0,0.388562,J014554.86-674648.3,12.966,12.194,3.0,0.341447,4.697600761807512e+18,16.731377,17.728746,45.0,1.0,0.341447,4.697600761807512e+18,AGN,0.8003036,1.0,,,,,,,,,,,,,,,,,,,,,
3eRASS J142111.9-624156,215.29989673640551,-62.69892351486364,pair,9,,,,,,,,,,,,1.174495,2CXO J142112.1-624156,4.47e-05,0.0,False,True,1.0,2.14359,192409.0,1.11,1.226e-10,0.0,0.0,2.0,1.38252,J142112.17-624156.4,11.747,11.683,1.0,,,,,,,,,,,,,,,,,,,1.851405,SRGA J142112.1-624158,161.596,78.12,4U 1416-62,0.0,HMXB,,,,,,,
