label,note,n_sources,asas_sn_id,n_epochs,mjd_min,mjd_max,median_mag,w1_n,w1_min_mag,w1_n_bright05,w2_n,w2_min_mag,w2_n_bright05
3eRASS J094452.8-711152,"x57 riser, no cp, hard-detected",1,463856998608.0,1065.0,57437.156153200194,60714.800008499995,16.752,82.0,15.729,1.0,153.0,16.166,1.0
3eRASS J155100.8-453347,"new-bright >=x49, M-dwarf cp?",0,,,,,,,,,,,
3eRASS J060622.5-624814,"TDE-like fader, faint galaxy",0,,,,,,,,,,,
1eRASS J034852.6-552534,vanished = WTP 15abymdq MIR flare,1,609885536162.0,1880.0,56826.44521989999,60704.80472660018,15.52,122.0,15.311,0.0,190.0,15.245,0.0
1eRASS J050338.2-304513,fade-candidate DL242,1,661430847437.0,252.0,56856.43397640018,60652.15142539982,18.279,19.0,17.123,3.0,32.0,17.016,7.0
1eRASS J131400.5-190157,fade-candidate DL223,1,584116154779.0,1413.0,56630.65005409997,60837.20844529988,13.446,63.0,13.422,0.0,142.0,13.389,0.0
1eRASS J051910.4-253443,fade-candidate DL157,1,661429356687.0,1587.0,56873.4092656998,60707.21925379988,17.323,120.0,16.18,7.0,172.0,15.899,5.0
1eRASS J064759.4-441943,fade-candidate DL113,1,489627316721.0,1764.0,56783.97268219991,60704.95525289979,13.912,137.0,13.749,0.0,189.0,13.77,0.0
1eRASS J024930.1-274958,fade-candidate DL106,1,661435329905.0,2417.0,56618.288824299816,60837.41451200005,16.896,158.0,16.403,0.0,254.0,15.945,5.0
1eRASS J121547.0-173140,fade-candidate DL105,1,317827961080.0,754.0,55972.55721470015,60840.1842606999,11.336,57.0,8.962,30.0,78.0,8.963,16.0
3eRASS J040311.3-023207,"riser x16, optical-faint",0,,,,,,,,,,,
3eRASS J082731.8-694520,"riser x14, optical-faint",1,592706190143.0,1071.0,56784.019502399955,60705.84847739991,17.536,60.0,16.708,2.0,191.0,16.845,10.0
