IAUNAME,GDR3_UID_5XMM,GDR3_UID_2RXS,GDR3_UID_CSC,GDR3_source_id,GDR3_Xray_proba,GDR3_NWAY_Separation_GDR3_ERO,GDR3_NWAY_p_any,GDR3_NWAY_p_i,GDR3_NWAY_match_flag,GDR3_parallax,GDR3_parallax_error,GDR3_pm,GDR3_ruwe,GDR3_phot_g_mean_mag,GDR3_phot_bp_mean_mag,GDR3_phot_rp_mean_mag,GDR3_PQSO,GDR3_PGal,GDR3_Pstar,GDR3_n_rows,LS10_ERO_LS10_FULLID,LS10_Xray_proba,LS10_NWAY_Separation_LS10_ERO,LS10_NWAY_p_any,LS10_NWAY_p_i,LS10_NWAY_match_flag,LS10_TYPE,LS10_dered_mag_g,LS10_dered_mag_r,LS10_dered_mag_z,LS10_dered_mag_W1,LS10_dered_mag_W2,LS10_g_minus_r,LS10_z_minus_W1,LS10_W1_minus_W2,LS10_Class_STAREX,LS10_Exgal_prob_STAREX,LS10_class_gal_exgal,LS10_class_jetted,LS10_main_id_simbad,LS10_n_rows,CW2020_source_id,CW2020_Xray_proba,CW2020_NWAY_p_any,CW2020_NWAY_p_i,CW2020_NWAY_match_flag,CW2020_w1mpro,CW2020_w1sigmpro,CW2020_w2mpro,CW2020_w2sigmpro,CW2020_PMRA,CW2020_PMDec,CW2020_sigPMRA,CW2020_sigPMDec,CW2020_n_rows,hard_name,hard_sep_arcsec,hard_detlike3
3eRASS J161242.8-522522,-3014918020100004.0,0.0,2CXO J161243.0-522523,5.933363664376255e+18,0.038147238346510945,2.467919,4.1919684e-08,0.9695525,1.0,0.7632480108453483,0.11617633,6.209109,1.1766515,17.445187,18.00157,16.108957,0.0,0.0,0.9999956,1.0,,,,,,,,,,,,,,,,,,,,,,2441m531_b0-028396,0.1463486646393402,0.00410944,0.99998003,1.0,11.471,0.011,11.584,0.008,-0.00634,0.02662,0.0049,0.0054,1.0,3eRASS J161242.8-522522,0.14105149600108097,23567.83
3eRASS J054334.0-682222,3012351010100013.0,-210478.0,,4.659274599672438e+18,0.19069525818919922,0.57672924,0.46189135,1.0,1.0,0.06210465729236603,0.062307466,1.7346942,1.0200938,17.410278,17.417707,17.408989,0.00090334,1e-08,4.989e-05,1.0,sm03_082159_020_ML00007_001_c030_10000_23694_6216,0.3434244310661994,0.57549715,0.89419156,0.99947083,1.0,PSF,inf,16.367097396134973,17.528309305716952,inf,inf,inf,-inf,,0.0,,-5.0,0.0,2E  1550,1.0,0870m682_b0-092986,0.1509776993683395,0.7554423,0.9938349,1.0,16.57,0.039,16.518,0.041,-0.00829,0.0544,0.0164,0.0182,1.0,,,
3eRASS J162636.4-515631,-1.0,0.0,2CXO J162636.5-515630,5.933976985766949e+18,0.060889292110375595,1.1139973,0.15049544,0.42178148,2.0,0.05012035369873047,0.038363397,4.388833,0.98942035,15.729032,16.68086,14.752704,0.0,0.0,0.99991554,1.0,,,,,,,,,,,,,,,,,,,,,,2455m515_b0-195161,0.11472839258068772,0.0,0.958621,1.0,14.281,0.011,14.714,0.028,0.32189,-0.01513,0.015,0.0153,1.0,3eRASS J162636.4-515631,0.39096264784629675,4047.2803
3eRASS J094452.8-711152,-1.0,0.0,,5.2185240479237e+18,0.0,10.17947,0.0,1.0,1.0,0.46498409460854995,0.040909376,7.0897717,0.9339463,16.363728,16.774595,15.780491,0.0,0.0,0.9999853,1.0,,,,,,,,,,,,,,,,,,,,,,1440m712_b0-057474,0.11911746249662931,4.071039e-06,1.0,1.0,16.694,0.028,16.434,0.061,-0.04043,-0.0226,0.0295,0.0284,1.0,3eRASS J094452.8-711152,0.0860665713455166,197.15239
3eRASS J090506.7-533020,-1.0,0.0,,5.311384333263075e+18,0.06997545372102529,0.86233807,0.2892176,1.0,1.0,0.053045683314559514,0.011596192,3.024897,0.98797125,13.145346,13.324261,12.798444,1e-08,0.0,0.99999934,1.0,,,,,,,,,,,,,,,,,,,,,,1356m531_b0-006842,0.28478821557139816,0.87091005,1.0,1.0,12.28,0.012,12.33,0.008,-0.00561,0.0118,0.0042,0.0046,1.0,3eRASS J090506.7-533020,0.2527100530874526,1951.8737
3eRASS J150616.3-750200,-1.0,214984.0,,5.792598619480184e+18,0.4924043322288412,1.6841731,0.18565646,1.0,1.0,2.470194210705954,0.08200338,19.3936,1.1012975,17.472294,18.076904,16.617449,0.0,9e-08,0.9999813,1.0,sm03_228165_020_ML00002_001_c030_10000_11536_8802,0.8136220243950559,1.6841731,0.9110041,0.99998987,1.0,PSF,inf,inf,inf,16.444212065602084,16.593962904804904,,inf,-0.14975083920282017,0.0,,-5.0,0.0,,1.0,2264m758_b0-006874,0.9861422755152419,0.99806446,1.0,1.0,13.726,0.013,13.266,0.011,-0.03402,-0.03002,0.0059,0.0066,1.0,,,
3eRASS J123915.4-324332,-1.0,0.0,,6.160221740968693e+18,0.27513653707839814,4.3930883,2.220446e-16,1.0,1.0,23.42504915312401,0.020540977,77.654526,1.1511996,8.670022,9.103575,8.0641985,0.0,0.0,0.99932396,1.0,sm03_189123_020_ML00001_001_c030_10000_152350_807,0.9895444718956018,4.3930883,0.09894247,1.0,1.0,PSF,9.33486775703236,9.191350377408309,9.091609092411932,9.681676291058249,10.174530599222535,0.14351737962405053,-0.5900671986463166,-0.49285430816428644,1.0,3.3765242434559396e-10,-5.0,0.0,,1.0,1889m334_b0-000013,0.8983650578700536,0.022929253,1.0,1.0,7.179,0.019,6.896,0.009,-0.06118,-0.07335,0.004,0.0044,1.0,3eRASS J123915.4-324332,0.14830216430436535,180.87093
3eRASS J071521.8-191603,3080445010100001.0,0.0,,2.930981516403833e+18,0.07517455506252757,3.771567,0.00034799887,0.9999993,1.0,0.30768274002748053,0.064123504,3.3103068,1.0268052,17.166534,17.754923,16.42234,0.0,0.0,0.99999666,1.0,,,,,,,,,,,,,,,,,,,,,,1088m197_b0-024547,0.07831002196666473,0.31842434,1.0,1.0,15.454,0.027,15.487,0.049,0.02186,-0.0628,0.0249,0.0267,1.0,3eRASS J071521.9-191603,0.8778537029624583,84.157135
3eRASS J014554.9-674648,-1.0,0.0,,4.697600761807512e+18,0.9781478607078187,0.34144703,0.9999481,1.0,1.0,-0.03206151778440364,0.06066817,0.14318646,1.042643,17.297075,17.53489,16.61316,0.9763775,1e-08,0.02362243,1.0,sm03_027159_020_ML00002_001_c030_10000_24688_4493,0.9998843800482942,0.34144703,0.99999094,1.0,1.0,PSF,18.05078979004812,17.71926809058952,17.101258187732004,15.754146546927323,15.551157830224522,0.33152169945860166,1.3471116408046804,0.2029887167028015,0.0,0.9373284155393277,4.0,3.0,2MASS J01455485-6746483,1.0,0276m682_b0-000638,0.9877435341761097,0.9996868,1.0,1.0,12.948,0.014,12.164,0.009,0.01305,0.00749,0.0044,0.0038,1.0,3eRASS J014554.9-674648,0.1616147578789063,79.72944
3eRASS J142111.9-624156,-1.0,0.0,2CXO J142112.1-624156,5.854175187710795e+18,0.025403077747242174,1.1833886,0.009178944,0.999658,1.0,0.06331278383731842,0.04948842,4.7057695,1.0345956,16.17779,17.230152,14.935932,0.0,0.0,0.9999955,1.0,,,,,,,,,,,,,,,,,,,,,,2147m621_b0-036581,0.9394015050055075,0.9932392,1.0,1.0,11.863,0.011,11.675,0.009,-0.01155,-0.02996,0.0043,0.0056,1.0,3eRASS J142111.9-624155,0.21999824504284432,8744.993
