IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J172341.8-310306,sm03_262120_020_ML00003_001_c030,260.9245114573623,-31.051778751332545,12727.046,7.5121055,320.47974
3eRASS J170930.3-263920,sb03_258117_020_ML00001_001_c030,257.3763682992362,-26.65555849118433,7949.31,4.989224,350.358
3eRASS J234403.0-352639,sb03_355126_020_ML00001_001_c030,356.01277416305146,-35.44421798096663,5187.299,4.243733,231.67688
3eRASS J173758.6-374616,sm03_263129_020_ML00003_001_c030,264.494296456611,-37.77121433452904,5830.9946,3.781501,346.61838
3eRASS J192832.3-500134,sm03_293141_020_ML00002_001_c030,292.1348322130564,-50.026282542215526,4649.0283,3.7502074,262.63037
3eRASS J045649.7-203747,sm03_075111_020_ML00007_001_c030,74.20716087081234,-20.629847419221143,3825.0557,1.6437861,512.5606
3eRASS J155100.8-453347,sm03_238135_020_ML00002_001_c030,237.75364824786323,-45.56326785295143,2313.395,1.384875,444.91003
3eRASS J074910.4-054926,sm03_119096_020_ML00003_001_c030,117.29345999283314,-5.824103397274831,1255.7883,1.1929504,250.09424
3eRASS J115415.8-501801,sm03_178141_020_ML00005_001_c030,178.5658899777514,-50.300384336924886,2441.5723,1.0825548,567.8688
3eRASS J155747.9-542453,sm03_239144_020_ML00004_001_c030,239.44992714586039,-54.414756085931685,1316.6312,0.89813244,451.8815
3eRASS J090023.0+214951,sm03_135069_020_ML00005_001_c030,135.09601941843613,21.83100993527568,781.67194,0.89231473,229.30974
3eRASS J092909.3-024504,sm03_143093_020_ML00002_001_c030,142.2889693372582,-2.75113505368429,465.44778,0.8847133,212.75046
3eRASS J132435.1-194509,sm03_202111_020_ML00004_001_c030,201.14651448554773,-19.7525502624014,1263.6088,0.8676963,421.26132
3eRASS J083821.2+241036,sm03_128066_020_ML00005_001_c030,129.58850789113032,24.176896421921214,669.0518,0.846459,204.20152
3eRASS J155517.1-232216,sm03_238114_020_ML00013_001_c030,238.82134498852162,-23.371199848158057,917.7872,0.8402362,381.42517
3eRASS J205101.0-743003,sm03_312165_020_ML00004_001_c030,312.7545122549176,-74.50101300966952,1228.2601,0.8325169,400.5648
3eRASS J024510.8-434441,sm03_039135_020_ML00006_001_c030,41.295240375487516,-43.74489566384688,917.92474,0.7775874,566.3001
3eRASS J064957.1+281418,sm03_102063_020_ML00005_001_c030,102.48830498786603,28.23843443921123,377.08575,0.76943237,236.94565
3eRASS J072919.2+081501,sm03_113081_020_ML00005_001_c030,112.33029138646238,8.250321788063694,614.17444,0.7624628,230.98677
3eRASS J091529.5-690509,sm03_137159_020_ML00003_001_c030,138.87303358329106,-69.08584112546575,2684.7285,0.72284776,1319.4126
3eRASS J040515.2-745159,sm03_058165_020_ML00003_001_c030,61.31370321268538,-74.86657976007223,2693.6643,0.72084665,1046.0582
3eRASS J140703.0-360236,sm03_213126_020_ML00004_001_c030,211.76251543845615,-36.043336369295375,1040.1525,0.71806854,463.51907
3eRASS J064052.9+095257,sm03_101081_020_ML00009_001_c030,100.22074122166362,9.882655767874923,373.49197,0.6141301,248.60974
3eRASS J073449.2+281810,sm03_115063_020_ML00007_001_c030,113.70503726585233,28.3028946884437,489.32678,0.5984946,228.16406
3eRASS J165841.0-401101,sm03_256129_020_ML00009_001_c030,254.67097276362568,-40.18363947275791,714.0038,0.59428376,367.06476
3eRASS J115723.3-130556,sm03_178102_020_ML00006_001_c030,179.34734472643663,-13.09898337815863,643.7995,0.56934637,306.69092
3eRASS J175146.2-434638,sm03_267135_020_ML00010_001_c030,267.942871210644,-43.77738259604229,426.92767,0.54870844,308.49228
3eRASS J090322.8+394915,sm03_135051_020_ML00014_001_c030,135.84538525468486,39.820895458767176,405.2224,0.5194821,230.90773
3eRASS J100130.8-614020,sm03_148153_020_ML00017_001_c030,150.37873700237301,-61.6722951962918,1257.8158,0.5143315,762.10095
