IAUNAME,RA,DEC,R,z_var,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_FLUX_1_D1,ML_EXP_1,ML_EXP_1_D1,ul_exposure_s,ul_b_flux,ul_s_flux,ul_flag_pos,ul_presence,ul_fade_frac
3eRASS J104651.4-253546,161.71452318250417,-25.596239271724052,1.0257186888228462,0.5776047711721122,6.5929604,0.14774431,6.1386968e-12,6.1108015e-12,321.47,112.23848,321.4697570800781,6.663099759440794e-12,4.802259393095476e-13,1,13.874926808453475,1.090380651598458
3eRASS J064842.1-682128,102.17577982816879,-68.35785128252185,1.0022012496826058,0.023668327524508655,0.10932518,0.005238735,1.0179254e-13,1.0370775e-13,4668.9336,1624.9556,4668.1015625,1.209027452805933e-13,1.9244119305364925e-14,1,6.282581362239203,1.1658023819432153
3eRASS J162003.5-480130,245.01497597701737,-48.02526228416511,1.0222295545591389,0.2560686917080586,1.447115,0.06364538,1.3474069e-12,1.3458621e-12,385.77933,137.49545,385.6957092285156,1.643462167570664e-12,2.6266624509121983e-13,1,6.25684570546899,1.221122244879661
3eRASS J030152.1-220018,45.46725724122537,-22.005182101421028,0.9552553112071344,0.5036305436896906,0.8582677,0.04152382,7.99132e-13,8.541798e-13,530.07007,206.01689,530.1539916992188,9.795958532191062e-13,1.5553353147502308e-13,1,6.298293647221778,1.14682630446874
3eRASS J080532.4-735741,121.38516594981074,-73.96150268590057,0.9706563719218233,0.39808911067078356,0.35021126,0.014423314,3.2608126e-13,3.43013e-13,1849.3866,786.66345,1849.386474609375,3.7607281655124836e-13,4.945638015329927e-14,1,7.604131466669023,1.0963806562272174
3eRASS J054557.2-663955,86.48864818596435,-66.6654103896782,1.0402954044210235,0.9902541123643814,0.20490998,0.0045166896,1.9079142e-13,1.872632e-13,11463.362,4985.187,11465.4287109375,2.113687236305825e-13,1.7428102689308334e-14,1,12.12803983305948,1.1287253886985316
3eRASS J144715.1-221116,221.81294488995903,-22.187926833088035,1.00584919468025,0.09331784240677422,2.4120815,0.08096642,2.245886e-12,2.2798438e-12,397.76712,155.4272,397.820068359375,2.6018618683176786e-12,2.922213794727402e-13,1,8.903735493317637,1.1412456472007977
3eRASS J114550.9-552043,176.46223308794723,-55.345443383324074,1.0239682862102168,0.5796335049451804,3.6935413,0.078024454,3.4390516e-12,3.429276e-12,643.013,230.42046,643.1820068359375,3.017576856792492e-12,inf,1,0.0,0.8799457645346647
3eRASS J044903.2-520650,72.2636513603833,-52.113911790795434,1.0287674194795315,0.5626960500396391,0.9183987,0.026092347,8.5511985e-13,8.487114e-13,1452.5573,677.16766,1452.541259765625,9.392443420241925e-13,7.430262459993953e-14,1,12.640796298667448,1.1066710560488076
3eRASS J060546.9-330409,91.44581309383508,-33.06940825170812,1.03354253474893,0.334368614547695,1.0410919,0.04991967,9.693594e-13,9.576498e-13,452.20596,139.82364,452.2162780761719,1.1634812037419895e-12,1.8784893616747428e-13,1,6.193706642579562,1.21493395042999
3eRASS J090827.6-602450,137.11527989442806,-60.413990366015035,1.0398314186855606,0.4137544694044924,0.54962456,0.026798844,5.117547e-13,5.025152e-13,834.0621,302.1471,834.1373901367188,6.065943645820748e-13,9.103171504359214e-14,1,6.663549778136075,1.2071164880160443
