IAUNAME,UID,RA,DEC,POS_ERR,DET_LIKE_0,EXT_LIKE,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,MJD_MIN,MJD_MAX,FLAG_SP_SNR,FLAG_SP_BPS,FLAG_SP_LGA,FLAG_SP_GC_CONS,FLAG_NO_RADEC_ERR,FLAG_NO_CTS_ERR,FLAG_OPT,in_dr2_any_sep,in_dr2_any_name,in_dr2_any_rate,in_dr2_any_extlike,in_dr2_any_detlike,nn2_sep_arcsec,nn2_rate,nn2_detlike,next_sep_arcsec,next_extlike,next_rate,n2_within_120,nn2_bright_sep_arcsec,nn2_bright_name,nn2_bright_rate,dr1_nn_sep_arcsec,dr1_nn_rate,forensic_class,ul_exposure_s,ul_b_flux,ul_s_flux,ul_flag_pos,ul_presence,ul_fade_frac,t1_over_t3_approx,forensic_class_v2
1eRASS J011706.7-732648,102316200220,19.27808880357431,-73.44681616595088,5.4022775,1115.0339,0.0,11.1238365,9.491542,1.035739e-11,188.4971,58970.363,58972.2,0,0,0,0,0,0,0,13.895240295373677,3eRASS J011705.2-732636,54.44797,0.0,217337.97,13.895240295373677,54.44797,217337.97,84.63822653456859,43.687088,0.9978605,1,13.895240295372204,3eRASS J011705.2-732636,54.44797134399414,20.336214310971062,89.41453,ARTIFACT-SPLIT/MOVED,561.1823120117188,4.686711435608615e-11,4.905235831235977e-13,1,95.54507870476228,4.524992720761326,0.3358928033998045,ARTIFACT-SPLIT/MOVED
1eRASS J114724.4-495303,117814100004,176.85173264720294,-49.88421019660567,1.0617273,1060.8835,0.0,2.2895696,0.118819505,2.1318153e-12,200.1465,58851.957,58853.793,0,0,0,0,0,0,0,32.786130571803426,3eRASS J114721.0-495302,9.221333,0.0,27094.607,32.786130571803426,9.221333,27094.607,1295.5781561039555,19.922298,0.14662276,1,32.7861305718034,3eRASS J114721.0-495302,9.221332550048828,37.95250606781891,1.5642012,ARTIFACT-CONFUSION,563.61669921875,4.684092523576933e-12,1.2162045459271353e-12,1,3.8514019202305834,2.197231872562756,0.355111018316935,ARTIFACT-CONFUSION
1eRASS J050558.2-680146,107415900004,76.4926966917543,-68.0296573463546,3.0407014,553.63104,0.0,2.5211382,0.40723643,2.3474285e-12,868.8799,58986.707,58994.87,0,0,0,0,0,0,0,16.58995879577787,3eRASS J050555.3-680150,13.026055,0.0,138246.88,16.58995879577787,13.026055,138246.88,75.83427678570312,24.949352,0.16138329,1,16.589958795777818,3eRASS J050555.3-680150,13.026055335998535,223.76127180963587,0.020431425,ARTIFACT-CONFUSION,2236.485595703125,8.334475470883618e-12,inf,1,0.0,3.550470427910208,0.388502345675441,INDETERMINATE-HALO
1eRASS J053323.7-645745,108715600187,83.34884672385304,-64.9627696285099,1.3334049,308.02405,0.0,0.07186741,0.006017249,6.691565e-14,2694.6624,58849.48,58875.65,0,0,0,0,0,0,0,28.55343974294485,3eRASS J053320.5-645805,0.40381384,136.28636,878.0136,117.2989176025344,0.0069832965,23.041603,28.55343974294485,136.28636,0.40381384,1,,,,74.2110094842034,0.048035566,ARTIFACT-EXTENDED,7307.39453125,7.049415440491327e-14,3.2245117898488044e-14,1,2.1861962057896127,1.0534778397118354,0.3687583020837732,ARTIFACT-EXTENDED
1eRASS J073144.0-470001,111513800005,112.93349727990255,-47.0003095888563,1.9542542,287.9319,0.0,0.47143817,0.050265502,4.3895549e-13,211.92293,58971.22,58973.05,0,0,0,0,0,0,0,16.422498942700795,3eRASS J073145.6-465957,0.3454487,0.0,273.51834,16.422498942700795,0.3454487,273.51834,533.4514423530532,3.3061793,0.033331186,2,16.422498942701093,3eRASS J073145.6-465957,0.3454487025737762,71.85622803886619,0.79230493,ARTIFACT-CONFUSION,595.667236328125,5.492336186546655e-13,2.439203624238912e-13,1,2.2516923687584267,1.2512284984854964,0.3557740246154174,ARTIFACT-CONFUSION
1eRASS J064100.4+095401,110108100003,100.25169794521332,9.900426555886934,1.3839939,245.2619,0.0,1.9554683,0.18751627,1.820734e-12,77.20336,58948.58,58949.08,0,0,0,0,0,0,0,29.85752077763341,3eRASS J064058.7+095344,3.8654041,0.0,4378.599,29.85752077763341,3.8654041,4378.599,62.52670649811528,3.6367059,0.19248763,5,29.85752077763353,3eRASS J064058.7+095344,3.86540412902832,32.24154458578203,2.998259,ARTIFACT-CONFUSION,249.94493103027344,2.125713450748523e-12,3.636135717608596e-13,1,5.846078408059412,1.1675035731460626,0.3088814791392953,ARTIFACT-CONFUSION
1eRASS J050338.2-304513,107712000011,75.90941019162457,-30.75362190505544,1.8337834,242.36865,0.0,0.42082566,0.04783008,3.9183023e-13,209.21237,58918.227,58920.06,0,0,0,0,0,0,0,63.74803055597568,3eRASS J050333.4-304526,0.34925842,0.0,594.80554,63.74803055597568,0.34925842,594.80554,483.236180975531,5.6793265,0.0688074,2,63.7480305559751,3eRASS J050333.4-304526,0.3492584228515625,64.59302788530877,0.23908776,ARTIFACT-CONFUSION,597.260009765625,4.39081008964809e-13,4.305517259991371e-13,1,1.0198101237334,1.1205899273387072,0.3502869212390404,FADE-CANDIDATE
1eRASS J054656.6-653401,108715600262,86.73583612572537,-65.56713447578834,1.3367518,239.52129,0.0,0.033919275,0.0030363554,3.1582193e-14,5469.2363,58851.15,58905.543,0,0,0,0,0,0,0,51.59843555594706,3eRASS J054649.9-653330,0.019661315,0.0,258.9389,51.59843555594706,0.019661315,258.9389,256.45045298197715,639.98065,0.19365877,6,51.5984355559502,3eRASS J054649.9-653330,0.0196613147854805,53.892796532203576,0.012945967,ARTIFACT-CONFUSION,14325.8203125,4.09221505152154e-14,3.778016311253851e-14,1,1.083165003637428,1.295734926172334,0.3817747382485186,FADE-CANDIDATE
1eRASS J052524.1-655818,108015600010,81.3506538768491,-65.97171292220668,5.5298214,233.24046,0.0,0.521539,0.06394606,4.856043e-13,2336.4348,58828.98,59011.375,0,0,0,0,0,0,0,45.0046627566108,3eRASS J052523.2-655902,27.300137,42107.383,149003.02,94.81002364005164,3.2478588,32960.11,45.0046627566108,42107.383,27.300137,2,94.8100236400546,3eRASS J052532.0-655939,3.247858762741089,81.62570868391373,3.5657547,ARTIFACT-CONFUSION,5553.88037109375,2.563978543368428e-12,3.2610245341742344e-13,1,7.86249387730438,5.279974957734987,0.4206851145300913,ARTIFACT-CONFUSION
1eRASS J051621.3-631123,107915300010,79.08902574031303,-63.189898416388566,2.3275273,231.29706,0.0,0.13246064,0.0112507595,1.2333393e-13,1534.094,58858.65,58873.48,0,0,0,0,0,0,0,60.560485874492045,3eRASS J051620.6-631223,1.4689792,1486.1779,3912.4048,93.16350508218292,0.025107889,43.158127,60.560485874492045,1486.1779,1.4689792,1,,,,165.80435195833758,0.1128504,ARTIFACT-EXTENDED,4151.4375,1.181167658256474e-13,2.597590010114132e-14,1,4.547167388453947,0.9576988735025908,0.3695332038601087,ARTIFACT-EXTENDED
