IAUNAME,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_FLUX_1,MJD_MIN,MJD_MAX,ul_presence,ul_fade_frac,r_match_arcsec,ocvs_nearest_any_arcmin,xrom_nearest_any_arcmin,be_nearest_any_arcmin,hmxb_nearest_any_arcmin,ocvs_n_match,ocvs_matches,ocvs_nearest30,xrom_n_match,xrom_matches,xrom_nearest30,be_n_match,be_matches,be_nearest30,hmxb_n_match,hmxb_matches,hmxb_nearest30,gaia_n10,gaia_nearest_sep,gaia_nearest_G,gaia_nearest_bp_rp,gaia_nearest_plx,gaia_nearest_plx_err,gaia_nearest_pm,be_donor_candidate,be_donor_detail,catwise_sep,catwise_w1,catwise_w2,gclass_class,gclass_score,2rxs_id,2rxs_sep,catwise_w1_w2,auto_reading
1eRASS J054656.6-653401,86.73583612572537,-65.56713447578834,1.3367518,239.52129,0.033919275,3.1582193e-14,58851.15,58905.543,1.083165003637428,1.295734926172334,5.74,1.93,98.77,244.7,46.92,0,,,0,,,0,,,0,,,4,1.21,20.133266,0.85160637,-0.270966137876908,0.34702078,1.0696877,False,,1.591147,15.84,14.95,,,,,0.8900000000000006,AGN-colored IR counterpart (W1-W2 >= 0.8)
1eRASS J055329.9-663938,88.37488674157659,-66.66065262669059,1.3412747,166.10893,0.014822992,1.3801668e-14,58828.98,59011.375,1.0277061254991362,1.698155341770145,5.76,1.75,106.12,202.17,37.21,0,,,0,,,0,,,0,,,7,2.6,20.92979,1.3970242,,,,False,,2.688467,15.812,15.365,,,,,0.4469999999999992,no Be-donor-like star; faint/ambiguous counterpart
1eRASS J054351.5-654739,85.96459539873919,-65.79440540654224,1.7027339,99.43866,0.022468798,2.0920669e-14,58838.15,58883.375,1.0267269397747514,1.3196686551945709,6.79,1.22,75.46,226.18,59.15,0,,,0,,,0,,,0,,,3,3.44,20.909163,0.12813759,1.5134025509580151,1.9504985,2.760871,False,,2.535761,16.306,15.705,,,,,0.6010000000000009,no Be-donor-like star; faint/ambiguous counterpart
1eRASS J055855.6-665204,89.73175394466855,-66.86784856559628,1.5737838,81.053314,0.00637704,5.937654e-15,58828.98,59011.375,1.201569975598449,1.5599365883392895,6.41,0.82,125.84,209.45,29.87,0,,,0,,,0,,,0,,,7,2.58,20.943073,0.5688343,,,,False,,2.524412,17.992,17.187,,,,,0.8049999999999997,AGN-colored IR counterpart (W1-W2 >= 0.8)
1eRASS J060317.3-675951,90.82238040109684,-67.99769401746899,2.2165167,71.11842,0.016508695,1.5371224e-14,58890.207,58943.875,1.0117646960065343,0.9298381796231864,8.36,0.41,112.17,166.07,17.84,0,,"OGLE-LMC-RRLYR-37133@24.7""",0,,,0,,,0,,,1,5.53,20.70685,0.93144417,,,,False,,5.709975,15.74,15.749,,,,,-0.009000000000000341,no Be-donor-like star; faint/ambiguous counterpart
1eRASS J062127.7-671207,95.36567614426338,-67.20195643156956,1.8717093,62.71705,0.017258756,1.6069606e-14,58829.977,58862.312,1.0198093529799583,1.103311974174476,7.3,1.8,225.81,270.39,114.93,0,,,0,,,0,,,0,,,1,6.94,16.873999,0.78334045,0.3438956165141232,0.049811736,4.311073,False,,1.362432,16.772,16.672,,,,,0.09999999999999787,foreground star (significant parallax)
1eRASS J060437.7-665131,91.15714555390618,-66.85873609785551,1.762277,60.719227,0.008747648,8.144924e-15,58828.98,59011.375,1.185061315496098,1.936781524512291,6.97,1.17,150.66,228.15,53.45,0,,,0,,,0,,,0,,,3,5.04,20.931673,0.48361588,,,,False,,1.715024,16.937,15.762,,,,,1.1750000000000007,AGN-colored IR counterpart (W1-W2 >= 0.8)
1eRASS J055043.8-641628,87.68272307304116,-64.27464130312411,1.8904221,58.57249,0.020863345,1.9425833e-14,58904.875,58931.21,1.0781672456305476,1.637097577324096,7.36,1.0,160.8,325.9,77.92,0,,,0,,,0,,,0,,,2,3.65,13.295024,0.93724537,1.7556810427738163,0.010658576,18.41235,False,,3.588685,11.516,11.601,ECL,0.954397,,,-0.08500000000000085,foreground star (significant parallax)
1eRASS J060134.1-615749,90.39236761931154,-61.96381397067939,2.248917,56.06892,0.04095193,3.813029e-14,58937.71,58948.543,1.0394280239186966,0.797476009946947,8.47,2.39,311.65,480.44,199.58,0,,,0,,,0,,,0,,,1,4.06,20.802359,0.74189186,3.232080705333738,1.2643969,3.1073048,False,,3.196266,15.987,15.482,,,,,0.5050000000000008,no Be-donor-like star; faint/ambiguous counterpart
1eRASS J060434.9-665101,91.14558034469346,-66.85043084223261,1.779096,53.13193,0.008172149,7.609077e-15,58828.98,59011.375,1.058441147881278,1.7442680908398904,7.02,1.48,150.77,228.46,53.86,0,,,0,,,0,,,0,,,7,4.3,20.304373,1.9715233,0.8052318638894445,0.45445886,18.821695,False,,4.503145,16.477,16.291,,,,,0.18599999999999994,no Be-donor-like star; faint/ambiguous counterpart
