DETUID,IAUNAME,RA,DEC,DET_LIKE_0,primary_100,ls10_NWAY_p_any,ls10_NWAY_match_flag,ls10_LS10_RA,ls10_LS10_DEC,ls10_class_gal_exgal,ls10_Class_STAREX,ls10_Exgal_prob_STAREX,ls10_class_jetted,ls10_dered_mag_r,ls10_LS10_TYPE,ls10_n_alt,gdr3_NWAY_p_any,gdr3_NWAY_match_flag,gdr3_GDR3_RA,gdr3_GDR3_DEC,gdr3_GDR3_PQSO,gdr3_GDR3_PGal,gdr3_GDR3_Pstar,gdr3_GDR3_parallax,gdr3_GDR3_parallax_over_error,gdr3_GDR3_phot_g_mean_mag,gdr3_n_alt,cw_NWAY_p_any,cw_NWAY_match_flag,cw_CW2020_RA,cw_CW2020_DEC,cw_CW2020_w1mpro,cw_CW2020_w2mpro,cw_n_alt,in_ls10,in_gdr3,in_cw,gdr3_dsc_max,gdr3_dsc_label,ls10_gdr3_sep,diff_object_0.5,class_conflict_0.5,tier_0.5,diff_object_0.8,class_conflict_0.8,tier_0.8
sm03_227096_020_ML00346_001_c030,3eRASS J150052.6-070521,225.21957501365117,-7.089380608645532,18.37249,True,0.9993392,1.0,225.22004268161524,-7.090243290307823,5.0,0.0,0.9725299950776342,0.0,20.07731671803906,PSF,0.0,0.99755514,1.0,225.22004268161524,-7.090243290307823,0.9660595,7.6e-07,0.03393909,-0.203018049131395,-0.2840172,20.31739,0.0,0.9879987,1.0,225.220162,-7.0901274,16.811,15.717,0.0,True,True,True,0.9660595,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_082147_020_ML03318_001_c030,3eRASS J053718.9-580617,84.32881954957504,-58.104724547703704,7.0215816,True,0.6722874,1.0,84.32795159875236,-58.10368119760256,5.0,0.0,0.9917752399487951,0.0,22.34671910762378,EXP,0.0,0.25407523,1.0,84.32751818155353,-58.10661702647351,0.0004185,0.0,0.9995352,0.043050149627017247,0.15699805,19.718853,0.0,0.25598595,1.0,84.3274614,-58.1037834,14.923,14.776,0.0,True,True,True,0.9995352,STAR,10.601090502069939,False,False,T1_single_catalog_classified,False,False,T4_in_ls10_unclassified
sm03_042144_020_ML01150_001_c030,3eRASS J025219.0-534755,43.07935464478343,-53.798662860569046,9.889891,True,0.01570353,1.0,43.077701752304655,-53.799178026170175,4.0,0.0,0.8767336579699581,0.0,21.107274347569632,SER,0.0,1.2954703e-05,1.0,43.07900894663678,-53.7929617556109,0.0,0.0,0.99999,0.42717370611434596,0.9473991,20.153042,0.0,0.06492452,1.0,43.0779766,-53.7975151,17.151,17.394,0.0,True,True,True,0.99999,STAR,22.55051126604843,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_018132_020_ML00243_001_c030,3eRASS J010533.3-410710,16.388814549815,-41.119633616476825,34.78675,True,0.9977666,1.0,16.387409056553963,-41.11956671144606,5.0,0.0,0.9622083211130533,0.0,19.9004134323655,PSF,0.0,0.9991023,1.0,16.387409056553963,-41.11956671144606,0.99999994,7e-08,0.0,-0.2097831169803534,-0.46299174,20.011518,0.0,0.997201,1.0,16.3873722,-41.1195756,16.392,15.06,0.0,True,True,True,0.99999994,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_107099_020_ML00184_001_c030,3eRASS J071349.5-093255,108.4562841144998,-9.548687085607037,12.774888,True,,,,,,,,,,,,0.09605822,1.0,108.45483669980518,-9.548257326799726,2.6e-07,3e-08,0.99999434,0.33082146366405296,0.45070386,20.18269,0.0,0.033803746,1.0,108.4596262,-9.5495816,11.789,11.843,0.0,False,True,True,0.99999434,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sm03_122060_020_ML00635_001_c030,3eRASS J080407.8+292028,121.0327065076832,29.341142119043656,7.4148145,True,0.9997594,1.0,121.03316668401864,29.342551927765296,5.0,0.0,0.996004677229913,0.0,20.403576704660956,PSF,0.0,0.99918467,1.0,121.03316668401864,29.342551927765296,0.9999999,1.2e-07,0.0,0.7073567240319797,0.9592508,20.292961,0.0,0.99564123,1.0,121.0331873,29.342558,15.894,15.148,0.0,True,True,True,0.9999999,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_115123_020_ML00284_001_c030,3eRASS J074042.7-335005,115.17830397492916,-33.83474514665633,15.24111,True,,,,,,,,,,,,,,,,,,,,,,,0.07541454,1.0,115.1799524,-33.8330251,12.739,12.651,0.0,False,False,True,,,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sm03_121156_020_ML00705_001_c030,3eRASS J075342.7-671224,118.42806461081122,-67.20678105812195,35.142128,True,,,,,,,,,,,,1.2212453e-14,1.0,118.41527357813801,-67.20725008603522,0.0,0.0,0.9999939,-0.08031294390721856,-0.45964798,19.019258,0.0,0.38436997,1.0,118.4289969,-67.2059775,17.53,16.729,0.0,False,True,True,0.9999939,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sm03_161072_020_ML00896_001_c030,3eRASS J104039.1+164557,160.16310589672156,16.766015018302046,8.482645,True,0.9812699,1.0,160.1607944530736,16.76426592156248,5.0,0.0,0.980445515335502,0.0,20.391419349296562,PSF,0.0,0.72865117,1.0,160.1607944530736,16.76426592156248,0.9896556,0.0,0.01034441,1.5334249688660284,0.833721,20.572115,0.0,0.65802866,1.0,160.1631482,16.7639489,16.515,15.889,1.0,True,True,True,0.9896556,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_177111_020_ML00460_001_c030,3eRASS J114301.6-200845,175.75667144128843,-20.14603542493901,7.65818,True,0.042859163,1.0,175.7620692118677,-20.14922316965757,4.0,0.0,0.5181438374458469,0.0,15.857204561472733,SER,0.0,0.0013731609,1.0,175.75257910246384,-20.14878794104474,0.0,7e-08,0.9999937,0.5177532681535458,1.1772135,19.715944,0.0,0.2923828,1.0,175.7559117,-20.1460351,17.45,16.629,0.0,True,True,True,0.9999937,STAR,32.11173500858989,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_183147_020_ML00030_001_c030,3eRASS J120237.1-581323,180.65494783242124,-58.223162947335034,539.25336,True,,,,,,,,,,,,0.9886124,1.0,180.655197099714,-58.22278643506953,0.0,0.0,1e-06,7.317952083015699,648.76666,12.461356,0.0,0.99716085,1.0,180.655225,-58.2227804,9.712,9.723,0.0,False,True,True,1e-06,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sb03_233096_020_ML00640_001_c030,3eRASS J152650.1-065306,231.7088298633195,-6.8850777634270255,6.476468,True,0.99945766,1.0,231.7073197978655,-6.884225435306436,4.0,0.0,0.8812455181129124,0.0,20.151045516561496,PSF,0.0,0.41062373,1.0,231.7073197978655,-6.884225435306436,0.03942966,0.00079326,0.9559855,,,20.619284,0.0,0.99192476,1.0,231.7073182,-6.8841807,15.841,14.794,0.0,True,True,True,0.9559855,STAR,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_109132_020_ML01138_001_c030,3eRASS J070718.1-420133,106.82548196188374,-42.026053624636596,10.572946,True,,,,,,,,,,,,0.86753887,1.0,106.82630657851952,-42.026922797812716,0.0,0.0,0.9998841,0.9770231481159928,54.571423,14.807561,0.0,0.41209635,1.0,106.8262936,-42.0269252,13.018,13.033,0.0,False,True,True,0.9998841,STAR,,False,False,T3_no_ls10_gdr3_dsc_only,False,False,T3_no_ls10_gdr3_dsc_only
sm03_142072_020_ML00222_001_c030,3eRASS J092733.9+191415,141.89154427663843,19.237513635475874,23.198505,True,0.9998842,1.0,141.89162431676604,19.237708911294856,4.0,0.0,0.9413839702704527,0.0,20.732178390800012,PSF,0.0,0.8069874,1.0,141.89162431676604,19.237708911294856,0.00114571,2.761e-05,0.9983606,,,20.875532,0.0,0.9994245,1.0,141.8916443,19.237688,15.757,14.743,0.0,True,True,True,0.9983606,STAR,0.0,False,True,T2_classified_contested,False,True,T2_classified_contested
sm03_044123_020_ML00364_001_c030,3eRASS J030221.6-341734,45.59035941389997,-34.29304800953996,32.82877,True,0.9993043,1.0,45.58941606123846,-34.29191510155369,5.0,0.0,0.9638646224149943,0.0,19.162131765375495,PSF,0.0,0.9984153,1.0,45.58941606123846,-34.29191510155369,0.99728835,0.0,0.00271161,0.04219043704583929,0.1453574,19.363901,0.0,0.9987364,1.0,45.5893915,-34.2919276,16.038,14.788,0.0,True,True,True,0.99728835,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_038132_020_ML01805_001_c030,3eRASS J022557.2-431210,36.488606970624225,-43.20288411318083,9.170422,True,0.9988493,1.0,36.48902382442303,-43.202589786120946,5.0,0.0,0.9552141055465891,0.0,20.39075900008327,PSF,0.0,0.9997138,1.0,36.48902382442303,-43.202589786120946,0.999613,4e-08,0.00038699,-0.06894907439304185,-0.14121298,20.323444,0.0,0.95693296,1.0,36.4891501,-43.2025863,17.38,16.303,0.0,True,True,True,0.999613,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_067138_020_ML01542_001_c030,3eRASS J043254.0-475632,68.22530064291642,-47.94226069564755,24.60421,True,0.004187907,1.0,68.2270303315403,-47.944141719486936,4.0,0.0,0.7235166772480892,0.0,22.082199996218975,REX,0.0,9.0418396e-08,1.0,68.22151529183354,-47.94604262225962,1e-07,0.0,0.9999964,-1.0996855439251574,-0.91424716,20.746704,0.0,0.008821684,1.0,68.2268144,-47.9444582,15.79,15.679,0.0,True,True,True,0.9999964,STAR,14.956734836778482,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
