IAUNAME,DETUID,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,approx_erass1_rate_lim,implied_min_rise
3eRASS J172341.8-310306,sm03_262120_020_ML00003_001_c030,260.9245114573623,-31.051778751332545,0.46659199668151313,12727.046,7.5121055,0.15764362,6.9945117e-12,320.47974,0.033626485615968704,223.3984707985041
3eRASS J170930.3-263920,sb03_258117_020_ML00001_001_c030,257.3763682992362,-26.65555849118433,0.5017664732789183,7949.31,4.989224,0.12380715,4.6454602e-12,350.358,0.033626485615968704,148.3718522964666
3eRASS J234403.0-352639,sb03_355126_020_ML00001_001_c030,356.01277416305146,-35.44421798096663,0.5458404085020453,5187.299,4.243733,0.13942133,3.9513345e-12,231.67688,0.04354822635650635,97.4490417701179
3eRASS J173758.6-374616,sm03_263129_020_ML00003_001_c030,264.494296456611,-37.77121433452904,0.5307345175745478,5830.9946,3.781501,0.10876179,3.520951e-12,346.61838,0.033626485615968704,112.45602939154655
3eRASS J192832.3-500134,sm03_293141_020_ML00002_001_c030,292.1348322130564,-50.026282542215526,0.5447959447576052,4649.0283,3.7502074,0.12412456,3.4918134e-12,262.63037,0.0389280766248703,96.3368280509367
3eRASS J045649.7-203747,sm03_075111_020_ML00007_001_c030,74.20716087081234,-20.629847419221143,0.5731682324705463,3825.0557,1.6437861,0.058646422,1.5305271e-12,512.5606,0.028534311801195145,57.607349502018444
3eRASS J155100.8-453347,sm03_238135_020_ML00002_001_c030,237.75364824786323,-45.56326785295143,0.6084115765544399,2313.395,1.384875,0.058015972,1.2894554e-12,444.91003,0.028534311801195145,48.53367653569283
3eRASS J074910.4-054926,sm03_119096_020_ML00003_001_c030,117.29345999283314,-5.824103397274831,0.7681780778794584,1255.7883,1.1929504,0.07185494,1.1107546e-12,250.09424,0.0389280766248703,30.644986122057755
3eRASS J115415.8-501801,sm03_178141_020_ML00005_001_c030,178.5658899777514,-50.300384336924886,0.6386351898281543,2441.5723,1.0825548,0.04536903,1.0079654e-12,567.8688,0.02361605130136013,45.839789361287465
3eRASS J155747.9-542453,sm03_239144_020_ML00004_001_c030,239.44992714586039,-54.414756085931685,0.7322892613845922,1316.6312,0.89813244,0.047623787,8.3624996e-13,451.8815,0.028534311801195145,31.475524963963622
3eRASS J090023.0+214951,sm03_135069_020_ML00005_001_c030,135.09601941843613,21.83100993527568,0.8689868527623272,781.67194,0.89231473,0.06458075,8.308331e-13,229.30974,0.04354822635650635,20.490265775001436
3eRASS J092909.3-024504,sm03_143093_020_ML00002_001_c030,142.2889693372582,-2.75113505368429,0.9913206211849768,465.44778,0.8847133,0.06961914,8.237554e-13,212.75046,0.04354822635650635,20.315713546613964
3eRASS J132435.1-194509,sm03_202111_020_ML00004_001_c030,201.14651448554773,-19.7525502624014,0.8418278006338068,1263.6088,0.8676963,0.047533564,8.079109e-13,421.26132,0.028534311801195145,30.408873754980828
3eRASS J083821.2+241036,sm03_128066_020_ML00005_001_c030,129.58850789113032,24.176896421921214,1.0575561358880698,669.0518,0.846459,0.0668573,7.8813686e-13,204.20152,0.04354822635650635,19.4372777566389
3eRASS J155517.1-232216,sm03_238114_020_ML00013_001_c030,238.82134498852162,-23.371199848158057,0.871496042287436,917.7872,0.8402362,0.049586795,7.8234283e-13,381.42517,0.033626485615968704,24.987332800017192
3eRASS J205101.0-743003,sm03_312165_020_ML00004_001_c030,312.7545122549176,-74.50101300966952,0.7788231291387301,1228.2601,0.8325169,0.04761653,7.7515544e-13,400.5648,0.033626485615968704,24.757773326460267
3eRASS J024510.8-434441,sm03_039135_020_ML00006_001_c030,41.295240375487516,-43.74489566384688,0.7331725027494148,917.92474,0.7775874,0.042049613,7.2401064e-13,566.3001,0.02361605130136013,32.92622478945317
3eRASS J064957.1+281418,sm03_102063_020_ML00005_001_c030,102.48830498786603,28.23843443921123,1.000722405505806,377.08575,0.76943237,0.06404994,7.164175e-13,236.94565,0.04354822635650635,17.66851213630105
3eRASS J072919.2+081501,sm03_113081_020_ML00005_001_c030,112.33029138646238,8.250321788063694,1.3608998623550048,614.17444,0.7624628,0.05967559,7.0992816e-13,230.98677,0.04354822635650635,17.50846954222316
3eRASS J091529.5-690509,sm03_137159_020_ML00003_001_c030,138.87303358329106,-69.08584112546575,0.5684571212679026,2684.7285,0.72284776,0.024898255,6.730426e-13,1319.4126,0.014071837067604065,51.368400319798376
3eRASS J040515.2-745159,sm03_058165_020_ML00003_001_c030,61.31370321268538,-74.86657976007223,0.6095831851059629,2693.6643,0.72084665,0.027414292,6.711794e-13,1046.0582,0.016667790710926056,43.247882427038775
3eRASS J140703.0-360236,sm03_213126_020_ML00004_001_c030,211.76251543845615,-36.043336369295375,0.7539802666886753,1040.1525,0.71806854,0.041242085,6.685927e-13,463.51907,0.028534311801195145,25.165090544297165
3eRASS J064052.9+095257,sm03_101081_020_ML00009_001_c030,100.22074122166362,9.882655767874923,1.0207556057893967,373.49197,0.6141301,0.05362397,5.718157e-13,248.60974,0.0389280766248703,15.776019084228066
3eRASS J073449.2+281810,sm03_115063_020_ML00007_001_c030,113.70503726585233,28.3028946884437,1.0441814961520077,489.32678,0.5984946,0.053406324,5.5725753e-13,228.16406,0.04354822635650635,13.743259815662904
3eRASS J165841.0-401101,sm03_256129_020_ML00009_001_c030,254.67097276362568,-40.18363947275791,0.8901492657354231,714.0038,0.59428376,0.042315293,5.5333684e-13,367.06476,0.033626485615968704,17.67308562604435
3eRASS J115723.3-130556,sm03_178102_020_ML00006_001_c030,179.34734472643663,-13.09898337815863,0.9605699750975548,643.7995,0.56934637,0.04488886,5.3011767e-13,306.69092,0.0389280766248703,14.625597195549412
3eRASS J175146.2-434638,sm03_267135_020_ML00010_001_c030,267.942871210644,-43.77738259604229,1.044246215724383,426.92767,0.54870844,0.0450496,5.109017e-13,308.49228,0.0389280766248703,14.095441810827436
3eRASS J090322.8+394915,sm03_135051_020_ML00014_001_c030,135.84538525468486,39.820895458767176,1.2693164097806842,405.2224,0.5194821,0.049442243,4.836891e-13,230.90773,0.04354822635650635,11.928891705378186
3eRASS J100130.8-614020,sm03_148153_020_ML00017_001_c030,150.37873700237301,-61.6722951962918,0.7865982219182271,1257.8158,0.5143315,0.027406555,4.788934e-13,762.10095,0.019889799878001213,25.859059556079153
3eRASS J164649.2-692537,sm03_254159_020_ML00007_001_c030,251.70518731065988,-69.4271180703879,0.8206541032771719,799.4731,0.5051542,0.03338705,4.703484e-13,499.93924,0.028534311801195145,17.7033949852088
3eRASS J003221.3-421226,sm03_010132_020_ML00007_001_c030,8.089160445109815,-42.20749503769494,1.184668335709486,415.87244,0.5033257,0.046578884,4.686459e-13,256.55157,0.0389280766248703,12.929631885237399
3eRASS J114538.6+322716,sb03_175057_020_ML00011_001_c030,176.4110029805624,32.45468214011434,1.0890116034759032,434.20392,0.50214636,0.04631416,4.675478e-13,255.74026,0.0389280766248703,12.899336591871366
3eRASS J155606.9-400036,sm03_241129_020_ML00030_001_c030,239.02887543093564,-40.010178421156276,0.8946287254348617,635.5749,0.50074875,0.03655812,4.662465e-13,420.07895,0.028534311801195145,17.549004056467023
3eRASS J081704.4-031943,sm03_125093_020_ML00013_001_c030,124.26868463694107,-3.3287458201937272,1.1326665156693638,397.03375,0.48244482,0.04840534,4.4920377e-13,222.66333,0.04354822635650635,11.078403488553526
3eRASS J131312.0-431448,sm03_200132_020_ML00011_001_c030,198.30015081989959,-43.24668435638472,0.8801884594608627,661.2968,0.47002536,0.032399174,4.3764002e-13,509.54672,0.028534311801195145,16.472286553081414
3eRASS J053412.3-045025,sm03_083096_020_ML00088_001_c030,83.55150105820165,-4.840471686428348,1.0923869482195587,470.80276,0.46693844,0.037878036,4.3476578e-13,366.02374,0.033626485615968704,13.886031426656125
3eRASS J053101.4+231304,sb03_083066_020_ML00004_001_c030,82.75611106187188,23.217868356558494,1.2795410156492832,191.24393,0.4640642,0.045143183,4.3208959e-13,334.3363,0.033626485615968704,13.800556381453317
3eRASS J105151.8+010308,sm03_164090_020_ML00007_001_c030,162.9661538577257,1.0522706787520153,1.2123933035924845,310.62302,0.4637722,0.050388474,4.3181772e-13,200.37599,0.04354822635650635,10.649623332575983
3eRASS J061853.8+214548,sm03_094069_020_ML00076_001_c030,94.72434311167697,21.763333815566764,1.4944495082009521,257.85474,0.4502349,0.04686973,4.1921314e-13,238.56609,0.04354822635650635,10.338765264474732
3eRASS J053541.9-051011,sm03_083096_020_ML00029_001_c030,83.92486183481991,-5.169858997316413,0.950111133006238,444.0398,0.44633585,0.03828788,4.1558274e-13,373.41528,0.033626485615968704,13.273342247046793
