IAUNAME,DETUID,RA,DEC,POS_ERR,sep_arcsec,match_type,direction,DET_LIKE_0,DET_LIKE_0_D1,ML_RATE_1,ML_RATE_ERR_1,ML_RATE_1_D1,ML_RATE_ERR_1_D1,ML_FLUX_1,ML_FLUX_1_D1,ML_EXP_1,ML_EXP_1_D1,R_raw,R,fader_floor,rate23,rate23_err,epoch_ratio,amp_cons,epoch_amp_cons,z_var,rank_amp,containment_violated,subfloor,IAUNAME_D1,MJD_MIN_D1,MJD_MAX_D1,FLAG_SP_SCL
3eRASS J161242.8-522522,sm03_242141_020_ML00003_001_c030,243.1785060564443,-52.42291376756108,0.4198485390955943,6.284276772249557,strong,rise,65650.01,14.219789,27.68111,0.27221382,0.06556227,0.02369063,2.5773847e-11,6.1044946e-14,401.47327,144.23508,422.2109779980247,431.1017388730561,0.366829718100423,44.07505586697857,0.4339954008926202,672.2624990853507,304.80491744902605,475.29918947632433,101.08644093439561,475.29918947632433,False,False,1eRASS J161243.0-522528,58920.18,58921.348,0
3eRASS J054334.0-682222,sm03_082159_020_ML00007_001_c030,85.89198886584605,-68.37291519418177,0.4233410189552503,3.0820156355062323,strong,rise,44766.14,39.12287,2.087527,0.020414088,0.026989883,0.0049144696,1.9436937e-12,2.5130246e-14,5392.3706,1819.7882,77.34479809397916,78.97349592661668,0.3445810318819876,3.203465189844676,0.03156081045931294,118.69133379237127,65.76709781305672,98.83435270758774,98.26983761931812,98.83435270758774,False,False,1eRASS J054333.6-682220,58958.375,58976.375,0
3eRASS J162636.4-515631,sm03_247141_020_ML00011_001_c030,246.6519045727625,-51.9421202647553,0.5906051920775467,0.9182847305282205,strong,rise,6247.8247,6.3000855,3.753051,0.099657305,0.047430634,0.022522494,3.494461e-12,4.4162604e-14,406.98795,138.74095,79.12715236115685,80.79338234338272,0.3480754360306424,5.789553637162907,0.1548241984840292,122.06359240954832,51.27237407312594,77.44439659883027,36.31454336049792,77.44439659883027,False,False,1eRASS J162636.4-515632,58922.848,58924.016,0
3eRASS J094452.8-711152,sm03_149162_020_ML00003_001_c030,146.22033015318507,-71.19802286286726,0.4804430269388935,1.6685094366732283,strong,rise,9401.145,25.298714,1.7079958,0.037942506,0.03674479,0.010041284,1.5903127e-12,3.4213026e-14,1277.03,486.05045,46.48266739013448,47.46148201631703,0.3886247799027163,2.793033103888582,0.06285141934073053,76.01168040256147,35.867945838150156,57.41398863909724,42.65737640412971,57.41398863909724,False,False,1eRASS J094453.1-711153,58872.47,58876.97,0
3eRASS J090506.7-533020,sm03_136144_020_ML00002_001_c030,136.27832006628677,-53.505647307592405,0.4830869482566243,4.5235106412241946,strong,rise,8786.441,15.460682,3.1682096,0.076026216,0.056907505,0.020687968,2.949916e-12,5.2986505e-14,589.7762,166.37207,55.67296552655959,56.845306013885384,0.28803379270604335,4.483691964310596,0.10843503584110914,78.78911543049058,39.63333060514377,54.906566956768586,39.55877911590221,54.906566956768586,False,False,1eRASS J090507.2-533017,59001.555,59003.387,0
3eRASS J150616.3-750200,sm03_228165_020_ML00002_001_c030,226.56807462222548,-75.03360801480872,0.5034504804400383,7.162952891248116,strong,rise,6832.872,21.605114,2.4647717,0.06790519,0.06835865,0.02046799,2.294946e-12,6.364865e-14,569.3289,211.31953,36.05647075954586,36.81573443629986,0.37898904311760184,3.9618228589094198,0.1109209484161782,57.95642140352118,27.03405769972417,42.52902960719343,33.866502746744125,42.52902960719343,False,False,1eRASS J150616.7-750207,58920.86,58922.86,0
3eRASS J123915.4-324332,sm03_189123_020_ML00001_001_c030,189.8142427788829,-32.725704888668616,0.4826803572297472,1.1185068734294645,strong,rise,8882.681,29.765837,3.9234192,0.09516444,0.114704944,0.030400526,3.653091e-12,1.06801625e-13,460.4002,153.4048,34.20444746063395,34.92471192338436,0.3402151840358905,5.950525628796525,0.14651282604535254,51.87680156807767,26.53118630179804,39.38998283546303,38.220388788244556,39.38998283546303,False,False,1eRASS J123915.3-324333,58851.95,58853.28,0
3eRASS J071521.8-191603,sm03_108108_020_ML00006_001_c030,108.84116983684136,-19.267748310491587,0.9218472666050108,1.05340729124777,strong,fade,985.52374,1421.0067,0.7970508,0.053609084,2.7668285,0.17193869,7.4213297e-13,2.5761906e-12,302.1435,100.230255,0.2880737868076643,0.29413993687561374,0.33871610180287415,-0.15563639785875838,0.11829629806450494,-0.056250828621359016,2.9930621121065446,32.12830160115502,10.823414252514082,32.12830160115502,False,True,1eRASS J071521.9-191604,58958.062,58958.9,0
3eRASS J014554.9-674648,sm03_027159_020_ML00002_001_c030,26.47891788138732,-67.78012775307835,0.5124782090967612,5.7869849492355065,strong,rise,5164.3037,35.299625,2.1040187,0.06502014,0.09397089,0.02280312,1.959049e-12,8.749617e-14,530.3251,212.88634,22.390111951111585,22.861594555060947,0.4098792026294062,3.5260508916232918,0.1119617796130568,37.52280084367117,17.56933129974862,28.806072712957906,29.265831322640214,28.806072712957906,False,False,1eRASS J014554.7-674642,58982.53,58984.53,0
3eRASS J142111.9-624156,sm03_218153_020_ML00010_001_c030,215.29989673640551,-62.69892351486364,0.4621631313393212,3.2300541427789815,strong,rise,12097.489,68.66336,4.6969695,0.09894716,0.20539789,0.040412128,4.3733424e-12,1.9124571e-13,519.95795,147.65074,22.86766203673979,23.349200711796783,0.28994636317963246,6.61638273946367,0.14200513271248635,32.212515771678405,18.905790885509457,26.068347422816835,42.18670895119941,26.068347422816835,False,False,1eRASS J142112.1-624159,58905.188,58906.355,0
3eRASS J092023.3+021339,sm03_140087_020_ML00003_001_c030,140.09739656658027,2.2275482690723445,0.6535312729398902,8.882522019467432,strong,rise,2161.1067,17.583473,2.07973,0.10163294,0.11936643,0.0421729,1.9364339e-12,1.1114193e-13,217.19814,85.2263,17.42307312279794,17.78996168068785,0.4006524575704538,3.4177925075975923,0.17294675504955212,28.632778201258052,12.209567032005273,19.599652584251846,17.891836307206994,19.599652584251846,False,False,1eRASS J092023.2+021347,58978.742,58979.41,0
