IAUNAME,UID,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,MJD_MIN,MJD_MAX
1eRASS J011706.7-732648,102316200220,19.27808880357431,-73.44681616595088,5.4022775,1115.0339,11.1238365,9.491542,1.035739e-11,188.4971,58970.363,58972.2
1eRASS J114724.4-495303,117814100004,176.85173264720294,-49.88421019660567,1.0617273,1060.8835,2.2895696,0.118819505,2.1318153e-12,200.1465,58851.957,58853.793
1eRASS J050558.2-680146,107415900004,76.4926966917543,-68.0296573463546,3.0407014,553.63104,2.5211382,0.40723643,2.3474285e-12,868.8799,58986.707,58994.87
1eRASS J053323.7-645745,108715600187,83.34884672385304,-64.9627696285099,1.3334049,308.02405,0.07186741,0.006017249,6.691565e-14,2694.6624,58849.48,58875.65
1eRASS J073144.0-470001,111513800005,112.93349727990257,-47.0003095888563,1.9542542,287.9319,0.47143817,0.050265502,4.3895549e-13,211.92293,58971.22,58973.05
1eRASS J064100.4+095401,110108100003,100.25169794521331,9.900426555886934,1.3839939,245.2619,1.9554683,0.18751627,1.820734e-12,77.20336,58948.58,58949.08
1eRASS J050338.2-304513,107712000011,75.90941019162457,-30.753621905055436,1.8337834,242.36865,0.42082566,0.04783008,3.9183023e-13,209.21237,58918.227,58920.06
1eRASS J054656.6-653401,108715600262,86.73583612572537,-65.56713447578834,1.3367518,239.52129,0.033919275,0.0030363554,3.1582193e-14,5469.2363,58851.15,58905.543
1eRASS J052524.1-655818,108015600010,81.3506538768491,-65.97171292220668,5.5298214,233.24046,0.521539,0.06394606,4.856043e-13,2336.4348,58828.98,59011.375
1eRASS J051621.3-631123,107915300010,79.08902574031303,-63.189898416388566,2.3275273,231.29706,0.13246064,0.0112507595,1.2333393e-13,1534.094,58858.65,58873.48
1eRASS J131400.5-190157,119910800005,198.5024325620027,-19.032642485270074,1.6165628,223.26451,0.5732371,0.067549154,5.3374037e-13,143.88277,58854.11,58855.44
1eRASS J034852.6-552534,105714400039,57.21947855994609,-55.42628552002499,1.6681646,208.69023,0.20747821,0.02483711,1.931827e-13,382.34268,58847.656,58851.49
1eRASS J071212.4-363045,110712600010,108.05192601720184,-36.51259655859472,1.5942488,178.97928,0.5861054,0.06934584,5.45722e-13,144.52849,58960.89,58962.223
1eRASS J063020.5-674651,109815900241,97.58583120761054,-67.78087760725649,1.5792296,177.40121,0.047189184,0.0049519497,4.3937788e-14,2549.7817,58842.977,58867.145
1eRASS J055329.9-663938,108715600474,88.37488674157659,-66.66065262669059,1.3412747,166.10893,0.014822992,0.0013436129,1.3801668e-14,13298.429,58828.98,59011.375
1eRASS J051910.4-253443,107811700006,79.79373375742396,-25.57881066390798,1.7869762,156.93962,0.39334223,0.050976716,3.6624046e-13,178.61523,58925.727,58927.227
1eRASS J013328.1-643410,102415600005,23.36711038359957,-64.56960346128153,2.2713697,132.76234,0.39604813,0.05044145,3.687599e-13,194.2591,58986.695,58988.363
1eRASS J081658.8-534158,112614400016,124.24528193989879,-53.69948246139895,2.484765,131.02614,0.244657,0.036274195,2.2779982e-13,210.76514,58991.883,58993.72
1eRASS J053410.9-045032,108309600099,83.5457422058537,-4.8423996418036275,2.0120263,129.44783,0.39887205,0.060941014,3.7138925e-13,120.423874,58932.74,58933.74
1eRASS J052605.0-621225,107915300040,81.52096474855139,-62.2070758315065,1.507602,121.028564,0.09344879,0.009603779,8.701005e-14,1648.3579,58880.88,58900.71
1eRASS J053427.4-623926,108515300073,83.61435899449728,-62.657296859095034,2.351799,115.795044,0.07005976,0.008080145,6.5232555e-14,1697.7032,58888.71,58907.543
1eRASS J051754.0-583537,107715000019,79.47526098274481,-58.59370607100254,1.9336582,113.07298,0.11604563,0.014660778,1.0804994e-13,805.12964,58897.88,58905.71
1eRASS J064759.4-441943,110113500014,101.99780213470864,-44.3288636268597,2.049129,112.78058,0.2616612,0.04101489,2.436324e-13,185.5249,58956.72,58958.22
1eRASS J045545.0-683951,107415900021,73.93758957836019,-68.66442152863584,2.7859385,106.77171,0.13260984,0.015943438,1.2347286e-13,765.7991,58984.04,58991.207
1eRASS J024930.1-274958,104211700019,42.37552600280996,-27.833048504121045,2.0776756,106.33517,0.23231986,0.037073668,2.1631273e-13,198.56302,58860.5,58862.168
1eRASS J121547.0-173140,118310800002,183.94590166114273,-17.527785127200293,1.9143797,104.690445,0.44072825,0.06879561,4.103615e-13,109.47435,58837.61,58838.61
1eRASS J060753.0-670524,109315600162,91.9712452479053,-67.0901251026576,1.7862,103.954056,0.015909668,0.0017957146,1.4813471e-14,8795.707,58828.98,58908.375
1eRASS J110450.9-762524,116416500028,166.2123558337007,-76.42360511880531,1.7434614,102.393,0.26616353,0.03757323,2.4782452e-13,259.52805,58901.363,58904.7
1eRASS J054351.5-654739,108715600620,85.96459539873919,-65.79440540654224,1.7027339,99.43866,0.022468798,0.0027494137,2.0920669e-14,4661.558,58838.15,58883.375
1eRASS J011222.6-281630,101811700010,18.09437737770509,-28.275033687801162,1.9371903,98.525955,0.40020803,0.06349855,3.7263319e-13,129.60194,58831.004,58832.17
1eRASS J043215.0-692624,106715900006,68.06272088061927,-69.44023872724033,2.0576136,95.370255,0.13360265,0.017962543,1.2439725e-13,570.89343,58982.87,58988.203
1eRASS J085701.0-760307,113216500009,134.25452651938895,-76.05221562654444,1.706219,94.92977,0.111138344,0.016741754,1.0348077e-13,537.57404,58897.867,58903.035
1eRASS J070652.7-622111,110415300039,106.71997728782866,-62.353315932893665,1.8252898,90.8753,0.090461805,0.0144783715,8.422887e-14,551.1616,58989.38,58994.547
