source_id,period_d,ecc,amrf_eb26,m1_phot_eb26,m2_phot_eb26,significance,g_mag,ebv,many_epoch_followup,spectroscopy,notes,verdict
3640889032890567040,1076.223,0.953,4.711,1.162,123.762,7.7,9.19,0.0,False,,BH candidate ruled out by Simon2026,SPURIOUS
4373465352415301632,185.766,0.489,2.186,1.062,12.98,13.6,13.77,0.335,True,"LAMOST, MagE, TRES, FEROS",Gaia BH1,CONFIRMED
6281177228434199296,153.947,0.18,2.071,1.149,12.218,24.3,11.26,0.095,False,"RAVE, FEROS, MagE",BH candidate ruled out by Simon2026,SPURIOUS
5870569352746779008,1352.289,0.532,1.43,2.3,10.119,39.8,12.28,0.158,True,FEROS,Gaia BH2,CONFIRMED
3664684869697065984,1220.455,0.456,0.854,5.198,8.455,6.1,11.56,0.0,False,,BH candidate ruled out by ElBadry2023BH1,SPURIOUS
2278534305772981504,788.822,0.801,1.128,1.453,3.92,5.9,14.59,0.33,True,"ESI, PEPSI, TRES",RVs inconsistent with orbital solution,SPURIOUS
3509370326763016704,109.392,0.237,1.545,0.713,3.733,76.1,12.47,0.0,False,"FEROS, MagE",BH candidate ruled out by Simon2026,SPURIOUS
1925560664891372544,1022.904,0.879,0.711,2.561,3.086,6.2,13.01,0.09,True,"ESI, PEPSI, TRES",RVs inconsistent with orbital solution,SPURIOUS
3263804373319076480,510.728,0.278,1.09,1.16,2.925,18.1,12.67,0.08,False,"LAMOST, APOGEE, TRES",BH candidate ruled out by Simon2026,SPURIOUS
6802634430521968000,584.305,0.871,1.006,1.33,2.889,20.2,13.35,0.085,False,"MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
2010172929375186304,736.167,0.814,0.882,1.558,2.674,6.9,13.76,0.28,False,"ESI, PEPSI",RVs inconsistent with orbital solution,SPURIOUS
6328149636482597888,736.018,0.135,0.958,1.336,2.656,89.9,13.34,0.09,True,"MagE, FEROS, TRES",Gaia NS1,CONFIRMED
5593444799901901696,1038.79,0.442,0.914,1.447,2.645,6.5,14.42,0.04,False,FEROS,RVs inconsistent with orbital solution,SPURIOUS
6588211521163024640,943.333,0.974,0.995,1.156,2.459,10.4,14.19,0.016,False,"MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
6001459821083925120,563.833,0.474,0.825,1.522,2.336,19.7,13.6,0.13,True,"MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
5644387063402978304,879.926,0.604,0.748,1.779,2.322,6.9,13.96,0.005,False,FEROS,No RV follow-up,UNKNOWN
1007185297091149824,1120.136,0.655,0.859,1.405,2.306,9.8,14.62,0.11,True,"ESI, PEPSI, DEIMOS, TRES",Good solution,CONFIRMED
1749013354127453696,932.08,0.508,0.816,1.457,2.194,7.9,14.49,0.092,True,"MagE, FEROS, PEPSI, TRES",RVs inconsistent with orbital solution,SPURIOUS
5954343888087990656,702.452,0.769,0.769,1.589,2.17,7.1,12.87,0.085,False,"MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
4590978336125467776,682.323,0.716,0.775,1.566,2.167,6.6,14.28,0.085,True,"ESI, PEPSI, TRES",RVs inconsistent with orbital solution,SPURIOUS
6152333294796189568,1093.379,0.555,0.793,1.467,2.106,5.7,14.69,0.051,False,1 MagE,RVs inconsistent with orbital solution,SPURIOUS
4384513795007410048,745.201,0.671,0.795,1.433,2.063,16.7,13.5,0.105,True,"MagE, FEROS, PEPSI, TRES",RVs inconsistent with orbital solution,SPURIOUS
5580526947012630912,654.326,0.761,0.79,1.374,1.961,12.9,13.36,0.069,True,FEROS,Good solution,CONFIRMED
6054379247042197504,807.552,0.793,0.846,1.221,1.955,7.4,14.87,0.201,True,"MagE, FEROS",Good solution,CONFIRMED
6687541573416724608,1125.071,0.781,0.868,1.128,1.886,20.1,12.07,0.029,False,"MagE, FEROS",RV follow-up incomplete,UNKNOWN
4099356347737522432,718.34,0.75,0.755,1.411,1.868,9.4,13.81,0.33,False,,No RV follow-up,UNKNOWN
3869650535947137920,570.036,0.183,0.827,1.187,1.829,34.0,12.94,0.005,True,"LAMOST, TRES",RVs inconsistent with orbital solution,SPURIOUS
3649963989549165440,892.531,0.357,0.924,0.972,1.81,40.2,14.3,0.05,False,"MagE, ESI, FEROS",NS candidate with an sdB primary,OTHER
6593763230249162112,679.888,0.613,0.823,1.18,1.799,23.3,13.54,0.01,False,"MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
1058875159778407808,835.682,0.417,0.848,1.117,1.794,33.0,14.52,0.005,True,TRES,Good solution,CONFIRMED
1350295047363872512,657.242,0.656,0.757,1.314,1.747,34.1,13.52,0.055,True,"PEPSI, TRES",Good solution,CONFIRMED
1732878914341314944,648.097,0.549,0.738,1.352,1.727,6.8,13.94,0.16,True,"MagE, FEROS, PEPSI, TRES",Good solution,CONFIRMED
809741149368202752,922.389,0.351,0.964,0.849,1.706,13.5,14.91,0.005,True,"LAMOST, TRES",Good solution,CONFIRMED
6092954989675820416,883.079,0.138,0.732,1.333,1.682,14.1,13.67,0.109,False,"MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
3662912491312811008,237.156,0.938,0.854,1.013,1.647,7.9,12.61,0.005,False,"APOGEE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
5839182174066052224,331.777,0.897,0.834,1.05,1.638,11.0,12.99,0.13,False,"GALAH, MagE",RVs inconsistent with orbital solution,SPURIOUS
1695294922548180224,601.178,0.571,0.737,1.277,1.627,79.9,13.12,0.01,True,"ESI, PEPSI, TRES",Good solution,CONFIRMED
2080945469200565248,196.64,0.045,0.664,1.486,1.608,54.3,13.29,0.341,True,TRES,Good solution,CONFIRMED
2426116249713980416,711.703,0.398,0.768,1.169,1.593,24.8,13.02,0.005,True,"MagE, FEROS, PEPSI, TRES",Good solution,CONFIRMED
1028887114002082432,994.417,0.657,0.802,1.062,1.551,24.5,13.59,0.065,True,"LAMOST, PEPSI, TRES",Good solution,CONFIRMED
6791860144283753984,935.83,0.704,0.745,1.191,1.544,12.0,12.8,0.042,False,"GALAH, MagE, FEROS",RVs inconsistent with orbital solution,SPURIOUS
5136025521527939072,536.9,0.651,0.728,1.223,1.528,60.3,12.05,0.03,True,"FEROS, TRES",Good solution,CONFIRMED
2397135910639986304,916.016,0.564,0.842,0.96,1.522,43.8,13.35,0.0,True,"MagE, TRES, FEROS",Good solution,CONFIRMED
1144019690966028928,1401.86,0.381,0.861,0.923,1.522,23.6,13.57,0.028,True,"PEPSI, TRES",Good solution,CONFIRMED
4524807699152454144,947.201,0.483,0.718,1.244,1.52,15.9,14.8,0.147,True,"MagE, FEROS, TRES",Solution OK; some residual scatter,CONFIRMED
5530442371304582912,498.831,0.285,0.773,1.102,1.518,29.0,14.6,0.115,True,FEROS,Good solution,CONFIRMED
4637171465304969216,639.151,0.375,0.767,1.116,1.516,55.0,14.01,0.041,True,FEROS,Good solution,CONFIRMED
1871419337958702720,479.313,0.432,0.771,1.093,1.499,72.1,13.7,0.088,True,"LAMOST, ESI, TRES",Good solution,CONFIRMED
1854241667792418304,1430.334,0.59,1.065,0.62,1.499,55.5,14.87,0.0,True,"ESI, PEPSI, TRES",Good solution,CONFIRMED
3494029910469026432,632.53,0.552,0.686,1.293,1.472,77.6,12.66,0.065,True,TRES,Good solution,CONFIRMED
5820382041374661888,311.14,0.414,0.783,1.04,1.46,39.2,14.19,0.07,True,FEROS,Good solution,CONFIRMED
4922744974687373440,562.381,0.813,0.919,0.788,1.455,15.4,14.48,0.01,True,"MagE, FEROS",Good solution,CONFIRMED
465093354131112960,1046.37,0.763,0.756,1.085,1.44,24.2,13.09,0.26,True,"ESI, PEPSI, TRES",Good solution,CONFIRMED
1748901959855337472,991.847,0.398,0.717,1.156,1.41,6.1,12.55,0.1,True,TRES,EB with P_ orb=1.02 d,NOT_CO
747174436620510976,999.436,0.707,0.885,0.808,1.397,48.7,13.99,0.03,True,"LAMOST, TRES",RVs marginally consistent with astrometric orbit,MARGINAL
5446310318525312768,866.558,0.247,0.69,1.208,1.387,47.0,10.37,0.019,False,,No RV follow-up,UNKNOWN
1581117310088807552,927.314,0.52,1.0,0.644,1.383,175.6,14.51,0.0,True,"LAMOST, TRES",Good solution,CONFIRMED
6037767138131854592,804.701,0.768,0.792,0.965,1.383,29.6,14.28,0.165,False,,No RV follow-up,UNKNOWN
1434445448240677376,572.423,0.301,0.717,1.114,1.361,82.5,13.65,0.055,True,TRES,Good solution,CONFIRMED
1801110822095134848,893.583,0.588,0.82,0.892,1.354,92.2,12.19,0.016,True,TRES,Good solution,CONFIRMED
4240540718818313984,691.168,0.618,0.854,0.834,1.354,85.2,14.61,0.175,True,TRES,Good solution,CONFIRMED
1694708646628402048,632.034,0.259,0.73,1.073,1.348,114.9,13.2,0.02,True,TRES,Good solution,CONFIRMED
1522897482203494784,45.517,0.046,0.9,0.752,1.339,156.6,11.05,0.0,True,TRES,Good solution,CONFIRMED
6481502062263141504,229.684,0.304,0.746,1.002,1.301,48.5,13.58,0.02,True,FEROS,Good solution,CONFIRMED
