inflate,sig_min,gof,n_class3_dr3,conf_kept,conf_total,spur_kept,spur_total,completeness,fp_passrate
1.0,0.0,none,5061,41,42,21,23,0.976,0.913
1.0,0.0,flat10,4853,41,42,20,23,0.976,0.87
1.0,0.0,magsplit,4456,41,42,14,23,0.976,0.609
1.0,5.0,none,5061,41,42,21,23,0.976,0.913
1.0,5.0,flat10,4853,41,42,20,23,0.976,0.87
1.0,5.0,magsplit,4456,41,42,14,23,0.976,0.609
1.0,10.0,none,4260,39,42,12,23,0.929,0.522
1.0,10.0,flat10,4090,39,42,12,23,0.929,0.522
1.0,10.0,magsplit,3758,39,42,7,23,0.929,0.304
1.0,20.0,none,3229,34,42,5,23,0.81,0.217
1.0,20.0,flat10,3110,34,42,5,23,0.81,0.217
1.0,20.0,magsplit,2863,34,42,3,23,0.81,0.13
1.15,0.0,none,1355,41,42,21,23,0.976,0.913
1.15,0.0,flat10,1294,41,42,20,23,0.976,0.87
1.15,0.0,magsplit,1190,41,42,14,23,0.976,0.609
1.15,5.0,none,1355,41,42,21,23,0.976,0.913
1.15,5.0,flat10,1294,41,42,20,23,0.976,0.87
1.15,5.0,magsplit,1190,41,42,14,23,0.976,0.609
1.15,10.0,none,1078,39,42,12,23,0.929,0.522
1.15,10.0,flat10,1033,39,42,12,23,0.929,0.522
1.15,10.0,magsplit,951,39,42,7,23,0.929,0.304
1.15,20.0,none,785,34,42,5,23,0.81,0.217
1.15,20.0,flat10,760,34,42,5,23,0.81,0.217
1.15,20.0,magsplit,711,34,42,3,23,0.81,0.13
1.25,0.0,none,783,32,42,21,23,0.762,0.913
1.25,0.0,flat10,758,32,42,20,23,0.762,0.87
1.25,0.0,magsplit,703,32,42,14,23,0.762,0.609
1.25,5.0,none,783,32,42,21,23,0.762,0.913
1.25,5.0,flat10,758,32,42,20,23,0.762,0.87
1.25,5.0,magsplit,703,32,42,14,23,0.762,0.609
1.25,10.0,none,642,30,42,12,23,0.714,0.522
1.25,10.0,flat10,626,30,42,12,23,0.714,0.522
1.25,10.0,magsplit,582,30,42,7,23,0.714,0.304
1.25,20.0,none,486,25,42,5,23,0.595,0.217
1.25,20.0,flat10,479,25,42,5,23,0.595,0.217
1.25,20.0,magsplit,452,25,42,3,23,0.595,0.13
