rank,source_id,nss_solution_type,p_class3_corr,period,significance,sigma_ti2,phot_g_mean_mag,flag_alias_1yr,flag_low_lat,m2_min,queue_bin,flag_hi_sigma_ti2,flag_xray_active,xray_tested,flag_dust_unresolved_south,eb26_verdict
1,4373465352415301632,Orbital,1.0,185.7656578920495,13.56551,1.4791197140084686,13.771998,False,False,12.806249222178696,v2_main,False,False,True,False,CONFIRMED
2,5870569352746779008,AstroSpectroSB1,1.0,1352.2889370485916,39.845856,0.0059424819374723,12.276908,False,True,9.755287174566906,v2_main,False,False,True,False,CONFIRMED
3,3509370326763016704,Orbital,1.0,109.3921278129309,76.104866,0.0226561610011465,12.469695,False,False,3.686027488789793,v2_main,False,False,True,False,SPURIOUS
4,5296919570584886016,AstroSpectroSB1,1.0,1212.6671609090763,7.081334,0.5208175031200724,11.48544,False,False,3.563878383012375,retrieval_pr999,False,False,False,False,
5,5542831389148064640,Orbital,1.0,772.0245130025933,8.961256,0.232477141498408,13.265005,False,True,3.0498571633456457,retrieval_pr999,False,False,False,False,
6,2020124643487024640,Orbital,1.0,1081.3720674869976,5.8510633,1.5887318628689946,14.378794,False,True,2.9078576163985157,retrieval_pr999,False,False,False,False,
7,5238699738399933952,Orbital,1.0,1009.2121214582212,15.58286,0.6513879110091965,13.400347,False,True,2.8327669067679824,v2_main,False,False,True,False,
8,3263804373319076480,AstroSpectroSB1,1.0,510.728110443052,18.064516,4.347451050054433,12.66688,False,False,2.751306954562763,v2_main,False,False,True,False,SPURIOUS
9,3315062231016941056,AstroSpectroSB1,1.0,536.3306838111716,66.57128,3.82970783847689,10.568647,False,False,2.7303521018619725,v2_main,False,False,True,False,
10,5616598899870232704,AstroSpectroSB1,1.0,544.894253327131,80.716675,0.0643750257213809,9.655263,False,True,2.7126572893156364,v2_main,False,True,True,False,
11,2192105682452865536,Orbital,1.0,985.53134316545,30.765553,0.1861795406167657,13.45527,False,True,2.6369558745287875,v2_main,False,False,True,False,
12,2055530017407206912,Orbital,1.0,1344.600046574665,9.6993685,0.3859837249579398,11.70382,False,True,2.60096897717586,retrieval_pr999,False,False,False,False,
13,5835380273400727296,AstroSpectroSB1,1.0,821.0244595903276,63.65601,0.2253918547137709,7.3923535,False,True,2.579035952861687,v2_main,False,False,True,False,
14,5519315932102588160,AstroSpectroSB1,1.0,873.7566534437003,59.090496,0.0526936415626233,8.964997,False,True,2.5782442401691226,v2_main,False,False,True,False,
15,5416364152972856960,AstroSpectroSB1,1.0,1068.715129264599,114.74308,0.0235935578560401,9.586109,False,False,2.544487036352332,v2_main,False,False,True,False,
16,6328149636482597888,Orbital,1.0,736.0178501588972,89.910286,14.183002569273988,13.33589,False,False,2.454031504474373,v2_main,False,False,True,False,CONFIRMED
17,4519469364057123328,AstroSpectroSB1,1.0,1419.0943518763388,15.821275,0.2931078686691354,9.453353,False,True,2.447800179422724,v2_main,False,False,True,False,
18,1980745870743978752,Orbital,1.0,730.0103120275834,50.734325,0.74772620489794,13.101243,False,True,2.428228497748007,v2_main,False,False,True,False,
19,2373789361772391936,AstroSpectroSB1,1.0,548.9843917624469,38.818924,0.0258599098240799,12.055974,False,False,2.419032902140737,v2_main,False,False,True,False,
20,5544150395092057216,AstroSpectroSB1,1.0,487.2113748767,92.99497,0.0190120923730856,9.16826,False,True,2.373502498631971,v2_main,False,False,True,False,
21,5290789243502185984,AstroSpectroSB1,1.0,982.8176986403626,121.297646,0.1128230980048648,9.24048,False,False,2.358997034922031,v2_main,False,False,True,False,
22,2222168013975025664,AstroSpectroSB1,1.0,650.0148339470064,98.29196,0.0204682944501085,11.0737505,False,False,2.3517059526718374,v2_main,False,False,True,False,
23,1979624957311892864,Orbital,1.0,542.8101766665037,52.679676,0.1663231152480413,9.606362,False,True,2.328875559087732,v2_main,False,False,True,False,
24,2176842468190463744,AstroSpectroSB1,1.0,549.3435117625122,47.182888,0.4755050909543746,11.084035,False,True,2.3121694551343746,v2_main,False,False,True,False,
25,2543788153077017344,AstroSpectroSB1,1.0,816.2683778788082,105.709785,0.6334670226094342,8.403802,False,False,2.308997162030117,v2_main,False,False,True,False,
26,1811600167323837824,AstroSpectroSB1,1.0,527.7316873668165,129.41339,0.0309660606466878,8.194982,False,False,2.30875357160203,v2_main,False,False,True,False,
27,4161042729638132096,Orbital,1.0,915.274745412079,27.325073,2.0747982024658462,13.594913,False,True,2.296847691062055,v2_main,False,False,True,False,
28,5053152894897515904,AstroSpectroSB1,1.0,487.48618899248186,61.791534,0.1301075947756288,8.425857,False,False,2.291830015983098,v2_main,False,False,True,False,
29,5868375071124507648,AstroSpectroSB1,1.0,846.2834136304574,76.26816,0.3558477216970417,12.011131,False,True,2.288871425547644,v2_main,False,False,True,False,
30,5645867899401140224,AstroSpectroSB1,1.0,1335.6975111581246,18.362473,7.96281881546137,9.560915,False,True,2.2727466598294765,v2_main,False,False,True,False,
31,4627361760001541504,AstroSpectroSB1,1.0,710.9010203082469,109.66674,0.0178784016478882,9.828717,False,False,2.268643945267778,v2_main,False,False,True,False,
32,5065286383666887680,AstroSpectroSB1,1.0,209.6370584430533,117.12704,0.1292816875988081,7.4338946,False,False,2.265377663636976,v2_main,False,False,True,False,
33,6001459821083925120,Orbital,1.0,563.832789334631,19.680153,0.0457593888278831,13.598905,False,False,2.2596706781191456,v2_main,False,False,True,False,SPURIOUS
34,1968969040364365056,AstroSpectroSB1,1.0,447.7620221449067,78.17757,2.6288822797489115,7.969141,False,True,2.250604858198409,v2_main,False,False,True,False,
35,569323105070003072,AstroSpectroSB1,1.0,574.1564113700186,54.551933,1.1844201921762088,12.452498,False,False,2.2384465689845023,v2_main,False,False,True,False,
36,1998019134002320384,AstroSpectroSB1,1.0,1161.3173854648066,37.83692,13.100742106270246,11.692669,False,True,2.226472575943684,v2_main,False,False,True,False,
37,5545162186300848000,AstroSpectroSB1,1.0,547.3059443965795,119.877174,0.0055121952963123,8.530812,False,True,2.2044974220504394,v2_main,False,False,True,False,
38,5984963087901124352,AstroSpectroSB1,1.0,781.4954374117594,55.322495,4.368763089413457,12.932729,False,True,2.189617571563281,v2_main,False,False,True,True,
39,4201219395570443392,AstroSpectroSB1,1.0,556.8996004506546,41.919315,0.1630784618662242,10.914728,False,True,2.186097155109421,v2_main,False,False,True,False,
40,5535060526299103360,AstroSpectroSB1,1.0,498.4469071855156,101.44334,0.0024807973537491,7.5378666,False,False,2.167708066089701,v2_main,False,False,True,False,
41,1862008819786215040,AstroSpectroSB1,1.0,467.2578496875315,61.61371,2.6466206046261105,12.072869,False,True,2.1583895621424127,v2_main,False,False,True,False,
42,2221801391269240192,Orbital,1.0,730.9129932626819,54.38386,1.3780738819754337,11.658975,False,False,2.15408657579156,v2_main,False,False,True,False,
43,6291420068303688832,AstroSpectroSB1,1.0,843.4216830418693,82.624565,0.4322449452367894,8.766702,False,False,2.139823949163856,v2_main,False,True,True,False,
44,5051409687931408384,AstroSpectroSB1,1.0,627.0138491225389,121.3382,0.0023937316672721,8.329103,False,False,2.1383998680262755,v2_main,False,True,True,False,
45,3457836839541875968,AstroSpectroSB1,1.0,1098.6870459182717,73.48328,1.1743849274778957,6.9999185,False,True,2.120014374597988,v2_main,False,False,True,False,
46,2132620694633811456,AstroSpectroSB1,1.0,226.2319247786464,107.342255,0.0031269396340088,6.9475355,False,False,2.1090192258715064,v2_main,False,False,True,False,
47,6842264299919674752,Orbital,1.0,1428.811157504858,13.738809,0.2651460181972856,15.490695,False,False,1.9872028604026324,v2_main,False,False,True,False,
48,4314242838679237120,Orbital,1.0,1145.9529424071727,8.179624,4.213839738133277,17.024376,False,True,1.9744996563870991,retrieval_pr999,False,False,False,False,
49,6687541573416724608,AstroSpectroSB1,1.0,1125.0709267882726,20.113852,0.0391677820708987,12.0742235,False,False,1.8495570900290117,v2_main,False,False,True,False,UNKNOWN
50,3649963989549165440,Orbital,1.0,892.5306233789424,40.235245,0.1823132178227033,14.299598,False,False,1.809461539703702,v2_main,False,False,True,False,OTHER
51,3869650535947137920,Orbital,1.0,570.036402597465,34.02858,0.466281374373687,12.938148,False,False,1.7877604908044242,v2_main,False,False,True,False,SPURIOUS
52,1058875159778407808,Orbital,1.0,835.6823615515086,32.974022,0.1455182802294341,14.520771,False,False,1.775437807458843,v2_main,False,False,True,False,CONFIRMED
53,809741149368202752,Orbital,1.0,922.3885089937434,13.473051,0.1779533908308206,14.908419,False,False,1.720546567323385,v2_main,False,False,True,False,CONFIRMED
54,6593763230249162112,Orbital,1.0,679.887939268342,23.33145,0.1093994373642047,13.537497,False,False,1.6917012251732717,v2_main,False,False,True,False,SPURIOUS
55,1350295047363872512,Orbital,1.0,657.2419539332093,34.107887,0.5556333413255401,13.523132,False,False,1.6528242356719247,v2_main,False,False,True,False,CONFIRMED
56,5556237944880786816,Orbital,1.0,1237.3474673493265,11.694273,0.3064196844906419,14.109684,False,False,1.609453955674638,v2_main,False,False,True,False,
