source_id,known_orbit,n_epochs,parallax_mas,f2_single_star,verdict
4318465066420528000,Gaia BH3,558,1.9608,893.97,KEEP (wobble present -> orbital refit)
3937211745905473024,HD 114762,558,25.6317,186.5,KEEP (wobble present -> orbital refit)
1457486023639239296,Gaia-4,824,13.6241,31.53,KEEP (wobble present -> orbital refit)
1663617687609809280,,781,10.1067,1.55,DEMOTE (no epoch-level wobble)
435469040545191680,,649,0.9977,1.44,DEMOTE (no epoch-level wobble)
2237987199365376,,702,-0.0023,1.39,DEMOTE (no epoch-level wobble)
10973744521070720,,515,0.0027,1.22,DEMOTE (no epoch-level wobble)
3926186255616949504,,462,0.9993,0.53,DEMOTE (no epoch-level wobble)
20694084440761600,,576,4.9421,0.49,DEMOTE (no epoch-level wobble)
60730287810150016,,608,0.0032,0.14,DEMOTE (no epoch-level wobble)
2309425390592896,,597,0.9262,-0.12,DEMOTE (no epoch-level wobble)
4181040337841125632,,637,1.0013,-0.89,DEMOTE (no epoch-level wobble)
