source_id,nss_solution_type,route,ero_detuid,ero_iauname,sep_arcsec,pos_err_arcsec,det_like_0,ext_like,ml_flux_1,ml_flux_err_1,flag_opt,uid_dr1,log_fx_fopt,l_x_erg_s,gaia_g,d_pc,period_d,m1_dust,m2_min_dark_dust,p_class3_corr,eb26_verdict,flag_low_lat,nway_p_any,nway_p_i,nway_match_flag
5616598899870232704,AstroSpectroSB1,positional+nway,sm03_112114_020_ML00060_001_c030,3eRASS J072657.6-251618,4.66,2.21,63.3,0.0,8.231172769204362e-14,1.6106792277963827e-14,0,0,-3.85,1.9642774224235505e+31,9.655263,1412.1,544.89,,2.7126572893156364,1.0,,True,0.04752485454082489,0.9998250007629395,1.0
6291420068303688832,AstroSpectroSB1,positional+nway,sm03_211108_020_ML00083_001_c030,3eRASS J140316.6-174339,0.55,2.26,70.4,0.0,9.109663842493329e-14,1.5873317810448546e-14,0,121110800066,-4.16,2.9036996152209606e+30,8.766702,516.1,843.42,,2.139823949163856,1.0,,False,0.953943133354187,1.0,1.0
5051409687931408384,AstroSpectroSB1,positional+nway,sm03_048123_020_ML00084_001_c030,3eRASS J030613.9-332653,2.09,1.41,162.0,0.0,1.0616857328178686e-13,1.3641586741241964e-14,0,104812300049,-4.27,3.7967370287799507e+30,8.329103,546.6,627.01,,2.1383998680262755,1.0,,False,0.9513756632804871,1.0,1.0
3615078925141325696,Orbital,positional+nway,sm03_210099_020_ML00035_001_c030,3eRASS J140419.8-093143,3.02,1.42,201.8,0.0,1.9785518709514172e-13,2.2655549582629303e-14,0,121009900032,-4.08,2.0891062577349825e+30,8.122025,297.0,597.54,,2.095183886846426,0.9381,,False,0.9314125776290894,1.0,1.0
5235723605260629760,AstroSpectroSB1,positional+nway,sm03_176159_020_ML00961_001_c030,3eRASS J114544.3-682259,3.56,4.17,8.4,0.0,1.0147004086578579e-14,4.024181534604664e-15,0,0,-3.7,4.1860190713290124e+30,12.298504,1856.7,886.45,,1.9766904677596635,0.9841,,True,0.03436442092061043,0.3544691801071167,1.0
5999921810471833216,AstroSpectroSB1,positional,sm03_230135_020_ML00422_001_c030,3eRASS J151825.5-462911,7.93,3.14,13.1,0.0,3.9998813451940646e-14,1.2545960635396841e-14,0,0,-4.07,5.876176375343454e+30,9.897571,1108.0,781.81,,1.9331668172985104,0.8789,,True,,,
4042401027000908928,Orbital,positional+nway,sb03_270123_020_ML00281_001_c030,3eRASS J175703.7-333816,2.38,4.35,7.8,0.0,3.68680407654854e-14,1.3532345749067524e-14,0,0,-3.85,1.2146509837209639e+30,10.524598,524.7,914.07,1.7628024,1.7004672568432888,0.7232,,True,0.05480620637536049,0.7089232206344604,1.0
5226674761983825792,AstroSpectroSB1,positional+nway,sm03_175165_020_ML00304_001_c030,3eRASS J115035.5-734807,4.68,2.7,28.0,0.0,2.39008811386051e-14,6.010322600534914e-15,0,117516500394,-3.63,6.345576207761893e+29,11.558102,471.0,530.86,1.582716548146391,1.623628456899425,0.8175,,False,0.2147548943758011,0.9810881018638611,1.0
5839182174066052224,Orbital,positional+nway,sm03_206165_020_ML00050_001_c030,3eRASS J132847.1-733547,0.36,1.32,182.9,0.0,1.0079839117245817e-13,1.2251510807107565e-14,0,120616500122,-2.43,2.1144081472782723e+30,12.988483,418.7,331.78,0.97878194,1.5884342321832976,0.9965,SPURIOUS,False,0.9994615316390991,1.0,1.0
3287177379186168576,Orbital,positional+nway,sm03_068081_020_ML00304_001_c030,3eRASS J043004.3+075919,3.28,3.48,17.6,0.0,3.098928652209808e-14,9.918814257621218e-15,0,106808100183,-2.07,2.6348775137976464e+30,15.166365,842.9,736.71,0.8741303,1.0123319844794936,0.7358,,False,0.9221296906471252,0.999903678894043,1.0
2963110964149213184,Orbital,positional,sm03_078111_020_ML01077_001_c030,3eRASS J051114.8-210051,4.84,4.74,11.1,0.0,1.753794931004006e-14,6.8146388292262324e-15,0,107811100391,-1.6,9.200696745101188e+29,16.954546,662.1,910.73,0.6157317,0.7122053864221599,0.9935,,False,,,
3181760121325159296,Orbital,positional,sm03_074099_020_ML00198_001_c030,3eRASS J045228.5-100330,3.24,2.16,55.5,0.0,6.55143663928423e-14,1.3170119732470748e-14,0,107409900132,-1.18,1.9706618750697895e+30,16.575592,501.3,730.41,0.6092012,0.6291994647936885,0.9831,,False,,,
4968789738520547456,Orbital,positional+nway,sm03_031126_020_ML00834_001_c030,3eRASS J020301.4-353121,2.31,3.29,15.0,0.0,2.1586826090221924e-14,7.550259415345806e-15,0,103112600552,-2.27,2.5377519498046613e+29,15.066429,313.4,789.57,0.63670844,0.6178047971027626,0.8654,,False,0.9378747344017029,1.0,1.0
5874328960960829312,Orbital,positional+nway,sm03_224153_020_ML00247_001_c030,3eRASS J144840.4-623731,1.31,2.37,32.4,0.0,4.032451117268708e-14,9.551404399387245e-15,0,122415300230,-2.17,2.7496825173021793e+29,14.635188,238.7,330.24,0.62708205,0.5450060184146851,0.8429,,True,0.9535448551177979,0.9924194812774658,1.0
