family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,3,1,,,,,,False,
B (photometric variability),B1 dAmp_G,num,42,23,0.03521273328984996,0.6594202898550725,0.5072463768115942,0.8053830227743272,0.7250000000000002,True,0.14085093315939984
B (photometric variability),B2 dAmp_BP,num,42,23,0.8854593818701273,0.5113871635610766,0.3529761904761905,0.6656314699792961,0.7250000000000002,True,1.0
B (photometric variability),B3 dAmp_RP,num,42,23,0.07791356228441505,0.6335403726708074,0.484472049689441,0.772256728778468,0.7250000000000002,True,0.23374068685324517
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,42,23,1.0,1.2380952380952381,,,0.4,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,3,2,,,,,,False,
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,42,23,0.008267295949554533,0.3002070393374741,0.16149068322981366,0.4503105590062112,0.7250000000000002,True,0.041336479747772666
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,42,23,0.685549505243668,0.5196687370600414,0.427536231884058,0.6195652173913043,0.7250000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,42,23,0.9617024198352914,0.5041407867494824,0.3374482401656315,0.6656314699792961,0.7250000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,42,23,0.02489062852135611,0.3302277432712215,0.18322981366459629,0.4782608695652174,0.7250000000000002,True,0.09956251408542444
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,42,23,0.001120740335583852,0.2536231884057971,0.13561076604554864,0.386128364389234,0.7250000000000002,True,0.0067244420135031124
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,42,23,0.5058054281956299,0.5507246376811594,0.40476190476190477,0.6966873706004141,0.7250000000000002,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,42,23,0.1439619381939186,0.38923395445134573,0.2484472049689441,0.5393374741200828,0.7250000000000002,True,0.1439619381939186
