rep,batch_size,seconds,zip_bytes,status,retrieval_type,release,note,mode
0,1,2.799,7923,OK,EPOCH_PHOTOMETRY,Gaia DR3,,sweep
0,2,5.466,13987,OK,EPOCH_PHOTOMETRY,Gaia DR3,,sweep
0,5,29.982,42890,OK,EPOCH_PHOTOMETRY,Gaia DR3,,sweep
0,10,73.528,87251,OK,EPOCH_PHOTOMETRY,Gaia DR3,,sweep
0,20,60.557,149443,OK,EPOCH_PHOTOMETRY,Gaia DR3,,sweep
0,40,164.25,284854,OK,EPOCH_PHOTOMETRY,Gaia DR3,,sweep
0,10,42.32,74166,OK,EPOCH_PHOTOMETRY,Gaia DR3,,soak
0,10,72.232,89681,OK,EPOCH_PHOTOMETRY,Gaia DR3,,soak
0,10,27.216,84813,OK,EPOCH_PHOTOMETRY,Gaia DR3,,soak
0,10,22.714,63178,OK,EPOCH_PHOTOMETRY,Gaia DR3,,soak
0,10,29.32,68789,OK,EPOCH_PHOTOMETRY,Gaia DR3,,soak
