kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
batch,m6_prerelease_20260821T150031,0,6.0,6.0,6.0,453,0.041,0.007,,,
source,m6_prerelease_20260821T150031,0,,,,88,2.534,,2237987199365376.0,702.0,SPURIOUS
source,m6_prerelease_20260821T150031,0,,,,75,0.02,,2309425390592896.0,597.0,SPURIOUS
source,m6_prerelease_20260821T150031,0,,,,62,0.021,,1.097374452107072e+16,515.0,SPURIOUS
source,m6_prerelease_20260821T150031,0,,,,74,0.025,,2.06940844407616e+16,576.0,SPURIOUS
source,m6_prerelease_20260821T150031,0,,,,73,0.024,,6.073028781015002e+16,608.0,SPURIOUS
source,m6_prerelease_20260821T150031,0,,,,81,0.018,,4.354690405451917e+17,649.0,SPURIOUS
batch,m6_prerelease_20260821T150031,1,6.0,6.0,6.0,555,0.039,0.006,,,
source,m6_prerelease_20260821T150031,1,,,,115,0.026,,1.4574860236392392e+18,824.0,CONFIRMED
source,m6_prerelease_20260821T150031,1,,,,95,0.022,,1.6636176876098094e+18,781.0,SPURIOUS
source,m6_prerelease_20260821T150031,1,,,,81,0.025,,3.926186255616949e+18,462.0,SPURIOUS
source,m6_prerelease_20260821T150031,1,,,,90,0.024,,3.937211745905473e+18,558.0,CONFIRMED
source,m6_prerelease_20260821T150031,1,,,,97,0.026,,4.1810403378411254e+18,637.0,SPURIOUS
source,m6_prerelease_20260821T150031,1,,,,77,0.025,,4.318465066420528e+18,558.0,CONFIRMED
batch,m6_prerelease_20260821T153107,0,6.0,0.0,0.0,0,0.0,0.0,,,
source,m6_prerelease_20260821T153107,0,,,,88,1.369,,2237987199365376.0,702.0,SPURIOUS
source,m6_prerelease_20260821T153107,0,,,,75,0.163,,2309425390592896.0,597.0,SPURIOUS
source,m6_prerelease_20260821T153107,0,,,,62,0.019,,1.097374452107072e+16,515.0,SPURIOUS
source,m6_prerelease_20260821T153107,0,,,,74,0.038,,2.06940844407616e+16,576.0,SPURIOUS
source,m6_prerelease_20260821T153107,0,,,,73,0.021,,6.073028781015002e+16,608.0,SPURIOUS
source,m6_prerelease_20260821T153107,0,,,,81,0.03,,4.354690405451917e+17,649.0,SPURIOUS
batch,m6_prerelease_20260821T153107,1,6.0,0.0,0.0,0,0.0,0.0,,,
source,m6_prerelease_20260821T153107,1,,,,115,0.073,,1.4574860236392392e+18,824.0,CONFIRMED
source,m6_prerelease_20260821T153107,1,,,,95,0.041,,1.6636176876098094e+18,781.0,SPURIOUS
source,m6_prerelease_20260821T153107,1,,,,81,0.045,,3.926186255616949e+18,462.0,SPURIOUS
source,m6_prerelease_20260821T153107,1,,,,90,0.025,,3.937211745905473e+18,558.0,CONFIRMED
source,m6_prerelease_20260821T153107,1,,,,97,0.037,,4.1810403378411254e+18,637.0,SPURIOUS
source,m6_prerelease_20260821T153107,1,,,,77,0.035,,4.318465066420528e+18,558.0,CONFIRMED
