model,batch,degrade,fetch_s_per_source,fit_s_per_source,gap_s_per_source,s_per_source,sources_per_hour,hours_for_queue,zipped_bytes_per_source
B,5,1.0,5.04808100358423,0.03559090909090909,0.1,5.1836719126751385,694.4883975386759,1.4154304139332392,52107.166666666664
B,20,1.0,4.1548260304659514,0.03559090909090909,0.025,4.215416939556861,854.0080498842528,1.1510430143289985,52107.166666666664
B,50,1.0,3.9761750358422954,0.03559090909090909,0.01,4.021765944933204,895.1291669609558,1.0981655344081498,52107.166666666664
B,5,3.0,12.762229749103948,0.03559090909090909,0.1,12.897820658194856,279.11692179660423,3.521821585279318,52107.166666666664
B,20,3.0,11.868974775985668,0.03559090909090909,0.025,11.929565685076577,301.771254296664,3.257434185675076,52107.166666666664
B,50,3.0,11.690323781362013,0.03559090909090909,0.01,11.73591469045292,306.7506960431958,3.204556705754228,52107.166666666664
B,5,10.0,39.76175035842295,0.03559090909090909,0.1,39.89734126751386,90.23157648179618,10.89419068499059,52107.166666666664
B,20,10.0,38.868495385304676,0.03559090909090909,0.025,38.92908629439558,92.47584114293156,10.62980328538635,52107.166666666664
B,50,10.0,38.68984439068102,0.03559090909090909,0.01,38.73543529977192,92.93815784280595,10.5769258054655,52107.166666666664
A,5,1.0,29.133230258123078,0.03559090909090909,0.1,29.26882116721399,122.99777908488527,7.99201422426982,52107.166666666664
A,20,1.0,28.783036929136088,0.03559090909090909,0.025,28.843627838226997,124.81092947777023,7.87591282360476,52107.166666666664
A,50,1.0,28.71299826333869,0.03559090909090909,0.01,28.758589172429602,125.17999330270563,7.85269254347175,52107.166666666664
A,5,3.0,86.46584189707059,0.03559090909090909,0.1,86.6014328061615,41.56975102314783,23.647002346793542,52107.166666666664
A,20,3.0,86.1156485680836,0.03559090909090909,0.025,86.17623947717452,41.77485606056796,23.530900946128487,52107.166666666664
A,50,3.0,86.0456099022862,0.03559090909090909,0.01,86.09120081137712,41.81612018500563,23.507680665995476,52107.166666666664
A,5,10.0,287.1299826333869,0.03559090909090909,0.1,287.2655735424778,12.531957643256094,78.43946077562659,52107.166666666664
A,20,10.0,286.7797893043999,0.03559090909090909,0.025,286.8403802134908,12.550534193688408,78.32335937496151,52107.166666666664
A,50,10.0,286.7097506386025,0.03559090909090909,0.01,286.7553415476934,12.554256114532553,78.3001390948285,52107.166666666664
