rep,utc,elapsed_min,n_ids,n_served,n_cells,seconds,status
0,2026-08-23T19:53:42Z,0.46,20,20,53475,27.424,OK
1,2026-08-23T19:55:42Z,2.46,20,20,53475,27.62,OK
2,2026-08-23T19:57:41Z,4.45,20,20,53475,26.894,OK
3,2026-08-23T19:59:42Z,6.46,20,20,53475,27.592,OK
4,2026-08-23T20:01:43Z,8.47,20,20,53475,28.473,OK
5,2026-08-23T20:03:41Z,10.44,20,20,53475,26.349,OK
6,2026-08-23T20:05:39Z,12.42,20,20,53475,25.228,OK
7,2026-08-23T20:07:39Z,14.41,20,20,53475,24.844,OK
8,2026-08-23T20:09:39Z,16.41,20,20,53475,24.709,OK
9,2026-08-23T20:11:41Z,18.45,20,20,53475,26.756,OK
10,2026-08-23T20:13:42Z,20.46,20,20,53475,27.429,OK
11,2026-08-23T20:15:42Z,22.46,20,20,53475,27.631,OK
12,2026-08-23T20:17:56Z,24.7,20,20,53475,42.215,OK
13,2026-08-23T20:19:40Z,26.44,20,20,53475,26.043,OK
14,2026-08-23T20:21:47Z,28.55,20,20,53475,32.825,OK
15,2026-08-23T20:23:50Z,30.6,20,20,53475,35.66,OK
16,2026-08-23T20:25:40Z,32.43,20,20,53475,25.686,OK
17,2026-08-23T20:27:42Z,34.46,20,20,53475,27.233,OK
18,2026-08-23T20:29:39Z,36.42,20,20,53475,25.074,OK
19,2026-08-23T20:31:51Z,38.61,20,20,53475,36.203,OK
20,2026-08-23T20:33:46Z,40.54,20,20,53475,32.122,OK
21,2026-08-23T20:35:42Z,42.46,20,20,53475,27.603,OK
22,2026-08-23T20:37:39Z,44.41,20,20,53475,24.465,OK
23,2026-08-23T20:39:41Z,46.45,20,20,53475,26.967,OK
24,2026-08-23T20:41:50Z,48.6,20,20,53475,35.777,OK
25,2026-08-23T20:43:49Z,50.57,20,20,53475,34.254,OK
26,2026-08-23T20:45:39Z,52.41,20,20,53475,24.199,OK
27,2026-08-23T20:47:42Z,54.46,20,20,53475,27.134,OK
28,2026-08-23T20:49:41Z,56.45,20,20,53475,26.557,OK
29,2026-08-23T20:51:49Z,58.59,20,20,53475,34.938,OK
30,2026-08-23T20:53:49Z,60.59,20,20,53475,34.903,OK
31,2026-08-23T20:55:41Z,62.45,20,20,53475,26.914,OK
32,2026-08-23T20:57:42Z,64.46,20,20,53475,27.122,OK
33,2026-08-23T20:59:39Z,66.41,20,20,53475,24.63,OK
34,2026-08-23T21:01:43Z,68.48,20,20,53475,28.526,OK
35,2026-08-23T21:03:42Z,70.47,20,20,53475,27.943,OK
36,2026-08-23T21:05:41Z,72.45,20,20,53475,26.772,OK
37,2026-08-23T21:07:40Z,74.42,20,20,53475,25.091,OK
38,2026-08-23T21:09:40Z,76.43,20,20,53475,25.566,OK
39,2026-08-23T21:11:42Z,78.47,20,20,53475,27.985,OK
40,2026-08-23T21:13:42Z,80.46,20,20,53475,27.503,OK
41,2026-08-23T21:15:42Z,82.47,20,20,53475,27.854,OK
42,2026-08-23T21:17:47Z,84.55,20,20,53475,32.766,OK
43,2026-08-23T21:19:39Z,86.41,20,20,53475,24.265,OK
44,2026-08-23T21:21:39Z,88.41,20,20,53475,24.582,OK
45,2026-08-23T21:23:38Z,90.4,20,20,53475,23.942,OK
46,2026-08-23T21:25:39Z,92.41,20,20,53475,24.273,OK
47,2026-08-23T21:27:39Z,94.42,20,20,53475,24.718,OK
48,2026-08-23T21:29:39Z,96.41,20,20,53475,24.438,OK
49,2026-08-23T21:31:40Z,98.43,20,20,53475,25.406,OK
50,2026-08-23T21:33:42Z,100.47,20,20,53475,27.868,OK
51,2026-08-23T21:35:41Z,102.45,20,20,53475,26.742,OK
52,2026-08-23T21:37:42Z,104.46,20,20,53475,27.003,OK
53,2026-08-23T21:39:41Z,106.45,20,20,53475,26.914,OK
54,2026-08-23T21:41:42Z,108.46,20,20,53475,27.325,OK
55,2026-08-23T21:43:38Z,110.4,20,20,53475,23.697,OK
56,2026-08-23T21:45:41Z,112.44,20,20,53475,25.998,OK
57,2026-08-23T21:47:41Z,114.45,20,20,53475,26.406,OK
58,2026-08-23T21:49:30Z,116.27,20,20,53475,15.768,OK
59,2026-08-23T21:51:30Z,118.26,20,20,53475,15.244,OK
