kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,cells,transits,n_src,kib
batch,m7_dryrun_B_20260823T152424,0,20,20,20,20,9.638,0.482,25125.0,557.0,20,65.57398664010054
batch,m7_dryrun_B_20260823T152424,1,20,20,20,20,21.987,1.099,40875.0,907.0,20,106.77846657553177
batch,m7_dryrun_B_20260823T152424,2,20,20,20,20,29.379,1.469,52890.0,1174.0,20,138.21159841198929
batch,m7_dryrun_B_20260823T152424,3,20,20,20,20,48.652,2.433,73005.0,1621.0,20,190.83560564381145
batch,m7_dryrun_B_20260823T152424,4,20,20,20,20,57.441,2.872,101895.0,2263.0,20,266.4163945539453
batch,m7_dryrun_B_20260823T152424,5,20,20,20,20,21.406,1.07,25305.0,561.0,20,66.04489498221976
batch,m7_dryrun_B_20260823T152424,6,20,20,20,20,22.93,1.146,40920.0,908.0,20,106.89619366106157
batch,m7_dryrun_B_20260823T152424,7,20,20,20,20,15.641,0.782,53250.0,1182.0,20,139.15341509622772
batch,m7_dryrun_B_20260823T152424,8,20,20,20,20,20.828,1.041,75795.0,1683.0,20,198.13468494665926
batch,m7_dryrun_B_20260823T152424,9,20,20,20,20,29.059,1.453,105000.0,2332.0,20,274.5395634555017
batch,m7_dryrun_B_20260823T152424,10,20,20,20,20,13.249,0.662,24090.0,534.0,20,62.86626367291506
batch,m7_dryrun_B_20260823T152424,11,20,20,20,20,13.664,0.683,41415.0,919.0,20,108.1911916018894
batch,m7_dryrun_B_20260823T152424,12,20,20,20,20,16.054,0.803,53610.0,1190.0,20,140.09523178046615
batch,m7_dryrun_B_20260823T152424,13,20,20,20,20,28.735,1.437,73230.0,1626.0,20,191.42424107146047
batch,m7_dryrun_B_20260823T152424,14,20,20,20,20,29.984,1.499,111840.0,2484.0,20,292.43408045603184
batch,m7_dryrun_B_20260823T152424,15,20,20,20,20,10.309,0.515,25665.0,569.0,20,66.98671166645819
batch,m7_dryrun_B_20260823T152424,16,20,20,20,20,14.216,0.711,40110.0,890.0,20,104.77710612152511
batch,m7_dryrun_B_20260823T152424,17,20,20,20,20,27.837,1.392,54060.0,1200.0,20,141.2725026357642
batch,m7_dryrun_B_20260823T152424,18,20,20,20,20,34.718,1.736,74400.0,1652.0,20,194.48514529523536
batch,m7_dryrun_B_20260823T152424,19,20,20,20,20,49.519,2.476,102435.0,2275.0,20,267.8291195803029
batch,m7_dryrun_B_20260823T153337,0,20,20,20,20,11.748,0.587,23865.0,529.0,20,62.277628245266044
batch,m7_dryrun_B_20260823T153337,1,20,20,20,20,28.17,1.409,41730.0,926.0,20,109.01528120059803
batch,m7_dryrun_B_20260823T153337,2,20,20,20,20,35.489,1.774,53475.0,1187.0,20,139.74205052387674
batch,m7_dryrun_B_20260823T153337,3,20,20,20,20,38.178,1.909,75210.0,1670.0,20,196.60423283477184
batch,m7_dryrun_B_20260823T153337,4,20,20,20,20,47.198,2.36,107475.0,2387.0,20,281.0145531596409
batch,m7_dryrun_B_20260823T153337,5,20,20,20,20,21.433,1.072,24135.0,535.0,20,62.98399075844487
batch,m7_dryrun_B_20260823T153337,6,20,20,20,20,29.655,1.483,42990.0,954.0,20,112.31163959543252
batch,m7_dryrun_B_20260823T153337,7,20,20,20,20,21.623,1.081,52350.0,1162.0,20,136.79887338563165
batch,m7_dryrun_B_20260823T153337,8,20,20,20,20,31.936,1.597,72060.0,1600.0,20,188.3633368476856
batch,m7_dryrun_B_20260823T153337,9,20,20,20,20,49.804,2.49,102210.0,2270.0,20,267.2404841526539
batch,m7_dryrun_B_20260823T153337,10,20,20,20,20,14.755,0.738,23865.0,529.0,20,62.277628245266044
batch,m7_dryrun_B_20260823T153337,11,20,20,20,20,19.831,0.992,41145.0,913.0,20,107.48482908871058
batch,m7_dryrun_B_20260823T153337,12,20,20,20,20,21.457,1.073,52035.0,1155.0,20,135.97478378692304
batch,m7_dryrun_B_20260823T153337,13,20,20,20,20,42.523,2.126,72780.0,1616.0,20,190.24697021616242
batch,m7_dryrun_B_20260823T153337,14,20,19,19,19,40.921,2.154,108420.0,2408.0,20,283.4868219557668
batch,m7_dryrun_B_20260823T153337,15,20,20,20,20,13.348,0.667,25260.0,560.0,20,65.92716789668995
batch,m7_dryrun_B_20260823T153337,16,20,20,20,20,28.982,1.449,40335.0,895.0,20,105.36574154917412
batch,m7_dryrun_B_20260823T153337,17,20,20,20,20,35.851,1.793,52260.0,1160.0,20,136.56341921457204
batch,m7_dryrun_B_20260823T153337,18,20,20,20,20,36.097,1.805,75750.0,1682.0,20,198.01695786112947
batch,m7_dryrun_B_20260823T153337,19,20,20,20,20,56.295,2.815,104010.0,2310.0,20,271.9495675738461
batch,m7_dryrun_B_20260823T153337,20,20,20,20,20,12.601,0.63,25305.0,561.0,20,66.04489498221976
batch,m7_dryrun_B_20260823T153337,21,20,20,20,20,32.248,1.612,39975.0,887.0,20,104.4239248649357
batch,m7_dryrun_B_20260823T153337,22,20,20,20,20,23.921,1.196,54195.0,1203.0,20,141.6256838923536
batch,m7_dryrun_B_20260823T153337,23,20,20,20,20,32.329,1.616,77190.0,1714.0,20,201.78422459808317
batch,m7_dryrun_B_20260823T153337,24,20,20,20,20,52.095,2.605,109500.0,2432.0,20,286.31227200848207
batch,m7_dryrun_B_20260823T153337,25,20,20,20,20,16.4,0.82,24585.0,545.0,20,64.1612616137429
batch,m7_dryrun_B_20260823T153337,26,20,20,20,20,20.781,1.039,40110.0,890.0,20,104.77710612152511
batch,m7_dryrun_B_20260823T153337,27,20,20,20,20,30.282,1.514,53835.0,1195.0,20,140.68386720811517
batch,m7_dryrun_B_20260823T153337,28,20,20,20,20,35.793,1.79,72330.0,1606.0,20,189.0696993608644
batch,m7_dryrun_B_20260823T153337,29,1,1,1,1,3.56,3.56,5403.0,120.0,1,14.127250263576418
