kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source
batch,m7_dryrun_A_20260823T151947,0,20,20,0,0,0.68,0.034
batch,m7_dryrun_A_20260823T151947,1,20,20,1,1,2.544,0.127
batch,m7_dryrun_A_20260823T151947,2,20,20,0,0,0.695,0.035
batch,m7_dryrun_A_20260823T151947,3,20,20,0,0,0.721,0.036
batch,m7_dryrun_A_20260823T151947,4,20,20,2,2,7.298,0.365
batch,m7_dryrun_A_20260823T151947,5,20,20,2,2,6.066,0.303
batch,m7_dryrun_A_20260823T151947,6,20,20,0,0,0.748,0.037
batch,m7_dryrun_A_20260823T151947,7,20,20,0,0,0.637,0.032
batch,m7_dryrun_A_20260823T151947,8,20,20,2,2,4.856,0.243
batch,m7_dryrun_A_20260823T151947,9,20,20,0,0,0.655,0.033
batch,m7_dryrun_A_20260823T151947,10,20,20,2,2,11.886,0.594
batch,m7_dryrun_A_20260823T151947,11,20,20,2,2,6.417,0.321
batch,m7_dryrun_A_20260823T151947,12,20,20,3,3,7.968,0.398
batch,m7_dryrun_A_20260823T151947,13,20,20,0,0,0.643,0.032
batch,m7_dryrun_A_20260823T151947,14,20,20,0,0,0.625,0.031
batch,m7_dryrun_A_20260823T151947,15,20,20,1,1,6.125,0.306
batch,m7_dryrun_A_20260823T151947,16,20,20,3,3,7.565,0.378
batch,m7_dryrun_A_20260823T151947,17,20,20,1,1,4.77,0.238
batch,m7_dryrun_A_20260823T151947,18,20,20,2,2,3.514,0.176
batch,m7_dryrun_A_20260823T151947,19,20,20,1,1,3.364,0.168
batch,m7_dryrun_A_20260823T151947,20,20,20,2,2,4.918,0.246
batch,m7_dryrun_A_20260823T151947,21,20,20,0,0,0.638,0.032
batch,m7_dryrun_A_20260823T151947,22,20,20,2,2,3.264,0.163
batch,m7_dryrun_A_20260823T151947,23,20,20,1,1,6.182,0.309
batch,m7_dryrun_A_20260823T151947,24,20,20,1,1,4.022,0.201
batch,m7_dryrun_A_20260823T151947,25,20,20,4,4,12.144,0.607
batch,m7_dryrun_A_20260823T151947,26,20,20,1,1,1.232,0.062
batch,m7_dryrun_A_20260823T151947,27,20,20,1,1,2.659,0.133
batch,m7_dryrun_A_20260823T151947,28,20,20,4,4,8.865,0.443
batch,m7_dryrun_A_20260823T151947,29,20,20,1,1,3.857,0.193
batch,m7_dryrun_A_20260823T151947,30,20,20,2,2,5.166,0.258
batch,m7_dryrun_A_20260823T151947,31,20,20,1,1,3.845,0.192
