rank,source_id,queue_bin,has_epoch_photometry,phot_g_n_obs,phot_g_mean_mag
1,4373465352415301632,v2_main,False,413,13.771998
2,5870569352746779008,v2_main,False,779,12.276908
3,3509370326763016704,v2_main,False,244,12.469695
4,5296919570584886016,retrieval_pr999,False,435,11.48544
5,5542831389148064640,retrieval_pr999,False,410,13.265005
6,2020124643487024640,retrieval_pr999,False,733,14.378794
7,5238699738399933952,v2_main,False,394,13.400347
8,3263804373319076480,v2_main,False,175,12.66688
9,3315062231016941056,v2_main,False,273,10.568647
10,5616598899870232704,v2_main,False,615,9.655263
11,2192105682452865536,v2_main,False,446,13.45527
12,2055530017407206912,retrieval_pr999,False,514,11.70382
13,5835380273400727296,v2_main,False,517,7.3923535
14,5519315932102588160,v2_main,False,368,8.964997
15,5416364152972856960,v2_main,False,613,9.586109
16,6328149636482597888,v2_main,False,223,13.33589
17,4519469364057123328,v2_main,False,411,9.453353
18,1980745870743978752,v2_main,False,495,13.101243
19,2373789361772391936,v2_main,False,269,12.055974
20,5544150395092057216,v2_main,False,427,9.16826
21,5290789243502185984,v2_main,False,524,9.24048
22,2222168013975025664,v2_main,False,431,11.0737505
23,1979624957311892864,v2_main,True,429,9.606362
24,2176842468190463744,v2_main,False,442,11.084035
25,2543788153077017344,v2_main,False,430,8.403802
26,1811600167323837824,v2_main,False,351,8.194982
27,4161042729638132096,v2_main,False,237,13.594913
28,5053152894897515904,v2_main,False,578,8.425857
29,5868375071124507648,v2_main,False,597,12.011131
30,5645867899401140224,v2_main,False,788,9.560915
31,4627361760001541504,v2_main,False,361,9.828717
32,5065286383666887680,v2_main,False,740,7.4338946
33,6001459821083925120,v2_main,False,451,13.598905
34,1968969040364365056,v2_main,False,454,7.969141
35,569323105070003072,v2_main,False,392,12.452498
36,1998019134002320384,v2_main,False,456,11.692669
37,5545162186300848000,v2_main,False,415,8.530812
38,5984963087901124352,v2_main,False,557,12.932729
39,4201219395570443392,v2_main,False,227,10.914728
40,5535060526299103360,v2_main,False,385,7.5378666
41,1862008819786215040,v2_main,False,555,12.072869
42,2221801391269240192,v2_main,False,408,11.658975
43,6291420068303688832,v2_main,False,210,8.766702
44,5051409687931408384,v2_main,False,586,8.329103
45,3457836839541875968,v2_main,False,307,6.9999185
46,2132620694633811456,v2_main,False,363,6.9475355
47,6842264299919674752,v2_main,False,410,15.490695
48,4314242838679237120,retrieval_pr999,False,210,17.024376
49,6687541573416724608,v2_main,False,287,12.0742235
50,3649963989549165440,v2_main,False,218,14.299598
51,3869650535947137920,v2_main,False,178,12.938148
52,1058875159778407808,v2_main,False,471,14.520771
53,809741149368202752,v2_main,False,429,14.908419
54,6593763230249162112,v2_main,False,421,13.537497
55,1350295047363872512,v2_main,False,347,13.523132
56,5556237944880786816,v2_main,False,390,14.109684
57,5847919241396757888,retrieval_pr999,False,553,16.898977
58,4744087975990080896,v2_main,False,475,17.06612
59,2397135910639986304,v2_main,False,317,13.346148
60,5590962927271507712,v2_main,False,393,15.882135
61,1947292821452944896,v2_main,False,677,15.936792
62,2426116249713980416,v2_main,False,271,13.024138
63,5772986493132305024,retrieval_pr999,False,423,15.232279
64,5136025521527939072,v2_main,False,415,12.047791
65,2885872059004028800,v2_main,False,450,15.3059635
66,1695294922548180224,v2_main,False,322,13.119968
67,1871419337958702720,v2_main,False,445,13.699476
68,5820382041374661888,v2_main,False,576,14.188475
69,2839407213009948288,v2_main,False,457,14.449643
70,4922744974687373440,v2_main,False,536,14.47604
71,4637171465304969216,v2_main,False,380,14.01124
72,5693240254808387584,v2_main,False,626,16.3962
73,465093354131112960,v2_main,False,443,13.088572
74,1854241667792418304,v2_main,False,906,14.871327
75,4600723410759259264,v2_main,False,483,12.832666
76,6037767138131854592,v2_main,False,297,14.275907
77,1144019690966028928,v2_main,False,430,13.57053
78,2147347308558810496,retrieval_pr999,False,331,16.808128
79,2080945469200565248,v2_main,False,396,13.29416
80,4390946762664086784,v2_main,False,376,15.376748
81,1801110822095134848,v2_main,False,446,12.1887665
82,4240540718818313984,v2_main,False,321,14.611238
83,1694708646628402048,v2_main,False,332,13.199534
84,747174436620510976,v2_main,False,397,13.9877
85,1522897482203494784,v2_main,False,511,11.052851
86,3494029910469026432,v2_main,False,352,12.658866
87,1581117310088807552,v2_main,True,486,14.508785
88,5681911574178198400,v2_main,False,432,15.638199
89,2032579979951732736,v2_main,False,530,14.207269
90,6641307109468149504,v2_main,False,359,15.271075
91,4564060367330378880,retrieval_pr999,False,748,16.022493
92,1525829295599805184,v2_main,False,1256,16.176252
93,5331513195692864768,v2_main,False,451,15.248823
94,2469926638416055168,v2_main,False,591,15.449045
95,3283086886693270400,v2_main,False,432,15.072642
96,5362481146844816640,v2_main,False,575,16.841864
97,2919995917769953408,v2_main,True,528,14.970135
98,5538711420304269312,retrieval_pr999,False,383,14.832076
99,420307599833339904,v2_main,False,596,15.752069
100,5333771489506466432,v2_main,False,378,15.847199
101,5378176881487146112,v2_main,False,432,14.438003
102,2072487098074673152,v2_main,False,417,15.223681
103,220012968211559296,v2_main,True,355,13.930196
104,4618063808640529920,v2_main,False,344,15.106968
105,2501696992540416640,retrieval_pr999,False,238,15.751295
106,5336190896173400064,v2_main,False,493,16.184147
107,1820819950320873472,v2_main,False,499,15.675663
108,4526711950202650240,v2_main,False,450,14.614069
109,1449731030688880512,v2_main,False,597,14.532008
110,4578792375736250240,retrieval_pr999,False,554,18.220612
111,4847718871053268480,v2_main,False,453,15.2487545
112,1109902566711892352,v2_main,True,569,16.363384
113,988173469736683136,v2_main,False,356,16.164341
114,41408333753757056,v2_main,False,361,14.868423
115,347695336533949440,v2_main,False,354,15.900197
116,3353857674171392896,v2_main,False,244,16.368265
117,2909342818326298112,v2_main,False,484,18.365479
118,3619399009406031360,v2_main,False,225,13.900277
119,6148133675775194496,v2_main,False,580,15.496806
120,921014818475268480,v2_main,False,255,16.04445
121,6808640031752341120,v2_main,False,435,14.680473
122,6345215740573418240,v2_main,False,394,14.202115
123,513410735478322944,retrieval_pr999,False,716,16.790562
124,5345291278987917952,v2_main,False,469,15.553418
125,1258132677052807424,v2_main,False,515,16.778133
126,4429564978284010624,v2_main,False,260,14.653309
127,6476764747694402560,v2_main,False,504,16.441336
128,6370793232894189312,v2_main,False,470,15.569878
129,6565536670821170048,v2_main,False,455,15.176595
130,780762798862741248,v2_main,False,400,14.424219
131,4741144892600308736,v2_main,False,464,16.76405
132,778976951460413184,v2_main,False,480,17.302723
133,6242043204425227648,retrieval_pr999,False,270,16.903599
134,5374440122503156864,v2_main,False,573,16.338886
135,3737275314557968512,v2_main,False,432,16.917494
136,1569917409771276928,v2_main,False,525,16.720207
137,5270266446649786112,retrieval_pr999,False,328,16.881666
138,4111830204091975808,v2_main,False,501,16.051708
139,4690033098152050944,v2_main,False,393,16.668621
140,2089665008721347072,v2_main,False,387,16.061644
141,339403953708089728,v2_main,False,214,16.766289
142,1529570212114865920,v2_main,False,769,15.712063
143,2977891458442799744,v2_main,False,691,16.496376
144,5307050642533911168,retrieval_pr999,False,474,17.640902
145,2764969554255024384,v2_main,False,632,17.063015
146,3418769439060150272,v2_main,False,291,14.261869
147,1396651213505240832,v2_main,False,389,14.387018
148,3598782754069068032,v2_main,False,455,15.518477
149,159844874438662400,v2_main,False,312,13.917914
150,4263071704959743360,v2_main,False,226,16.420698
151,5080167483275376000,v2_main,False,695,16.536898
152,4690739122056717184,v2_main,False,370,15.539779
153,5851667407832653440,v2_main,False,440,16.20516
154,4905858464653858944,v2_main,False,456,16.25875
155,5334123401959324672,v2_main,False,442,15.705243
156,1983749087978089344,v2_main,False,569,15.568796
157,2057714811427134592,v2_main,False,418,16.930548
