rank,source_id,num_selected_g_fov,stratum,batch_at_20
1,4071764618812461312,23,20-35,0
2,5947787745083195776,31,20-35,0
3,4470875141981057920,32,20-35,0
4,4469695018098671616,28,20-35,0
5,4264907236557416960,31,20-35,0
6,4265039659004076928,22,20-35,0
7,4036204419983982080,29,20-35,0
8,3352382610605291008,25,20-35,0
9,3352455521969708672,23,20-35,0
10,3352713318792854400,20,20-35,0
11,3352645423944452608,23,20-35,0
12,4152219080070894464,28,20-35,0
13,4152241169073346304,26,20-35,0
14,4152428433939822848,28,20-35,0
15,4152461934695548928,26,20-35,0
16,4152493786163104128,29,20-35,0
17,4312059517837251840,28,20-35,0
18,4312130917377724800,30,20-35,0
19,4312195479315683072,28,20-35,0
20,4140093906343022464,27,20-35,0
21,4469970243907625984,39,35-50,1
22,6027845351386841472,48,35-50,1
23,4318033572483460992,40,35-50,1
24,4318067554268804352,36,35-50,1
25,4318122912100781696,38,35-50,1
26,4318154969770099968,42,35-50,1
27,5238740729566939136,39,35-50,1
28,5542882486388690432,46,35-50,1
29,5902468173576530560,47,35-50,1
30,5097257123786799744,44,35-50,1
31,2053485922209833472,44,35-50,1
32,2053526432340112896,46,35-50,1
33,2203161370645790208,42,35-50,1
34,2203284073576537472,38,35-50,1
35,4264891327997647232,41,35-50,1
36,2196543758052065408,43,35-50,1
37,5961261706017938816,38,35-50,1
38,5251620310014800512,40,35-50,1
39,5251879313728336640,41,35-50,1
40,2013075090326555904,46,35-50,1
41,6027780338426695168,62,50-70,2
42,5238570343939861888,51,50-70,2
43,5937109593082047232,51,50-70,2
44,5091500076606907392,54,50-70,2
45,5095970385943675136,57,50-70,2
46,2053948301206716416,61,50-70,2
47,2054027362965890560,50,50-70,2
48,2054101236404358528,61,50-70,2
49,2054154975035908096,55,50-70,2
50,2195608485973353984,57,50-70,2
51,2196405288306563072,55,50-70,2
52,5961521263855899904,56,50-70,2
53,245148628658294144,68,50-70,2
54,246143033849014656,55,50-70,2
55,1836724725272498176,61,50-70,2
56,1836754347676625408,66,50-70,2
57,5835804306928099712,52,50-70,2
58,5835813068692547328,54,50-70,2
59,5835815267715889280,57,50-70,2
60,5793436928379520640,57,50-70,2
61,5818043277069190912,81,70-100,3
62,423734227825838976,84,70-100,3
63,5093267923801706368,73,70-100,3
64,424337717966438144,75,70-100,3
65,424471141123184256,77,70-100,3
66,424475161219393536,79,70-100,3
67,1836952019251292032,72,70-100,3
68,1934170940447361920,70,70-100,3
69,2254096624757072640,74,70-100,3
70,6061575649374980608,83,70-100,3
71,6061786515088769408,86,70-100,3
72,5824162952641688576,97,70-100,3
73,489019414344118784,76,70-100,3
74,5820411277198610560,75,70-100,3
75,5820451619846748800,71,70-100,3
76,414123156168288512,82,70-100,3
77,416179414703777152,84,70-100,3
78,416218168192033280,84,70-100,3
79,1956529956075774464,75,70-100,3
80,1957174059433589888,77,70-100,3
81,412543364118140288,102,100-400,4
82,412493886091830656,107,100-400,4
83,1103072778439356800,113,100-400,4
84,1105876017691930496,104,100-400,4
85,1218715288277785728,104,100-400,4
86,6449564238774562688,118,100-400,4
87,513941597743164672,127,100-400,4
88,514167616100633984,125,100-400,4
89,514271451227609600,120,100-400,4
90,6062053838205801472,117,100-400,4
91,6062114650593253504,108,100-400,4
92,1864571609595473280,107,100-400,4
93,5866666292582923136,108,100-400,4
94,5018556108694709248,110,100-400,4
95,509150372743700224,112,100-400,4
96,509661748731132800,110,100-400,4
97,509694248736531584,105,100-400,4
98,5853060759588523904,104,100-400,4
99,6433584658333579904,111,100-400,4
100,5437768315770129024,100,100-400,4
101,4203864854902567296,22,20-35,5
102,4280820468298618240,28,20-35,5
103,4053141503169080064,25,20-35,5
104,4053189813028111360,25,20-35,5
105,4052081913282912768,27,20-35,5
106,4269148224718037376,24,20-35,5
107,135453377207794432,29,20-35,5
