source_id,release,source_id_dr3,nss_solution_type,orbit_source,orbit_period_d,orbit_significance,orbit_a0_mas,queue_bin,queue_rank,n_transits_fetched,n_transits_used,f2_single_star,parallax_mas,excess_noise_mas,fit_model,fit_seconds,verdict,verdict_scope,verdict_basis,verdict_confidence,verdict_confidence_basis,flag_alias_1yr,flag_low_lat,flag_hi_sigma_ti2,flag_xray_active,flag_dust_unresolved_south,flag_dust_sigma_fragile,flag_astrom_quiet,schema_version,verdict_source,verdict_source_version,config_version,epoch_data_release,epoch_data_structure,gaiasupdate_version,produced_utc,run_id,notes,refit_status,refit_method,refit_code_version,refit_n_ccd,refit_rms_single_mas,refit_peak_period_d,refit_peak_fap,refit_period_d,refit_period_err_d,refit_ecc,refit_ecc_err,refit_a0_mas,refit_a0_err_mas,refit_inc_deg,refit_omega_deg,refit_bigomega_deg,refit_tp_d,refit_parallax_mas,refit_parallax_err_mas,refit_pmra_masyr,refit_pmdec_masyr,refit_mass_function_msun,refit_m1_msun,refit_m1_sigma_msun,refit_m1_source,refit_m2_msun,refit_m2_p05,refit_m2_p16,refit_m2_p50,refit_m2_p84,refit_m2_p95,refit_m2_posterior_n,refit_posterior_method,refit_seconds,refit_notes
2237987199365376,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,88,702,1.3885,-0.002339,,6p_constrained_colour,1.3687,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.39 = 0.28x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:08Z,m6_prerelease_20260821T153107,sigma_parallax 0.3533 mas; chi2 748.4; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309425390592896,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,75,597,-0.1178,0.926211,,6p_constrained_colour,0.1634,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.12 = 0.02x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0141 mas; chi2 586.3; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10973744521070720,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,62,515,1.2167,0.00265,,6p_constrained_colour,0.0192,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.22 = 0.24x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.3234 mas; chi2 548.1; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20694084440761600,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,74,576,0.4899,4.942145,,6p_constrained_colour,0.0379,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.49 = 0.10x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0140 mas; chi2 586.0; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60730287810150016,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,73,608,0.1438,0.00321,,6p_constrained_colour,0.0207,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.14 = 0.03x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.4821 mas; chi2 606.3; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435469040545191680,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,81,649,1.435,0.997734,,6p_constrained_colour,0.0301,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.44 = 0.29x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0122 mas; chi2 695.1; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457486023639239296,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,115,824,31.526,13.624072,,6p_constrained_colour,0.0729,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 31.53 = 6.31x the gate 5.0 (>= 2.0x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0111 mas; chi2 2869.0; n_outliers 0,OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6461887,0.00647449,-75.532276,17.965618,2.6e-06,0.639188,0.118279,binary_masses,0.010313,0.008067,0.008961,0.010305,0.011569,0.012379,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.654,"L21 zero-point APPLIED before the mass function: Z -22.7 uas, parallax 13.623494 -> 13.646189 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped"
1663617687609809280,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,95,781,1.5513,10.106683,,6p_constrained_colour,0.0406,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.55 = 0.31x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0092 mas; chi2 837.0; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3926186255616949504,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,81,462,0.5342,0.999329,,6p_constrained_colour,0.0449,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.53 = 0.11x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.1584 mas; chi2 471.6; n_outliers 0,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3937211745905473024,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,90,558,186.5027,25.631659,,6p_constrained_colour,0.0252,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 186.50 = 37.30x the gate 5.0 (>= 2.0x = HIGH),False,False,False,False,False,False,False,day1_verdict.v2,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.1062 mas; chi2 58847.3; n_outliers 0,OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3463785,0.01141111,-582.468285,-0.551818,0.00739471,1.074712,0.092529,binary_masses,0.232975,0.211669,0.220136,0.232961,0.245239,0.253485,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.579,"L21 zero-point APPLIED before the mass function: Z -37.0 uas, parallax 25.309416 -> 25.346379 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped"
