name,source_id,element,refit,published,published_err,dr3_nss,refit_formal_err,sigma_vs_published,delta_over_refit_formal_err,frac_vs_dr3_nss
Gaia-4,1457486023639239296,P_d,578.959816,571.3,1.35,564.0242807973492,2.99373,5.67,2.56,0.0265
Gaia-4,1457486023639239296,ecc,0.41481455,0.338,0.0245,0.5075808455347155,0.06175359,3.14,1.24,-0.1828
Gaia-4,1457486023639239296,a0_mas,0.25509213,0.279,0.015,0.3128468035961588,0.00880142,-1.59,-2.72,-0.1846
Gaia-4,1457486023639239296,parallax_mas,13.6461887,13.628,0.021,13.643127383774535,0.00647449,0.87,2.81,0.0002
Gaia-4,1457486023639239296,inc_deg,120.926513,116.9,4.3,,,0.94,,
Gaia-4,1457486023639239296,m1_msun,0.639188,0.644,0.024,,,-0.2,,
Gaia-4,1457486023639239296,m2_msun,0.010313,0.01126,0.00067,,,-1.41,,
HD 114762,3937211745905473024,P_d,83.837596,83.91712,0.00064,83.73818467439406,0.012901,-124.26,-6.16,0.0012
HD 114762,3937211745905473024,ecc,0.30532918,0.3442,0.0012,0.323893426184342,0.0098031,-32.39,-3.97,-0.0573
HD 114762,3937211745905473024,a0_mas,1.85118559,,,1.7971357360189488,0.01722364,,,0.0301
HD 114762,3937211745905473024,parallax_mas,25.3463785,25.35,0.035,25.357020975883085,0.01141111,-0.1,-0.32,-0.0004
HD 114762,3937211745905473024,inc_deg,8.609223,3.63,0.06,,,82.99,,
HD 114762,3937211745905473024,m1_msun,1.074712,1.0,0.1,,,0.75,,
HD 114762,3937211745905473024,m2_msun,0.232975,0.215,0.013,,,1.38,,
Gaia BH3,4318465066420528000,P_d,4183.679384,4194.7,112.3,,72.221447,-0.1,-0.15,
Gaia BH3,4318465066420528000,ecc,0.72781609,0.7262,0.0056,,0.00353983,0.29,0.46,
Gaia BH3,4318465066420528000,a0_mas,27.11004173,27.07,0.56,,0.3675281,0.07,0.11,
Gaia BH3,4318465066420528000,parallax_mas,1.69520345,1.6747,0.0094,,0.00652344,2.18,3.14,
Gaia BH3,4318465066420528000,inc_deg,110.545595,110.659,0.107,,,-1.06,,
Gaia BH3,4318465066420528000,omega_deg,78.219406,77.77,0.66,,,0.68,,
Gaia BH3,4318465066420528000,bigomega_deg,136.360346,136.2,0.147,,,1.09,,
Gaia BH3,4318465066420528000,mass_function_msun,31.17490487,32.03,0.64,,,-1.34,,
Gaia BH3,4318465066420528000,m1_msun,0.76,0.76,0.05,,,0.0,,
Gaia BH3,4318465066420528000,m2_msun,32.643423,32.7,0.82,,,-0.07,,
