family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,22,14,0.3550572747612022,0.40584415584415584,0.22402597402597402,0.5909090909090909,0.7750000000000002,True,0.3550572747612022
B (photometric variability),B1 dAmp_G,num,633,347,2.6806560822139697e-16,0.34205626197923067,0.30691397944921717,0.37735356315245544,0.5750000000000001,True,1.3403280411069848e-15
B (photometric variability),B2 dAmp_BP,num,633,347,3.1045798484054794e-05,0.41963387373606315,0.3837651547227192,0.45519995356269716,0.5750000000000001,True,0.00012418319393621918
B (photometric variability),B3 dAmp_RP,num,633,347,0.0001902997179215027,0.4280085226108691,0.3913324432850294,0.4651609826497489,0.5750000000000001,True,0.0005708991537645081
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,633,347,0.0030360880170195665,0.41679610645127885,,,0.2,True,0.006072176034039133
B (photometric variability),B5 std_dev_mag_g_fov,num,58,16,0.06699244106066893,0.34913793103448276,0.21549030172413794,0.49137931034482757,0.7250000000000002,True,0.06699244106066893
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,633,347,0.7461082004732378,0.5062485488342872,0.46866620229363853,0.5430235919708992,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,633,347,0.3917738310406964,0.5094263172031996,0.48741116589498795,0.5314693536564823,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,633,347,0.21528185658939902,0.5239083819331576,0.4872085717797779,0.5613269459278583,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,633,347,0.8752985360373039,0.503029806374658,0.4651732748769639,0.5404893444600753,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,633,347,0.6926365953797263,0.507628009888414,0.4713518263062768,0.5457842213329327,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,633,347,0.0002726447897848908,0.4297749611884307,0.39444653108795313,0.4663274922490678,0.5750000000000001,True,0.001635868738709345
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,633,347,0.5838765489072181,0.5105690390665192,0.4733324114162922,0.5484159530345867,0.5750000000000001,True,0.5838765489072181
