family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,26,10,0.22303759590429784,0.6346153846153846,0.38846153846153847,0.8615384615384616,0.8000000000000003,True,0.22303759590429784
B (photometric variability),B1 dAmp_G,num,633,347,0.673408836914765,0.49186664299274757,0.454076865117846,0.5296318933216785,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,633,347,0.7853683634103765,0.5052560653035952,0.4678101852484168,0.5432849156161366,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,633,347,0.0026275287198738524,0.5580375231617429,0.5197192933335154,0.5949009451356925,0.5750000000000001,True,0.013137643599369262
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,633,347,0.6089563885780084,0.8460569412950365,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,50,24,0.1939308522824107,0.5941666666666666,0.4583333333333333,0.725,0.7000000000000002,True,0.7757234091296428
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,633,347,2.091473723081113e-15,0.34690031003728644,0.3115211175910877,0.3816884512248977,0.5750000000000001,True,1.0457368615405564e-14
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,633,347,0.40156934328332683,0.49076717155851785,0.4694779445575026,0.5112657124256207,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,633,347,0.41541935977055655,0.5157135637898302,0.4774843957004521,0.5533369982381141,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,633,347,3.739970057333743e-15,0.3482979817983984,0.3124053612321364,0.3839501072155374,0.5750000000000001,True,1.4959880229334972e-14
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,633,347,6.053035740894032e-16,0.34395928085918115,0.30913118993312116,0.38013507791906254,0.5750000000000001,True,3.631821444536419e-15
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,633,347,0.8216009580088567,0.5043523589694561,0.4664207083054482,0.5425333825022421,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,633,347,0.5236292598031979,0.5123058852452299,0.47467567869028593,0.5501550755516706,0.5750000000000001,True,0.5236292598031979
