family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,27,13,0.9884787068093401,0.5028490028490028,0.3162393162393162,0.6923076923076923,0.7750000000000002,True,0.9884787068093401
B (photometric variability),B1 dAmp_G,num,675,370,0.6799965946487495,0.49229229229229227,0.455634984984985,0.5293583083083083,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,675,370,0.7301278288197354,0.49355355355355357,0.4570354354354354,0.5299980480480481,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,675,370,0.02193728408266558,0.4571891891891892,0.42102272272272273,0.4932366366366366,0.5750000000000001,True,0.1096864204133279
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,675,370,1.0,0.9839650145772595,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,50,29,0.12964593169353433,0.39689655172413796,0.26999137931034484,0.5303448275862069,0.7000000000000002,True,0.5185837267741373
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,675,370,4.198757810769322e-13,0.6354274274274274,0.6012446446446446,0.6699227727727728,0.5750000000000001,True,2.519254686461593e-12
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,675,370,0.6654335494520129,0.4953593593593594,0.47472832832832834,0.5161062562562563,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,675,370,0.9580373129532613,0.499015015015015,0.46196646646646644,0.5365508008008009,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,675,370,1.1648980832136798e-12,0.6328208208208208,0.5977468468468469,0.6674172672672672,0.5750000000000001,True,5.824490416068399e-12
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,675,370,1.2608262782493444e-12,0.6326166166166166,0.5972257257257257,0.6666448448448449,0.5750000000000001,True,5.824490416068399e-12
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,675,370,0.5021884068590022,0.5125385385385386,0.4764123123123123,0.5483404904904905,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,675,370,0.07560731806843421,0.4668048048048048,0.43036716716716716,0.5039304804804805,0.5750000000000001,True,0.07560731806843421
