family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,27,13,0.8624285000831201,0.48148148148148145,0.2934472934472934,0.6780626780626781,0.7750000000000002,True,0.8624285000831201
B (photometric variability),B1 dAmp_G,num,596,327,0.2586878720651695,0.522453461404265,0.4834814281756049,0.5609218182377932,0.5750000000000001,True,0.7760636161955086
B (photometric variability),B2 dAmp_BP,num,596,327,0.6954487694687052,0.507783798206186,0.4680682762760914,0.5464725976438232,0.5750000000000001,True,0.7760636161955086
B (photometric variability),B3 dAmp_RP,num,596,327,0.07957325438015815,0.5348500708084477,0.495370769451799,0.5732909124027666,0.5750000000000001,True,0.39786627190079077
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,596,327,0.37287418700478864,0.7708132433301189,,,0.15000000000000002,True,0.7760636161955086
B (photometric variability),B5 std_dev_mag_g_fov,num,53,22,0.1625793426510711,0.6033447684391081,0.4554030874785592,0.7405767581475127,0.7000000000000002,True,0.6503173706042844
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,596,327,1.584481211110876e-11,0.36602836442747777,0.32742640795928,0.40414030591301847,0.5750000000000001,True,7.922406055554381e-11
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,596,327,0.3231289315164668,0.48883484186113335,0.4678379564066252,0.5111421325657287,0.5750000000000001,True,0.6462578630329336
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,596,327,0.12509183442503427,0.530488680910453,0.4912969747347249,0.5691179602036,0.5750000000000001,True,0.37527550327510284
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,596,327,3.045599017876533e-09,0.38214498286230325,0.34322342630790387,0.4214683645300987,0.5750000000000001,True,1.2182396071506133e-08
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,596,327,3.878152655489379e-12,0.36202101676826137,0.3239220953143279,0.4012635203086838,0.5750000000000001,True,2.3268915932936276e-11
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,596,327,0.8505292039735409,0.4962517702111939,0.45687823255957144,0.5343487675225252,0.5750000000000001,True,0.8505292039735409
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,596,327,0.802378743330012,0.4950228844693471,0.45750165476263777,0.5342063809699731,0.5750000000000001,True,0.802378743330012
