family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,25,15,0.44226059520030137,0.5746666666666667,0.3826333333333333,0.7573333333333333,0.7750000000000002,True,0.44226059520030137
B (photometric variability),B1 dAmp_G,num,675,370,0.14403082885599225,0.5272952952952953,0.4913569069069069,0.5628696196196197,0.5750000000000001,True,0.7201541442799613
B (photometric variability),B2 dAmp_BP,num,675,370,0.8417594867042228,0.5037317317317317,0.4671047047047047,0.5401723223223224,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,675,370,0.22350650220624402,0.5227427427427428,0.4853412912912913,0.5593313813813814,0.5750000000000001,True,0.8940260088249761
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,675,370,0.3865420457571865,1.2504168269847378,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,46,33,0.8424079915802526,0.4864953886693017,0.35243741765480896,0.6195652173913043,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,675,370,0.1832387657901715,0.4751351351351351,0.4378632632632633,0.5115758258258258,0.5750000000000001,True,0.8573458241151738
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,675,370,0.11967769687731006,0.4833053053053053,0.4635075075075075,0.5040062062062062,0.5750000000000001,True,0.7180661812638603
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,675,370,0.6342927372891156,0.5088888888888888,0.47252232232232233,0.5450186686686687,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,675,370,0.19170274193718317,0.4756076076076076,0.43859789789789794,0.5133176176176176,0.5750000000000001,True,0.8573458241151738
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,675,370,0.17146916482303476,0.4744504504504504,0.43734004004004,0.5110545545545545,0.5750000000000001,True,0.8573458241151738
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,675,370,0.612691840017353,0.5094594594594595,0.47298823823823827,0.5453338338338338,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,675,370,0.7131945667040149,0.4931311311311311,0.4565993993993994,0.5294334834834835,0.5750000000000001,True,0.7131945667040149
