family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,22,14,0.7578732485866948,0.5324675324675324,0.33116883116883117,0.724025974025974,0.7750000000000002,True,0.7578732485866948
B (photometric variability),B1 dAmp_G,num,633,347,0.4300283102260354,0.5152264273779769,0.47813941206732496,0.5523584003714984,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,633,347,0.9270450420984171,0.5017687149159348,0.46362616150165487,0.5396879595358091,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,633,347,0.41731392321975125,0.5156498263153821,0.47798063746579805,0.5529005672635225,0.5750000000000001,True,1.0
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,633,347,0.37267099559452066,1.251279801082346,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,43,31,0.9127597569403463,0.5078769692423106,0.36834208552138037,0.6489122280570142,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,633,347,0.5001732955904106,0.4869907261974678,0.44777852138164637,0.5253883433264588,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,633,347,0.08249453650768812,0.4808901393574352,0.4601754601618021,0.5018607358946693,0.5750000000000001,True,0.4949672190461287
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,633,347,0.5884248774504784,0.510441564117623,0.47246199653086035,0.5484292127056103,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,633,347,0.4574056782382385,0.4856613445875502,0.44753654661258085,0.5243743483981406,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,633,347,0.5520512274594764,0.4885249782609685,0.45033701189614433,0.5268228917692157,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,633,347,0.5989585337621521,0.510147916467487,0.4728131217249182,0.5485932228853955,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,633,347,0.9995292695292632,0.5000136580302389,0.4626286700265421,0.5377040168266932,0.5750000000000001,True,0.9995292695292632
