family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,24,16,0.6486818451937867,0.4557291666666667,0.2682291666666667,0.6536458333333334,0.7750000000000002,True,0.6486818451937867
B (photometric variability),B1 dAmp_G,num,532,513,0.5718979302349009,0.5101038414750326,0.47544413848949857,0.54508227806358,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,532,513,0.669327955002337,0.5076342171217517,0.47249084883260783,0.5422181183954037,0.55,True,1.0
B (photometric variability),B3 dAmp_RP,num,532,513,0.6670148956622786,0.507691011153615,0.47261542928959827,0.543093112899207,0.5750000000000001,True,1.0
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,532,513,0.722921119993736,0.9038196042337782,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,43,36,0.4876844868104778,0.4541343669250646,0.32945736434108525,0.5820574935400514,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,532,513,0.32707257649303134,0.4824836213340368,0.44742058911899635,0.5177820739714784,0.5750000000000001,True,0.8379612371375855
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,532,513,0.28786603564822666,0.48909188175116153,0.46926861195386127,0.5090198540943001,0.55,True,0.8379612371375855
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,532,513,0.12517871012348344,0.4725941315276495,0.437134228114145,0.5069749941373902,0.5750000000000001,True,0.6258935506174172
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,532,513,0.24188340968577604,0.4790833076844157,0.4436927937533893,0.5142008896510282,0.5750000000000001,True,0.8379612371375855
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,532,513,0.20949030928439638,0.4775700215450908,0.4422100573070102,0.5125606871711442,0.55,True,0.8379612371375855
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,532,513,0.0924024231923926,0.5300770200354687,0.49484997215260373,0.5647582955927831,0.5750000000000001,True,0.5544145391543556
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,532,513,0.4409454733534319,0.4862265312403817,0.4515387518503862,0.5218608930953114,0.5750000000000001,True,0.4409454733534319
