family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,21,15,0.36894723103819516,0.4095238095238095,0.2222222222222222,0.6095238095238096,0.7750000000000002,True,0.36894723103819516
B (photometric variability),B1 dAmp_G,num,490,490,0.8257272317628219,0.49593502707205334,0.45969564764681387,0.5328905143690129,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,490,490,0.8998617429425243,0.4976759683465223,0.46211057892544777,0.5348657850895461,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,490,490,0.9911755555162828,0.5002061640982923,0.4642872761349438,0.5359169616826323,0.5750000000000001,True,1.0
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,490,490,0.7136342671915531,0.8868882733148661,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,40,34,0.6370526002160193,0.4676470588235294,0.3316176470588235,0.5978124999999997,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,490,490,0.8959321564283222,0.49758433985839234,0.46184079550187424,0.5343197625989171,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,490,490,0.2472469542081508,0.48781965847563513,0.46695402957101206,0.5082597875885048,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,490,490,0.18665330688321047,0.47563098708871304,0.4398070595585173,0.5108582882132444,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,490,490,0.6697522047383877,0.4921282798833819,0.4557258433985839,0.5280194710537276,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,490,490,0.7351871346419488,0.4937567680133278,0.4569593919200333,0.5300011453561017,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,490,490,0.3290130967935915,0.5180133277800917,0.4822524989587672,0.5541774260724698,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,490,490,0.5569173163565564,0.48915868388171596,0.45260932944606413,0.5250776239067055,0.5750000000000001,True,0.5569173163565564
