family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,13,27,0.2363716115932507,0.6182336182336182,0.4131054131054131,0.8091168091168092,0.7750000000000002,True,0.2363716115932507
B (photometric variability),B1 dAmp_G,num,287,758,0.44863043953253734,0.5151692055932998,0.47624967822897224,0.5541958367425739,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,287,758,0.8458697039066636,0.4961065705643864,0.457310063159056,0.5350254658784809,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,287,758,0.26730915915439424,0.5222067976427974,0.48172696808950755,0.562219427155636,0.5750000000000001,True,1.0
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,287,758,0.7923055887854612,0.9423897581792319,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,22,57,0.6937745096389858,0.5291068580542265,0.4003189792663477,0.6586921850079744,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,287,758,0.039773841289472735,0.4588408888235132,0.4204969868441617,0.4979190607963373,0.5750000000000001,True,0.1703603292135106
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,287,758,0.290588694948568,0.5121491546615429,0.4903560051667234,0.5333784004302538,0.5750000000000001,True,0.871766084845704
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,287,758,0.5698676249251642,0.5113769041949748,0.4717816576724003,0.5507827654840814,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,287,758,0.031049083029926504,0.4568321182646429,0.41836140402489586,0.4958241015693233,0.5750000000000001,True,0.1703603292135106
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,287,758,0.028393388202251766,0.45612422200362224,0.41667216358839054,0.4950778226214226,0.5750000000000001,True,0.1703603292135106
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,287,758,0.7180169542373157,0.5072306546661396,0.4676141482720896,0.5463971987533671,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,287,758,0.8053677431182955,0.49506541145320987,0.45640910428139336,0.5334953871824809,0.5750000000000001,True,0.8053677431182955
