family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,10,26,0.40654650204566667,0.5923076923076923,0.35,0.823076923076923,0.8000000000000003,True,0.40654650204566667
B (photometric variability),B1 dAmp_G,num,245,735,0.6946789661328194,0.4916340413716507,0.45028946272386505,0.5323012633624878,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,245,735,0.09786767325378717,0.4647285853116757,0.4238672775232542,0.505084964598084,0.5750000000000001,True,0.4893383662689359
B (photometric variability),B3 dAmp_RP,num,245,735,0.5128222245954606,0.5139469665417187,0.4712448285436624,0.5564570317923088,0.5750000000000001,True,1.0
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,245,735,0.7780568419134126,0.9243710449143386,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,19,55,0.6032740051782044,0.5406698564593302,0.40574162679425835,0.6717703349282297,0.7250000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,245,735,0.4242319736279587,0.4829709843120922,0.4399216992919617,0.5252060252672498,0.5750000000000001,True,0.9559370384094812
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,245,735,0.23527771132823716,0.5144273219491878,0.49097827294182983,0.5361655560183257,0.5750000000000001,True,0.9559370384094812
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,245,735,0.19118740768189624,0.5278522837706511,0.4859473830348466,0.5690241566014161,0.5750000000000001,True,0.9559370384094812
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,245,735,0.29898032985989575,0.47786755518533947,0.4365451895043732,0.5194896570873246,0.5750000000000001,True,0.9559370384094812
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,245,735,0.36744535260960043,0.48079411356379287,0.4390870470637235,0.5228989310009718,0.5750000000000001,True,0.9559370384094812
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,245,735,0.0455460240221362,0.45739275301957516,0.4171038456198806,0.49753727613494375,0.5750000000000001,True,0.2732761441328172
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,245,735,0.7384754078294309,0.4928835207552409,0.45082812716923504,0.5342385811467444,0.5750000000000001,True,0.7384754078294309
