source_id,verdict,phot_g_mean_mag,bp_rp,d_pc,period,significance,l,b,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,amp_g,amp_g_baseline,damp_g,amp_bp,damp_bp,amp_rp,damp_rp,phot_variable_flag,in_vari_summary,std_dev_mag_g_fov,range_mag_g_fov,stetson_mag_g_fov,in_vari_rotation_modulation,ruwe,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,phot_bp_rp_excess_factor,phot_g_n_obs,visibility_periods_used,notes
3640889032890567040,SPURIOUS,9.194756,0.78527164,103.53455082941025,1076.2228768889636,7.7,336.3189532807508,51.17016378291057,,,M1,-2.548771230692273,-2.436967683745395,-0.11180354694687811,-2.797265697180297,-0.38280327092725086,-2.7886549941668677,-0.0979828283720856,NOT_AVAILABLE,False,,,,,29.795595,0,0.0154495,4.015084,17132.74,245.78787,1.2028549,206,13,BH candidate ruled out by Simon2026
4373465352415301632,CONFIRMED,13.771998,1.1747837,477.22410066888887,185.7656578920495,13.6,22.62564229371034,18.045811698322694,,,,-2.4997706516167426,-2.3883130679775144,-0.1114575836392282,-2.3724358620508603,-0.1738090422843266,-2.429187929412295,-0.027152791789516684,NOT_AVAILABLE,False,,,,,7.6376343,0,0.04354149,1.0223111,803.4254,124.25691,1.2371607,413,21,Gaia BH1
6281177228434199296,SPURIOUS,11.258724,0.91192055,233.47886501210738,153.94723620655344,24.3,338.5060906699752,34.9783670867268,0.03863094,0.0014053868,M1,-2.1399429511948593,-2.4210064659656867,0.28106351477082736,-2.324411322157203,0.08913842945273087,-2.3389081005208796,0.3117637642802995,NOT_AVAILABLE,False,,,,,6.456141,0,0.008601902,1.114296,1574.8949,72.36631,1.2115976,201,15,BH candidate ruled out by Simon2026
5870569352746779008,CONFIRMED,12.276908,1.4931593,1163.884399971741,1352.2889370485916,39.8,310.4031040338608,2.7765401740632587,-0.0015000324,0.0011401571,M2,-2.5722807139289956,-2.4176429754139437,-0.15463773851505191,-2.4240962117553737,-0.0623115473122704,-2.668383114883764,-0.0870630824856069,NOT_AVAILABLE,False,,,,,9.220705,0,0.012405115,1.0616639,1762.3976,200.12035,1.2687558,779,26,Gaia BH2
3664684869697065984,SPURIOUS,11.561024,1.4179001,3089.5914359172352,1220.4546540162823,6.1,338.70362147063645,60.9036519430469,,,,-2.377287332063333,-2.4510236175005575,0.07373628543722432,-2.2472405755624747,0.16630917604745932,-2.4842365666215414,0.16812285926134107,NOT_AVAILABLE,False,,,,,3.102288,0,0.02209689,0.41576907,194.20053,31.210224,1.2570413,192,13,BH candidate ruled out by ElBadry2023BH1
2278534305772981504,SPURIOUS,14.593381,1.1848583,1267.682568212373,788.8219762787629,5.9,112.01978078451482,19.43701609393221,,,M2,-2.3991045797343262,-2.29043754504551,-0.10866703468881633,-1.9654012936992211,0.02509310227509154,-2.3423985425982856,-0.09528029675444305,NOT_AVAILABLE,False,,,,,3.2122545,0,0.013364323,0.5723654,111.9037,44.69319,1.2403656,354,26,RVs inconsistent with orbital solution
3509370326763016704,SPURIOUS,12.469695,1.3584757,125.27465275748928,109.3921278129309,76.1,306.1673961290476,43.94074215066995,,,M1,-2.348788904547925,-2.430278513427212,0.08148960887928691,-2.3959144681275966,-0.03538888025022402,-2.5396709359490077,0.03250500679415458,NOT_AVAILABLE,False,,,,,10.212758,2,0.04527065,1.0048221,1196.8774,115.87808,1.2503643,244,14,BH candidate ruled out by Simon2026
1925560664891372544,SPURIOUS,13.010477,0.5454922,2053.992763335769,1022.903971303942,6.2,110.73451957974268,-17.408492965316096,,,,-2.16792177672289,-2.4043409422511126,0.2364191655282224,-2.438954329656981,-0.1283446508957926,-2.577421321151884,-0.06873409324030133,VARIABLE,True,0.0057012937,0.03466379,2.4585972,0.0,1.7225071,0,0.050612707,0.20493637,51.080597,21.718407,1.1729066,547,24,RVs inconsistent with orbital solution
3263804373319076480,SPURIOUS,12.66688,0.9365864,462.9936177307368,510.728110443052,18.1,184.98307131681705,-42.20415620956834,,,,-2.339023347958475,-2.428504037373057,0.08948068941458187,-2.5120795155455045,-0.16276730692505215,-2.4686290363132843,0.08076665239768888,NOT_AVAILABLE,False,,,,,9.353985,0,0.030183878,1.0892653,1156.3243,98.1956,1.2184196,175,14,BH candidate ruled out by Simon2026
6802634430521968000,SPURIOUS,13.351202,0.92054844,815.5417403565598,584.3054161572567,20.2,21.20657173224263,-38.33561741904928,,,M2,-2.5363718849261563,-2.40368713701882,-0.1326847479073363,-2.3402678957978242,-0.0663492666451777,-2.547731543244569,-0.08468426146279251,NOT_AVAILABLE,False,,,,,1.9110327,0,0.025840977,0.17663029,33.368923,24.66901,1.2085977,546,14,RVs inconsistent with orbital solution
2010172929375186304,SPURIOUS,13.761632,1.0815382,1055.4367518790289,736.1667309472982,6.9,108.84123751078089,-2.154863203076539,,,M2,-2.4777843174706313,-2.3889305056809063,-0.08885381178972507,-2.320608487492643,-0.12152137987986356,-2.4733487557289684,-0.07000657497044438,NOT_AVAILABLE,False,,,,,3.5766861,0,0.011834971,0.48500896,173.04805,59.661537,1.2310978,473,29,RVs inconsistent with orbital solution
6328149636482597888,CONFIRMED,13.33589,0.8171387,811.9627011133092,736.0178501588972,89.9,339.4642388370678,45.22812966196444,,,,-2.470958940723498,-2.40368713701882,-0.06727180370467822,-2.3089274045689434,-0.03500877541629688,-2.5346665861688815,-0.0712809357641917,NOT_AVAILABLE,False,,,,,10.241397,0,0.02756901,1.2175028,1058.6946,112.34575,1.2040541,223,14,Gaia NS1
5593444799901901696,SPURIOUS,14.421466,0.677001,1659.517890123334,1038.7902132799031,6.5,244.3225911673198,-5.753490081117277,,,M2,-2.2444512561084156,-2.310377057062021,0.06592580095360523,-2.1982806924871574,-0.16280563927826108,-2.302783046768391,-0.027376428584800383,NOT_AVAILABLE,False,,,,,3.0213006,0,0.0115301935,0.4984604,118.88267,45.800373,1.1914978,410,25,RVs inconsistent with orbital solution
